[2025-08-22T14:27:10.624Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=46c3a162-1c70-4eef-87d0-cdedd8efe2c8&response_mode=fragment&response_type=code&scope=openid&nonce=c4d0b582-310c-4fa3-84dc-05be97b5ff58 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/fhgbl/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-08-22T14:27:10.625Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=46c3a162-1c70-4eef-87d0-cdedd8efe2c8&response_mode=fragment&response_type=code&scope=openid&nonce=c4d0b582-310c-4fa3-84dc-05be97b5ff58 - Autofocus processing was blocked because a document already has a focused element.

[2025-08-22T14:27:13.018Z] [SEVERE] http://localhost:81/ui/static/js/main.cf6c049e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTU4NzMxMzIsImlhdCI6MTc1NTg3MjgzMiwiYXV0aF90aW1lIjoxNzU1ODcyODMwLCJqdGkiOiI2YzI2ZmI1Yi1jYjVmLTRjMWUtYjM3Zi02ZGY5ZGI3NDZkZTEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.DNg-TSlJWzI_OgaCRY_GBqbJmMgl6UH0Y1-kdEkU5WPfhrLj1Ah2XQxDsx2-cZpj4fktCeBdRh3JADrLFfG4wpwEahGviY6v6FR5jg_SFCEYCjv78Ai-U1xmK0GKebvnR_cOOPL7bqk91ooS9xLzOJGx4o_Gyi3O7hiiv3IdCFpQUwxv84rGYpjelKlA5IN6bV6Hktav1v33LXjzqlcOY2tCKb264F810GeTvEYpOlVIPZ6veE8LwMdJt_3SUFIU7mtZ3OtfjNIQ77msQqltzHQ3fDS2l9-cusZnurxj6K_Q4EeyA9mHlbz2ivFjd6z7w80cFW0fWHOzbLDfNEykCQ' failed: Establishing a tunnel via proxy server failed.

[2025-08-22T14:27:15.045Z] [SEVERE] http://localhost:81/ui/static/js/main.cf6c049e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTU4NzMxMzIsImlhdCI6MTc1NTg3MjgzMiwiYXV0aF90aW1lIjoxNzU1ODcyODMwLCJqdGkiOiI2YzI2ZmI1Yi1jYjVmLTRjMWUtYjM3Zi02ZGY5ZGI3NDZkZTEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.DNg-TSlJWzI_OgaCRY_GBqbJmMgl6UH0Y1-kdEkU5WPfhrLj1Ah2XQxDsx2-cZpj4fktCeBdRh3JADrLFfG4wpwEahGviY6v6FR5jg_SFCEYCjv78Ai-U1xmK0GKebvnR_cOOPL7bqk91ooS9xLzOJGx4o_Gyi3O7hiiv3IdCFpQUwxv84rGYpjelKlA5IN6bV6Hktav1v33LXjzqlcOY2tCKb264F810GeTvEYpOlVIPZ6veE8LwMdJt_3SUFIU7mtZ3OtfjNIQ77msQqltzHQ3fDS2l9-cusZnurxj6K_Q4EeyA9mHlbz2ivFjd6z7w80cFW0fWHOzbLDfNEykCQ' failed: Establishing a tunnel via proxy server failed.

[2025-08-22T14:27:17.054Z] [SEVERE] http://localhost:81/ui/static/js/main.cf6c049e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTU4NzMxMzIsImlhdCI6MTc1NTg3MjgzMiwiYXV0aF90aW1lIjoxNzU1ODcyODMwLCJqdGkiOiI2YzI2ZmI1Yi1jYjVmLTRjMWUtYjM3Zi02ZGY5ZGI3NDZkZTEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.DNg-TSlJWzI_OgaCRY_GBqbJmMgl6UH0Y1-kdEkU5WPfhrLj1Ah2XQxDsx2-cZpj4fktCeBdRh3JADrLFfG4wpwEahGviY6v6FR5jg_SFCEYCjv78Ai-U1xmK0GKebvnR_cOOPL7bqk91ooS9xLzOJGx4o_Gyi3O7hiiv3IdCFpQUwxv84rGYpjelKlA5IN6bV6Hktav1v33LXjzqlcOY2tCKb264F810GeTvEYpOlVIPZ6veE8LwMdJt_3SUFIU7mtZ3OtfjNIQ77msQqltzHQ3fDS2l9-cusZnurxj6K_Q4EeyA9mHlbz2ivFjd6z7w80cFW0fWHOzbLDfNEykCQ' failed: Establishing a tunnel via proxy server failed.

[2025-08-22T14:27:19.204Z] [SEVERE] http://localhost:81/ui/static/js/main.cf6c049e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTU4NzMxMzIsImlhdCI6MTc1NTg3MjgzMiwiYXV0aF90aW1lIjoxNzU1ODcyODMwLCJqdGkiOiI2YzI2ZmI1Yi1jYjVmLTRjMWUtYjM3Zi02ZGY5ZGI3NDZkZTEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.DNg-TSlJWzI_OgaCRY_GBqbJmMgl6UH0Y1-kdEkU5WPfhrLj1Ah2XQxDsx2-cZpj4fktCeBdRh3JADrLFfG4wpwEahGviY6v6FR5jg_SFCEYCjv78Ai-U1xmK0GKebvnR_cOOPL7bqk91ooS9xLzOJGx4o_Gyi3O7hiiv3IdCFpQUwxv84rGYpjelKlA5IN6bV6Hktav1v33LXjzqlcOY2tCKb264F810GeTvEYpOlVIPZ6veE8LwMdJt_3SUFIU7mtZ3OtfjNIQ77msQqltzHQ3fDS2l9-cusZnurxj6K_Q4EeyA9mHlbz2ivFjd6z7w80cFW0fWHOzbLDfNEykCQ' failed: Establishing a tunnel via proxy server failed.

[2025-08-22T14:27:21.184Z] [SEVERE] http://localhost:81/ui/static/js/main.cf6c049e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTU4NzMxMzIsImlhdCI6MTc1NTg3MjgzMiwiYXV0aF90aW1lIjoxNzU1ODcyODMwLCJqdGkiOiI2YzI2ZmI1Yi1jYjVmLTRjMWUtYjM3Zi02ZGY5ZGI3NDZkZTEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.DNg-TSlJWzI_OgaCRY_GBqbJmMgl6UH0Y1-kdEkU5WPfhrLj1Ah2XQxDsx2-cZpj4fktCeBdRh3JADrLFfG4wpwEahGviY6v6FR5jg_SFCEYCjv78Ai-U1xmK0GKebvnR_cOOPL7bqk91ooS9xLzOJGx4o_Gyi3O7hiiv3IdCFpQUwxv84rGYpjelKlA5IN6bV6Hktav1v33LXjzqlcOY2tCKb264F810GeTvEYpOlVIPZ6veE8LwMdJt_3SUFIU7mtZ3OtfjNIQ77msQqltzHQ3fDS2l9-cusZnurxj6K_Q4EeyA9mHlbz2ivFjd6z7w80cFW0fWHOzbLDfNEykCQ' failed: Establishing a tunnel via proxy server failed.
