[2025-08-22T14:25:43.348Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=c8a0c20c-f1be-45b4-8874-b55beee867f5&response_mode=fragment&response_type=code&scope=openid&nonce=737e204d-17cf-406b-bc74-99be5d2a94aa - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/fhgbl/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-08-22T14:25:43.349Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=c8a0c20c-f1be-45b4-8874-b55beee867f5&response_mode=fragment&response_type=code&scope=openid&nonce=737e204d-17cf-406b-bc74-99be5d2a94aa - Autofocus processing was blocked because a document already has a focused element.

[2025-08-22T14:25:45.922Z] [SEVERE] http://localhost:81/ui/static/js/main.cf6c049e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTU4NzMwNDQsImlhdCI6MTc1NTg3Mjc0NCwiYXV0aF90aW1lIjoxNzU1ODcyNzQzLCJqdGkiOiI0MjU0NjE3Zi1iZGQ3LTRhMWQtYjc2ZC1hOTk1NzU0NGE4MmYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.ZPdvQjsXcg8biCrWvLfSJd2NxXrJnNb8fBJltM9smrchYycdQ3IvTDBp2ffyY6FI6yccBESkhdejgHjHDuIftg65WoS2RcRn6rLxhYXlRbkcRcGHRWzOXWPNe7xESQALj7qoKKHmCIqodzNxrecovbtV0SIvHTbdDfTG_6fBhNl6IsUgas3aac7NBlfKXxm7Bla-skMGY-84QeZ2Afmyx0crjlH2VDVE72DXUKpUoPznKpgalVQnSM7QfXFCo_b5N6U2Pr9mKEEBpY8MB7LNKGJQ1NER_AIIeVxWWsl6JvHAJuDOhGJVyYQUNsCFY_5ISzwreAOd7P-2E-sVheV6yw' failed: Establishing a tunnel via proxy server failed.

[2025-08-22T14:25:47.935Z] [SEVERE] http://localhost:81/ui/static/js/main.cf6c049e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTU4NzMwNDQsImlhdCI6MTc1NTg3Mjc0NCwiYXV0aF90aW1lIjoxNzU1ODcyNzQzLCJqdGkiOiI0MjU0NjE3Zi1iZGQ3LTRhMWQtYjc2ZC1hOTk1NzU0NGE4MmYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.ZPdvQjsXcg8biCrWvLfSJd2NxXrJnNb8fBJltM9smrchYycdQ3IvTDBp2ffyY6FI6yccBESkhdejgHjHDuIftg65WoS2RcRn6rLxhYXlRbkcRcGHRWzOXWPNe7xESQALj7qoKKHmCIqodzNxrecovbtV0SIvHTbdDfTG_6fBhNl6IsUgas3aac7NBlfKXxm7Bla-skMGY-84QeZ2Afmyx0crjlH2VDVE72DXUKpUoPznKpgalVQnSM7QfXFCo_b5N6U2Pr9mKEEBpY8MB7LNKGJQ1NER_AIIeVxWWsl6JvHAJuDOhGJVyYQUNsCFY_5ISzwreAOd7P-2E-sVheV6yw' failed: Establishing a tunnel via proxy server failed.

[2025-08-22T14:25:49.941Z] [SEVERE] http://localhost:81/ui/static/js/main.cf6c049e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTU4NzMwNDQsImlhdCI6MTc1NTg3Mjc0NCwiYXV0aF90aW1lIjoxNzU1ODcyNzQzLCJqdGkiOiI0MjU0NjE3Zi1iZGQ3LTRhMWQtYjc2ZC1hOTk1NzU0NGE4MmYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.ZPdvQjsXcg8biCrWvLfSJd2NxXrJnNb8fBJltM9smrchYycdQ3IvTDBp2ffyY6FI6yccBESkhdejgHjHDuIftg65WoS2RcRn6rLxhYXlRbkcRcGHRWzOXWPNe7xESQALj7qoKKHmCIqodzNxrecovbtV0SIvHTbdDfTG_6fBhNl6IsUgas3aac7NBlfKXxm7Bla-skMGY-84QeZ2Afmyx0crjlH2VDVE72DXUKpUoPznKpgalVQnSM7QfXFCo_b5N6U2Pr9mKEEBpY8MB7LNKGJQ1NER_AIIeVxWWsl6JvHAJuDOhGJVyYQUNsCFY_5ISzwreAOd7P-2E-sVheV6yw' failed: Establishing a tunnel via proxy server failed.

[2025-08-22T14:25:51.999Z] [SEVERE] http://localhost:81/ui/static/js/main.cf6c049e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTU4NzMwNDQsImlhdCI6MTc1NTg3Mjc0NCwiYXV0aF90aW1lIjoxNzU1ODcyNzQzLCJqdGkiOiI0MjU0NjE3Zi1iZGQ3LTRhMWQtYjc2ZC1hOTk1NzU0NGE4MmYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.ZPdvQjsXcg8biCrWvLfSJd2NxXrJnNb8fBJltM9smrchYycdQ3IvTDBp2ffyY6FI6yccBESkhdejgHjHDuIftg65WoS2RcRn6rLxhYXlRbkcRcGHRWzOXWPNe7xESQALj7qoKKHmCIqodzNxrecovbtV0SIvHTbdDfTG_6fBhNl6IsUgas3aac7NBlfKXxm7Bla-skMGY-84QeZ2Afmyx0crjlH2VDVE72DXUKpUoPznKpgalVQnSM7QfXFCo_b5N6U2Pr9mKEEBpY8MB7LNKGJQ1NER_AIIeVxWWsl6JvHAJuDOhGJVyYQUNsCFY_5ISzwreAOd7P-2E-sVheV6yw' failed: Establishing a tunnel via proxy server failed.

[2025-08-22T14:25:53.962Z] [SEVERE] http://localhost:81/ui/static/js/main.cf6c049e.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTU4NzMwNDQsImlhdCI6MTc1NTg3Mjc0NCwiYXV0aF90aW1lIjoxNzU1ODcyNzQzLCJqdGkiOiI0MjU0NjE3Zi1iZGQ3LTRhMWQtYjc2ZC1hOTk1NzU0NGE4MmYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.ZPdvQjsXcg8biCrWvLfSJd2NxXrJnNb8fBJltM9smrchYycdQ3IvTDBp2ffyY6FI6yccBESkhdejgHjHDuIftg65WoS2RcRn6rLxhYXlRbkcRcGHRWzOXWPNe7xESQALj7qoKKHmCIqodzNxrecovbtV0SIvHTbdDfTG_6fBhNl6IsUgas3aac7NBlfKXxm7Bla-skMGY-84QeZ2Afmyx0crjlH2VDVE72DXUKpUoPznKpgalVQnSM7QfXFCo_b5N6U2Pr9mKEEBpY8MB7LNKGJQ1NER_AIIeVxWWsl6JvHAJuDOhGJVyYQUNsCFY_5ISzwreAOd7P-2E-sVheV6yw' failed: Establishing a tunnel via proxy server failed.
