[2025-09-05T08:10:52.060Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=c00eb05a-3965-426e-86c8-378093970592&response_mode=fragment&response_type=code&scope=openid&nonce=e1b4af56-2a2e-48ba-86b2-9d6340c01cae - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/waahb/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-09-05T08:10:52.061Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=c00eb05a-3965-426e-86c8-378093970592&response_mode=fragment&response_type=code&scope=openid&nonce=e1b4af56-2a2e-48ba-86b2-9d6340c01cae - Autofocus processing was blocked because a document already has a focused element.

[2025-09-05T08:10:54.098Z] [SEVERE] http://localhost:81/ui/static/js/main.e0a64621.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTcwNjAxNTMsImlhdCI6MTc1NzA1OTg1MywiYXV0aF90aW1lIjoxNzU3MDU5ODUyLCJqdGkiOiI0MjlmYjJmMy1jOWUwLTQxOWYtYjFhZC00MGIzN2IyOWIyYzUiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.VKFjwiLIs36GlXKffwDqDNBvrsKskRntBaivmpVFO6eq1YCoiTNNKQEg07M-epSsj5WcANckUW6CTmdDY2w6aAKMd2bX0VziyxPd7OAMbJyEG9aY6z9ss1MvIpNax537uCXdu0Q3GJL7J0VwlsYi-UY7zd62fpqpNbos0H77mHgX6b1h1VWBObJGXN2OWlR-TFKJGePAilsGozfHIXonhatrvoylFjw9nDz3syzmyXVhIy3pcJTFrGizB1Nl5pu0OCgeDMdErHrcVeX9vDzK_5MlV1usy1xW1KV4tK32Er1R_h9FSebhdyOXNN8-7oKg_0o4jROuOT4vs_2gMXxyJw' failed: Establishing a tunnel via proxy server failed.

[2025-09-05T08:10:56.103Z] [SEVERE] http://localhost:81/ui/static/js/main.e0a64621.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTcwNjAxNTMsImlhdCI6MTc1NzA1OTg1MywiYXV0aF90aW1lIjoxNzU3MDU5ODUyLCJqdGkiOiI0MjlmYjJmMy1jOWUwLTQxOWYtYjFhZC00MGIzN2IyOWIyYzUiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.VKFjwiLIs36GlXKffwDqDNBvrsKskRntBaivmpVFO6eq1YCoiTNNKQEg07M-epSsj5WcANckUW6CTmdDY2w6aAKMd2bX0VziyxPd7OAMbJyEG9aY6z9ss1MvIpNax537uCXdu0Q3GJL7J0VwlsYi-UY7zd62fpqpNbos0H77mHgX6b1h1VWBObJGXN2OWlR-TFKJGePAilsGozfHIXonhatrvoylFjw9nDz3syzmyXVhIy3pcJTFrGizB1Nl5pu0OCgeDMdErHrcVeX9vDzK_5MlV1usy1xW1KV4tK32Er1R_h9FSebhdyOXNN8-7oKg_0o4jROuOT4vs_2gMXxyJw' failed: Establishing a tunnel via proxy server failed.

[2025-09-05T08:10:58.138Z] [SEVERE] http://localhost:81/ui/static/js/main.e0a64621.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTcwNjAxNTMsImlhdCI6MTc1NzA1OTg1MywiYXV0aF90aW1lIjoxNzU3MDU5ODUyLCJqdGkiOiI0MjlmYjJmMy1jOWUwLTQxOWYtYjFhZC00MGIzN2IyOWIyYzUiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.VKFjwiLIs36GlXKffwDqDNBvrsKskRntBaivmpVFO6eq1YCoiTNNKQEg07M-epSsj5WcANckUW6CTmdDY2w6aAKMd2bX0VziyxPd7OAMbJyEG9aY6z9ss1MvIpNax537uCXdu0Q3GJL7J0VwlsYi-UY7zd62fpqpNbos0H77mHgX6b1h1VWBObJGXN2OWlR-TFKJGePAilsGozfHIXonhatrvoylFjw9nDz3syzmyXVhIy3pcJTFrGizB1Nl5pu0OCgeDMdErHrcVeX9vDzK_5MlV1usy1xW1KV4tK32Er1R_h9FSebhdyOXNN8-7oKg_0o4jROuOT4vs_2gMXxyJw' failed: Establishing a tunnel via proxy server failed.

[2025-09-05T08:11:00.222Z] [SEVERE] http://localhost:81/ui/static/js/main.e0a64621.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTcwNjAxNTMsImlhdCI6MTc1NzA1OTg1MywiYXV0aF90aW1lIjoxNzU3MDU5ODUyLCJqdGkiOiI0MjlmYjJmMy1jOWUwLTQxOWYtYjFhZC00MGIzN2IyOWIyYzUiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.VKFjwiLIs36GlXKffwDqDNBvrsKskRntBaivmpVFO6eq1YCoiTNNKQEg07M-epSsj5WcANckUW6CTmdDY2w6aAKMd2bX0VziyxPd7OAMbJyEG9aY6z9ss1MvIpNax537uCXdu0Q3GJL7J0VwlsYi-UY7zd62fpqpNbos0H77mHgX6b1h1VWBObJGXN2OWlR-TFKJGePAilsGozfHIXonhatrvoylFjw9nDz3syzmyXVhIy3pcJTFrGizB1Nl5pu0OCgeDMdErHrcVeX9vDzK_5MlV1usy1xW1KV4tK32Er1R_h9FSebhdyOXNN8-7oKg_0o4jROuOT4vs_2gMXxyJw' failed: Establishing a tunnel via proxy server failed.

[2025-09-05T08:11:02.192Z] [SEVERE] http://localhost:81/ui/static/js/main.e0a64621.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTcwNjAxNTMsImlhdCI6MTc1NzA1OTg1MywiYXV0aF90aW1lIjoxNzU3MDU5ODUyLCJqdGkiOiI0MjlmYjJmMy1jOWUwLTQxOWYtYjFhZC00MGIzN2IyOWIyYzUiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.VKFjwiLIs36GlXKffwDqDNBvrsKskRntBaivmpVFO6eq1YCoiTNNKQEg07M-epSsj5WcANckUW6CTmdDY2w6aAKMd2bX0VziyxPd7OAMbJyEG9aY6z9ss1MvIpNax537uCXdu0Q3GJL7J0VwlsYi-UY7zd62fpqpNbos0H77mHgX6b1h1VWBObJGXN2OWlR-TFKJGePAilsGozfHIXonhatrvoylFjw9nDz3syzmyXVhIy3pcJTFrGizB1Nl5pu0OCgeDMdErHrcVeX9vDzK_5MlV1usy1xW1KV4tK32Er1R_h9FSebhdyOXNN8-7oKg_0o4jROuOT4vs_2gMXxyJw' failed: Establishing a tunnel via proxy server failed.
