[2025-09-05T07:55:26.780Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=c607e63e-531c-4578-9ca0-201d9c397fd5&response_mode=fragment&response_type=code&scope=openid&nonce=6ec67eb2-fbf9-4d47-97bf-9036bb7fe500 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/waahb/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-09-05T07:55:26.782Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=c607e63e-531c-4578-9ca0-201d9c397fd5&response_mode=fragment&response_type=code&scope=openid&nonce=6ec67eb2-fbf9-4d47-97bf-9036bb7fe500 - Autofocus processing was blocked because a document already has a focused element.

[2025-09-05T07:55:29.476Z] [SEVERE] http://localhost:81/ui/static/js/main.e0a64621.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTcwNTkyMjgsImlhdCI6MTc1NzA1ODkyOCwiYXV0aF90aW1lIjoxNzU3MDU4OTI3LCJqdGkiOiJlOGM4OWVlOS05NTNmLTRmMGItYWYxMS02ZmFjOTk1Y2RkNzYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.dZ3Obnh3ySaAHopn5SoJJ3ivBw6yuf6phVEe2QeiREBcVYUODbDwKeJM44F9uEgtNh3qPY-S85N3Zge7SbKNxS91H2SEFwXX7MDGGF_fAaDurbHu8C8okw_GEPcK-20mcnJlB43gSo0TELbqL_H6V5EZbYD4sietCgFWPOodO4HLiO5stIWzxIjl6egKXyg-G8xFRDQXSgN8ocr6GUNJ27L7-O-6jGJYh62JZzm33qFc6IqIwuKo8lneMmRwy3bJwmmgC9i-gqPBjIL8k8TX79XDTnGNCIBLoaY5idwfRiHAvyWLYFQ1uAivspcS2R4BApiFGnKxg_xVfL4CzDp_pQ' failed: Establishing a tunnel via proxy server failed.

[2025-09-05T07:55:31.502Z] [SEVERE] http://localhost:81/ui/static/js/main.e0a64621.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTcwNTkyMjgsImlhdCI6MTc1NzA1ODkyOCwiYXV0aF90aW1lIjoxNzU3MDU4OTI3LCJqdGkiOiJlOGM4OWVlOS05NTNmLTRmMGItYWYxMS02ZmFjOTk1Y2RkNzYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.dZ3Obnh3ySaAHopn5SoJJ3ivBw6yuf6phVEe2QeiREBcVYUODbDwKeJM44F9uEgtNh3qPY-S85N3Zge7SbKNxS91H2SEFwXX7MDGGF_fAaDurbHu8C8okw_GEPcK-20mcnJlB43gSo0TELbqL_H6V5EZbYD4sietCgFWPOodO4HLiO5stIWzxIjl6egKXyg-G8xFRDQXSgN8ocr6GUNJ27L7-O-6jGJYh62JZzm33qFc6IqIwuKo8lneMmRwy3bJwmmgC9i-gqPBjIL8k8TX79XDTnGNCIBLoaY5idwfRiHAvyWLYFQ1uAivspcS2R4BApiFGnKxg_xVfL4CzDp_pQ' failed: Establishing a tunnel via proxy server failed.

[2025-09-05T07:55:33.512Z] [SEVERE] http://localhost:81/ui/static/js/main.e0a64621.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTcwNTkyMjgsImlhdCI6MTc1NzA1ODkyOCwiYXV0aF90aW1lIjoxNzU3MDU4OTI3LCJqdGkiOiJlOGM4OWVlOS05NTNmLTRmMGItYWYxMS02ZmFjOTk1Y2RkNzYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.dZ3Obnh3ySaAHopn5SoJJ3ivBw6yuf6phVEe2QeiREBcVYUODbDwKeJM44F9uEgtNh3qPY-S85N3Zge7SbKNxS91H2SEFwXX7MDGGF_fAaDurbHu8C8okw_GEPcK-20mcnJlB43gSo0TELbqL_H6V5EZbYD4sietCgFWPOodO4HLiO5stIWzxIjl6egKXyg-G8xFRDQXSgN8ocr6GUNJ27L7-O-6jGJYh62JZzm33qFc6IqIwuKo8lneMmRwy3bJwmmgC9i-gqPBjIL8k8TX79XDTnGNCIBLoaY5idwfRiHAvyWLYFQ1uAivspcS2R4BApiFGnKxg_xVfL4CzDp_pQ' failed: Establishing a tunnel via proxy server failed.

[2025-09-05T07:55:35.519Z] [SEVERE] http://localhost:81/ui/static/js/main.e0a64621.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTcwNTkyMjgsImlhdCI6MTc1NzA1ODkyOCwiYXV0aF90aW1lIjoxNzU3MDU4OTI3LCJqdGkiOiJlOGM4OWVlOS05NTNmLTRmMGItYWYxMS02ZmFjOTk1Y2RkNzYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.dZ3Obnh3ySaAHopn5SoJJ3ivBw6yuf6phVEe2QeiREBcVYUODbDwKeJM44F9uEgtNh3qPY-S85N3Zge7SbKNxS91H2SEFwXX7MDGGF_fAaDurbHu8C8okw_GEPcK-20mcnJlB43gSo0TELbqL_H6V5EZbYD4sietCgFWPOodO4HLiO5stIWzxIjl6egKXyg-G8xFRDQXSgN8ocr6GUNJ27L7-O-6jGJYh62JZzm33qFc6IqIwuKo8lneMmRwy3bJwmmgC9i-gqPBjIL8k8TX79XDTnGNCIBLoaY5idwfRiHAvyWLYFQ1uAivspcS2R4BApiFGnKxg_xVfL4CzDp_pQ' failed: Establishing a tunnel via proxy server failed.

[2025-09-05T07:55:37.532Z] [SEVERE] http://localhost:81/ui/static/js/main.e0a64621.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTcwNTkyMjgsImlhdCI6MTc1NzA1ODkyOCwiYXV0aF90aW1lIjoxNzU3MDU4OTI3LCJqdGkiOiJlOGM4OWVlOS05NTNmLTRmMGItYWYxMS02ZmFjOTk1Y2RkNzYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.dZ3Obnh3ySaAHopn5SoJJ3ivBw6yuf6phVEe2QeiREBcVYUODbDwKeJM44F9uEgtNh3qPY-S85N3Zge7SbKNxS91H2SEFwXX7MDGGF_fAaDurbHu8C8okw_GEPcK-20mcnJlB43gSo0TELbqL_H6V5EZbYD4sietCgFWPOodO4HLiO5stIWzxIjl6egKXyg-G8xFRDQXSgN8ocr6GUNJ27L7-O-6jGJYh62JZzm33qFc6IqIwuKo8lneMmRwy3bJwmmgC9i-gqPBjIL8k8TX79XDTnGNCIBLoaY5idwfRiHAvyWLYFQ1uAivspcS2R4BApiFGnKxg_xVfL4CzDp_pQ' failed: Establishing a tunnel via proxy server failed.
