[2025-09-05T08:13:16.917Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=0990a689-491a-4ef0-bf11-eb4471edd5ec&response_mode=fragment&response_type=code&scope=openid&nonce=e10a3558-77bd-4ceb-843a-f5f51d988cac - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/waahb/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-09-05T08:13:16.919Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=0990a689-491a-4ef0-bf11-eb4471edd5ec&response_mode=fragment&response_type=code&scope=openid&nonce=e10a3558-77bd-4ceb-843a-f5f51d988cac - Autofocus processing was blocked because a document already has a focused element.

[2025-09-05T08:13:18.911Z] [SEVERE] http://localhost:81/ui/static/js/main.e0a64621.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTcwNjAyOTgsImlhdCI6MTc1NzA1OTk5OCwiYXV0aF90aW1lIjoxNzU3MDU5OTk3LCJqdGkiOiJmMmZiYjlmMi1hMDMyLTQ2OWEtOTE5Yi0yZmIzZGFhODUwMGEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.X1Pw0QrkKNycFwiZYM2VFXkd6EuOVmJyaYaoYSqkNJCSbiUbYrqsiHqnkC9U3OME4NEo5Q4UZ_C_m7rq1goLkJVZ6LVAx2qW7wb9kKIGCrZw9qgt3CmF1fMtjSKvK7wBz87SM5MXnZ8P7hCe5Zo0mLkFgkp0dysV6YjTSrR21VYEiC9DAduS8jdp9joFaTt7EtiLBz8lcchPEv__EaHeYI9KrstuF___YEDydqr5wdJY257fBFkjIU5BbiB2ldh5MGK02-lK2FwjuHv86l70RXRfd4UHo8-Um-C5puE6UEiDiFAOZ0ns9uDRySfPrTp-9YBupCjIsWnHnyNFTMCe6A' failed: Establishing a tunnel via proxy server failed.

[2025-09-05T08:13:20.916Z] [SEVERE] http://localhost:81/ui/static/js/main.e0a64621.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTcwNjAyOTgsImlhdCI6MTc1NzA1OTk5OCwiYXV0aF90aW1lIjoxNzU3MDU5OTk3LCJqdGkiOiJmMmZiYjlmMi1hMDMyLTQ2OWEtOTE5Yi0yZmIzZGFhODUwMGEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.X1Pw0QrkKNycFwiZYM2VFXkd6EuOVmJyaYaoYSqkNJCSbiUbYrqsiHqnkC9U3OME4NEo5Q4UZ_C_m7rq1goLkJVZ6LVAx2qW7wb9kKIGCrZw9qgt3CmF1fMtjSKvK7wBz87SM5MXnZ8P7hCe5Zo0mLkFgkp0dysV6YjTSrR21VYEiC9DAduS8jdp9joFaTt7EtiLBz8lcchPEv__EaHeYI9KrstuF___YEDydqr5wdJY257fBFkjIU5BbiB2ldh5MGK02-lK2FwjuHv86l70RXRfd4UHo8-Um-C5puE6UEiDiFAOZ0ns9uDRySfPrTp-9YBupCjIsWnHnyNFTMCe6A' failed: Establishing a tunnel via proxy server failed.

[2025-09-05T08:13:23.009Z] [SEVERE] http://localhost:81/ui/static/js/main.e0a64621.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTcwNjAyOTgsImlhdCI6MTc1NzA1OTk5OCwiYXV0aF90aW1lIjoxNzU3MDU5OTk3LCJqdGkiOiJmMmZiYjlmMi1hMDMyLTQ2OWEtOTE5Yi0yZmIzZGFhODUwMGEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.X1Pw0QrkKNycFwiZYM2VFXkd6EuOVmJyaYaoYSqkNJCSbiUbYrqsiHqnkC9U3OME4NEo5Q4UZ_C_m7rq1goLkJVZ6LVAx2qW7wb9kKIGCrZw9qgt3CmF1fMtjSKvK7wBz87SM5MXnZ8P7hCe5Zo0mLkFgkp0dysV6YjTSrR21VYEiC9DAduS8jdp9joFaTt7EtiLBz8lcchPEv__EaHeYI9KrstuF___YEDydqr5wdJY257fBFkjIU5BbiB2ldh5MGK02-lK2FwjuHv86l70RXRfd4UHo8-Um-C5puE6UEiDiFAOZ0ns9uDRySfPrTp-9YBupCjIsWnHnyNFTMCe6A' failed: Establishing a tunnel via proxy server failed.

[2025-09-05T08:13:24.301Z] [SEVERE] http://localhost:81/ui/static/js/main.e0a64621.js 1:1396106 "Changes to disabled fields are not taken into account when sending"

[2025-09-05T08:13:25.020Z] [SEVERE] http://localhost:81/ui/static/js/main.e0a64621.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTcwNjAyOTgsImlhdCI6MTc1NzA1OTk5OCwiYXV0aF90aW1lIjoxNzU3MDU5OTk3LCJqdGkiOiJmMmZiYjlmMi1hMDMyLTQ2OWEtOTE5Yi0yZmIzZGFhODUwMGEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.X1Pw0QrkKNycFwiZYM2VFXkd6EuOVmJyaYaoYSqkNJCSbiUbYrqsiHqnkC9U3OME4NEo5Q4UZ_C_m7rq1goLkJVZ6LVAx2qW7wb9kKIGCrZw9qgt3CmF1fMtjSKvK7wBz87SM5MXnZ8P7hCe5Zo0mLkFgkp0dysV6YjTSrR21VYEiC9DAduS8jdp9joFaTt7EtiLBz8lcchPEv__EaHeYI9KrstuF___YEDydqr5wdJY257fBFkjIU5BbiB2ldh5MGK02-lK2FwjuHv86l70RXRfd4UHo8-Um-C5puE6UEiDiFAOZ0ns9uDRySfPrTp-9YBupCjIsWnHnyNFTMCe6A' failed: Establishing a tunnel via proxy server failed.
