[2025-09-05T08:11:44.533Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=2ce6cadf-e11f-4d70-853f-247f65d8cb78&response_mode=fragment&response_type=code&scope=openid&nonce=102f2c0a-844f-4b6a-8019-432378d18523 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/waahb/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-09-05T08:11:44.534Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=2ce6cadf-e11f-4d70-853f-247f65d8cb78&response_mode=fragment&response_type=code&scope=openid&nonce=102f2c0a-844f-4b6a-8019-432378d18523 - Autofocus processing was blocked because a document already has a focused element.

[2025-09-05T08:11:46.598Z] [SEVERE] http://localhost:81/ui/static/js/main.e0a64621.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTcwNjAyMDUsImlhdCI6MTc1NzA1OTkwNSwiYXV0aF90aW1lIjoxNzU3MDU5OTA0LCJqdGkiOiJiZTdlNmE3Mi0zMmE4LTQ5ZjctYTUyZC00ZTRjMDZmYTU3NmYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.XeJs5dj5yeWC7H3jbmlq8u7YfWSuM1JsabgdEDdslS2gIh6OzdzxlHLV2IB4BA9hUGgaqbHMbFqPJKPif1nu7mJQioQZFrrsTXSuCV-bUx-JP-e_iEaF-i_1sJSZdAZ8jFpuN4flM9oKP8tJF5r7G-ciALZfvaLjM7XB6LxYa3aE6s6T8sYiwoG6lQ9_5NILNoL5klegqXKmcOYZnXECYQ43xZC8XPe4V99znJxrAaLcFw0ca1O-fF1tUHs6GtEGxnuYcwXjDd28QF64SR5rMh5Z_RavFmYZPr4SB1w5lRI6EhJ0LkBY5BxsKsPQjXfPPet6tBDe_rX2Ed42J4jd3Q' failed: Establishing a tunnel via proxy server failed.

[2025-09-05T08:11:48.605Z] [SEVERE] http://localhost:81/ui/static/js/main.e0a64621.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTcwNjAyMDUsImlhdCI6MTc1NzA1OTkwNSwiYXV0aF90aW1lIjoxNzU3MDU5OTA0LCJqdGkiOiJiZTdlNmE3Mi0zMmE4LTQ5ZjctYTUyZC00ZTRjMDZmYTU3NmYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.XeJs5dj5yeWC7H3jbmlq8u7YfWSuM1JsabgdEDdslS2gIh6OzdzxlHLV2IB4BA9hUGgaqbHMbFqPJKPif1nu7mJQioQZFrrsTXSuCV-bUx-JP-e_iEaF-i_1sJSZdAZ8jFpuN4flM9oKP8tJF5r7G-ciALZfvaLjM7XB6LxYa3aE6s6T8sYiwoG6lQ9_5NILNoL5klegqXKmcOYZnXECYQ43xZC8XPe4V99znJxrAaLcFw0ca1O-fF1tUHs6GtEGxnuYcwXjDd28QF64SR5rMh5Z_RavFmYZPr4SB1w5lRI6EhJ0LkBY5BxsKsPQjXfPPet6tBDe_rX2Ed42J4jd3Q' failed: Establishing a tunnel via proxy server failed.

[2025-09-05T08:11:50.734Z] [SEVERE] http://localhost:81/ui/static/js/main.e0a64621.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTcwNjAyMDUsImlhdCI6MTc1NzA1OTkwNSwiYXV0aF90aW1lIjoxNzU3MDU5OTA0LCJqdGkiOiJiZTdlNmE3Mi0zMmE4LTQ5ZjctYTUyZC00ZTRjMDZmYTU3NmYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.XeJs5dj5yeWC7H3jbmlq8u7YfWSuM1JsabgdEDdslS2gIh6OzdzxlHLV2IB4BA9hUGgaqbHMbFqPJKPif1nu7mJQioQZFrrsTXSuCV-bUx-JP-e_iEaF-i_1sJSZdAZ8jFpuN4flM9oKP8tJF5r7G-ciALZfvaLjM7XB6LxYa3aE6s6T8sYiwoG6lQ9_5NILNoL5klegqXKmcOYZnXECYQ43xZC8XPe4V99znJxrAaLcFw0ca1O-fF1tUHs6GtEGxnuYcwXjDd28QF64SR5rMh5Z_RavFmYZPr4SB1w5lRI6EhJ0LkBY5BxsKsPQjXfPPet6tBDe_rX2Ed42J4jd3Q' failed: Establishing a tunnel via proxy server failed.

[2025-09-05T08:11:52.684Z] [SEVERE] http://localhost:81/ui/static/js/main.e0a64621.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTcwNjAyMDUsImlhdCI6MTc1NzA1OTkwNSwiYXV0aF90aW1lIjoxNzU3MDU5OTA0LCJqdGkiOiJiZTdlNmE3Mi0zMmE4LTQ5ZjctYTUyZC00ZTRjMDZmYTU3NmYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.XeJs5dj5yeWC7H3jbmlq8u7YfWSuM1JsabgdEDdslS2gIh6OzdzxlHLV2IB4BA9hUGgaqbHMbFqPJKPif1nu7mJQioQZFrrsTXSuCV-bUx-JP-e_iEaF-i_1sJSZdAZ8jFpuN4flM9oKP8tJF5r7G-ciALZfvaLjM7XB6LxYa3aE6s6T8sYiwoG6lQ9_5NILNoL5klegqXKmcOYZnXECYQ43xZC8XPe4V99znJxrAaLcFw0ca1O-fF1tUHs6GtEGxnuYcwXjDd28QF64SR5rMh5Z_RavFmYZPr4SB1w5lRI6EhJ0LkBY5BxsKsPQjXfPPet6tBDe_rX2Ed42J4jd3Q' failed: Establishing a tunnel via proxy server failed.

[2025-09-05T08:11:54.618Z] [SEVERE] http://localhost:81/ui/static/js/main.e0a64621.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTcwNjAyMDUsImlhdCI6MTc1NzA1OTkwNSwiYXV0aF90aW1lIjoxNzU3MDU5OTA0LCJqdGkiOiJiZTdlNmE3Mi0zMmE4LTQ5ZjctYTUyZC00ZTRjMDZmYTU3NmYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.XeJs5dj5yeWC7H3jbmlq8u7YfWSuM1JsabgdEDdslS2gIh6OzdzxlHLV2IB4BA9hUGgaqbHMbFqPJKPif1nu7mJQioQZFrrsTXSuCV-bUx-JP-e_iEaF-i_1sJSZdAZ8jFpuN4flM9oKP8tJF5r7G-ciALZfvaLjM7XB6LxYa3aE6s6T8sYiwoG6lQ9_5NILNoL5klegqXKmcOYZnXECYQ43xZC8XPe4V99znJxrAaLcFw0ca1O-fF1tUHs6GtEGxnuYcwXjDd28QF64SR5rMh5Z_RavFmYZPr4SB1w5lRI6EhJ0LkBY5BxsKsPQjXfPPet6tBDe_rX2Ed42J4jd3Q' failed: Establishing a tunnel via proxy server failed.

[2025-09-05T08:11:56.780Z] [SEVERE] http://localhost:81/ui/static/js/main.e0a64621.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTcwNjAyMDUsImlhdCI6MTc1NzA1OTkwNSwiYXV0aF90aW1lIjoxNzU3MDU5OTA0LCJqdGkiOiJiZTdlNmE3Mi0zMmE4LTQ5ZjctYTUyZC00ZTRjMDZmYTU3NmYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.XeJs5dj5yeWC7H3jbmlq8u7YfWSuM1JsabgdEDdslS2gIh6OzdzxlHLV2IB4BA9hUGgaqbHMbFqPJKPif1nu7mJQioQZFrrsTXSuCV-bUx-JP-e_iEaF-i_1sJSZdAZ8jFpuN4flM9oKP8tJF5r7G-ciALZfvaLjM7XB6LxYa3aE6s6T8sYiwoG6lQ9_5NILNoL5klegqXKmcOYZnXECYQ43xZC8XPe4V99znJxrAaLcFw0ca1O-fF1tUHs6GtEGxnuYcwXjDd28QF64SR5rMh5Z_RavFmYZPr4SB1w5lRI6EhJ0LkBY5BxsKsPQjXfPPet6tBDe_rX2Ed42J4jd3Q' failed: Establishing a tunnel via proxy server failed.

[2025-09-05T08:11:58.752Z] [SEVERE] http://localhost:81/ui/static/js/main.e0a64621.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTcwNjAyMDUsImlhdCI6MTc1NzA1OTkwNSwiYXV0aF90aW1lIjoxNzU3MDU5OTA0LCJqdGkiOiJiZTdlNmE3Mi0zMmE4LTQ5ZjctYTUyZC00ZTRjMDZmYTU3NmYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.XeJs5dj5yeWC7H3jbmlq8u7YfWSuM1JsabgdEDdslS2gIh6OzdzxlHLV2IB4BA9hUGgaqbHMbFqPJKPif1nu7mJQioQZFrrsTXSuCV-bUx-JP-e_iEaF-i_1sJSZdAZ8jFpuN4flM9oKP8tJF5r7G-ciALZfvaLjM7XB6LxYa3aE6s6T8sYiwoG6lQ9_5NILNoL5klegqXKmcOYZnXECYQ43xZC8XPe4V99znJxrAaLcFw0ca1O-fF1tUHs6GtEGxnuYcwXjDd28QF64SR5rMh5Z_RavFmYZPr4SB1w5lRI6EhJ0LkBY5BxsKsPQjXfPPet6tBDe_rX2Ed42J4jd3Q' failed: Establishing a tunnel via proxy server failed.

