[2025-10-09T13:01:47.300Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=c30d54ec-645c-4a34-b8dd-afc7ba26beff&response_mode=fragment&response_type=code&scope=openid&nonce=9041189e-dd03-4bf8-a257-b660ba450101 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/g3pwm/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-10-09T13:01:47.300Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=c30d54ec-645c-4a34-b8dd-afc7ba26beff&response_mode=fragment&response_type=code&scope=openid&nonce=9041189e-dd03-4bf8-a257-b660ba450101 - Autofocus processing was blocked because a document already has a focused element.

[2025-10-09T13:01:49.429Z] [SEVERE] http://localhost:81/ui/static/js/main.d27ce787.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTUyMDgsImlhdCI6MTc2MDAxNDkwOCwiYXV0aF90aW1lIjoxNzYwMDE0OTA3LCJqdGkiOiIxZjBjNWVhZi0zZGI0LTRkNmQtOWEyZC0wOGJhYTUxY2VjY2UiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.EWV4ov0DlJznQ8ajYmzrgevvAEM7zo6Rmx17mxqR-VM34_xRQHPjYYh1sENA4Yb3hY2TCXOAIr196OEGRtuwddAaJjzIB5m6U32iG6SG6iKK9pXSsoIKrG7gN3C9J1yLYoPTDDNTtobHeifBOWpH8D6y9axrlvjsIbVsx5QS14GQayPTxyBYZS-n2DKTcBNiiYEcwD7yv5XVYzZ6NtrCyFDNQfBFXlP1L3OC3ePj06at1Du7gqJ-GmMcnfCc2-MgqB7YFzI-0kjXOFROGG4ubObxk8V3CEgnjCtW9kXrsqeuUiDCDBwS5sGPCmQ9WpkeIgmpoHWYUCANZxA6zRVmng' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T13:01:51.434Z] [SEVERE] http://localhost:81/ui/static/js/main.d27ce787.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTUyMDgsImlhdCI6MTc2MDAxNDkwOCwiYXV0aF90aW1lIjoxNzYwMDE0OTA3LCJqdGkiOiIxZjBjNWVhZi0zZGI0LTRkNmQtOWEyZC0wOGJhYTUxY2VjY2UiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.EWV4ov0DlJznQ8ajYmzrgevvAEM7zo6Rmx17mxqR-VM34_xRQHPjYYh1sENA4Yb3hY2TCXOAIr196OEGRtuwddAaJjzIB5m6U32iG6SG6iKK9pXSsoIKrG7gN3C9J1yLYoPTDDNTtobHeifBOWpH8D6y9axrlvjsIbVsx5QS14GQayPTxyBYZS-n2DKTcBNiiYEcwD7yv5XVYzZ6NtrCyFDNQfBFXlP1L3OC3ePj06at1Du7gqJ-GmMcnfCc2-MgqB7YFzI-0kjXOFROGG4ubObxk8V3CEgnjCtW9kXrsqeuUiDCDBwS5sGPCmQ9WpkeIgmpoHWYUCANZxA6zRVmng' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T13:01:53.596Z] [SEVERE] http://localhost:81/ui/static/js/main.d27ce787.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTUyMDgsImlhdCI6MTc2MDAxNDkwOCwiYXV0aF90aW1lIjoxNzYwMDE0OTA3LCJqdGkiOiIxZjBjNWVhZi0zZGI0LTRkNmQtOWEyZC0wOGJhYTUxY2VjY2UiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.EWV4ov0DlJznQ8ajYmzrgevvAEM7zo6Rmx17mxqR-VM34_xRQHPjYYh1sENA4Yb3hY2TCXOAIr196OEGRtuwddAaJjzIB5m6U32iG6SG6iKK9pXSsoIKrG7gN3C9J1yLYoPTDDNTtobHeifBOWpH8D6y9axrlvjsIbVsx5QS14GQayPTxyBYZS-n2DKTcBNiiYEcwD7yv5XVYzZ6NtrCyFDNQfBFXlP1L3OC3ePj06at1Du7gqJ-GmMcnfCc2-MgqB7YFzI-0kjXOFROGG4ubObxk8V3CEgnjCtW9kXrsqeuUiDCDBwS5sGPCmQ9WpkeIgmpoHWYUCANZxA6zRVmng' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T13:01:55.516Z] [SEVERE] http://localhost:81/ui/static/js/main.d27ce787.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTUyMDgsImlhdCI6MTc2MDAxNDkwOCwiYXV0aF90aW1lIjoxNzYwMDE0OTA3LCJqdGkiOiIxZjBjNWVhZi0zZGI0LTRkNmQtOWEyZC0wOGJhYTUxY2VjY2UiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.EWV4ov0DlJznQ8ajYmzrgevvAEM7zo6Rmx17mxqR-VM34_xRQHPjYYh1sENA4Yb3hY2TCXOAIr196OEGRtuwddAaJjzIB5m6U32iG6SG6iKK9pXSsoIKrG7gN3C9J1yLYoPTDDNTtobHeifBOWpH8D6y9axrlvjsIbVsx5QS14GQayPTxyBYZS-n2DKTcBNiiYEcwD7yv5XVYzZ6NtrCyFDNQfBFXlP1L3OC3ePj06at1Du7gqJ-GmMcnfCc2-MgqB7YFzI-0kjXOFROGG4ubObxk8V3CEgnjCtW9kXrsqeuUiDCDBwS5sGPCmQ9WpkeIgmpoHWYUCANZxA6zRVmng' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T13:01:57.522Z] [SEVERE] http://localhost:81/ui/static/js/main.d27ce787.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTUyMDgsImlhdCI6MTc2MDAxNDkwOCwiYXV0aF90aW1lIjoxNzYwMDE0OTA3LCJqdGkiOiIxZjBjNWVhZi0zZGI0LTRkNmQtOWEyZC0wOGJhYTUxY2VjY2UiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.EWV4ov0DlJznQ8ajYmzrgevvAEM7zo6Rmx17mxqR-VM34_xRQHPjYYh1sENA4Yb3hY2TCXOAIr196OEGRtuwddAaJjzIB5m6U32iG6SG6iKK9pXSsoIKrG7gN3C9J1yLYoPTDDNTtobHeifBOWpH8D6y9axrlvjsIbVsx5QS14GQayPTxyBYZS-n2DKTcBNiiYEcwD7yv5XVYzZ6NtrCyFDNQfBFXlP1L3OC3ePj06at1Du7gqJ-GmMcnfCc2-MgqB7YFzI-0kjXOFROGG4ubObxk8V3CEgnjCtW9kXrsqeuUiDCDBwS5sGPCmQ9WpkeIgmpoHWYUCANZxA6zRVmng' failed: Establishing a tunnel via proxy server failed.
