[2025-10-09T13:01:26.308Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=1d244234-6786-45a9-938d-3845a56a5c94&response_mode=fragment&response_type=code&scope=openid&nonce=dfce20c7-0c0f-4ce3-8547-bdec8e7e1c85 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/g3pwm/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-10-09T13:01:26.309Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=1d244234-6786-45a9-938d-3845a56a5c94&response_mode=fragment&response_type=code&scope=openid&nonce=dfce20c7-0c0f-4ce3-8547-bdec8e7e1c85 - Autofocus processing was blocked because a document already has a focused element.

[2025-10-09T13:01:28.302Z] [SEVERE] http://localhost:81/ui/static/js/main.d27ce787.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTUxODcsImlhdCI6MTc2MDAxNDg4NywiYXV0aF90aW1lIjoxNzYwMDE0ODg2LCJqdGkiOiIzYzAwY2JlMS01ZGNmLTQ4Y2ItYTg1ZS1lYzU0OGY2ZjVlOWQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Bd6Dp7IG0qWbCSF78HhmzmpOXrNZdIc8ATEIixWoGo5fQRlIax55KNp30QOEAnZrVM9dVxU7SsafClT_HaV4T2toFV0BcY1mQV6KZiyJMJAxu1q39KaDZQg8wbauuAaJilPRQ35KGYC5NrwSo7A5qCmPJLAENSgCkSDDC1NHkq9PyK5czqywgl5qClHCdOrFrWNmUTiWp_wfnOfmKqIaYVhtXCdbaexvoT5N5yU7WIW_6CvT1n9K0QPG0xhTZUi7Nrz2hlhjwqgEFzqCEVMOVul0tdJNQnDOxBVmk4N7Rijq1qE8uwLEnpoIX3FLw1ciLhO44tS1vVkrX4Ta3o2tyA' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T13:01:31.017Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=90027229-5a68-40c9-8d16-61c98366fb48&response_mode=fragment&response_type=code&scope=openid&nonce=256ce275-a392-4562-98ef-d5cf207c9d6f - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/g3pwm/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-10-09T13:01:33.160Z] [SEVERE] http://localhost:81/ui/static/js/main.d27ce787.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTUxOTIsImlhdCI6MTc2MDAxNDg5MiwiYXV0aF90aW1lIjoxNzYwMDE0ODkxLCJqdGkiOiI0MDljZDAxOS0yYzg0LTQwMzQtOTcyYi0wMmI3ZGI5ZTg1MzgiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.FGRHkf9hdJC14CqXKQcnPMbLdH27DST8m_UPM25k5BXWQ8cDGy3Cn_XRN-cGS2PP0qVp00pUA2liBbe_5DTaum4POdoDTADiFNzrraMmPCcCwVNMMFB0ZyMG2UVkECRh6DUhhO1bMM_KZekOB_sSmusuwG6sOs9q5TYG_LlMC6ubYWXKjCDSA8HpDpuNJSzCAurFOFXyZlsBbQqrWhs1xt6iUTj-3Rey4G96JsLiuQpEzt-_qlX5j9fOJqB0tCE3QtYqkyZKQbDgf1kfchX_2ztKPJECr1KPPAy5oa6MiuMIpiPwCkQz2VHq-NNuD-xClsB2frGqZ1jIvtU3bYjPpA' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T13:01:35.163Z] [SEVERE] http://localhost:81/ui/static/js/main.d27ce787.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTUxOTIsImlhdCI6MTc2MDAxNDg5MiwiYXV0aF90aW1lIjoxNzYwMDE0ODkxLCJqdGkiOiI0MDljZDAxOS0yYzg0LTQwMzQtOTcyYi0wMmI3ZGI5ZTg1MzgiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.FGRHkf9hdJC14CqXKQcnPMbLdH27DST8m_UPM25k5BXWQ8cDGy3Cn_XRN-cGS2PP0qVp00pUA2liBbe_5DTaum4POdoDTADiFNzrraMmPCcCwVNMMFB0ZyMG2UVkECRh6DUhhO1bMM_KZekOB_sSmusuwG6sOs9q5TYG_LlMC6ubYWXKjCDSA8HpDpuNJSzCAurFOFXyZlsBbQqrWhs1xt6iUTj-3Rey4G96JsLiuQpEzt-_qlX5j9fOJqB0tCE3QtYqkyZKQbDgf1kfchX_2ztKPJECr1KPPAy5oa6MiuMIpiPwCkQz2VHq-NNuD-xClsB2frGqZ1jIvtU3bYjPpA' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T13:01:37.339Z] [SEVERE] http://localhost:81/ui/static/js/main.d27ce787.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTUxOTIsImlhdCI6MTc2MDAxNDg5MiwiYXV0aF90aW1lIjoxNzYwMDE0ODkxLCJqdGkiOiI0MDljZDAxOS0yYzg0LTQwMzQtOTcyYi0wMmI3ZGI5ZTg1MzgiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.FGRHkf9hdJC14CqXKQcnPMbLdH27DST8m_UPM25k5BXWQ8cDGy3Cn_XRN-cGS2PP0qVp00pUA2liBbe_5DTaum4POdoDTADiFNzrraMmPCcCwVNMMFB0ZyMG2UVkECRh6DUhhO1bMM_KZekOB_sSmusuwG6sOs9q5TYG_LlMC6ubYWXKjCDSA8HpDpuNJSzCAurFOFXyZlsBbQqrWhs1xt6iUTj-3Rey4G96JsLiuQpEzt-_qlX5j9fOJqB0tCE3QtYqkyZKQbDgf1kfchX_2ztKPJECr1KPPAy5oa6MiuMIpiPwCkQz2VHq-NNuD-xClsB2frGqZ1jIvtU3bYjPpA' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T13:01:39.228Z] [SEVERE] http://localhost:81/ui/static/js/main.d27ce787.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTUxOTIsImlhdCI6MTc2MDAxNDg5MiwiYXV0aF90aW1lIjoxNzYwMDE0ODkxLCJqdGkiOiI0MDljZDAxOS0yYzg0LTQwMzQtOTcyYi0wMmI3ZGI5ZTg1MzgiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.FGRHkf9hdJC14CqXKQcnPMbLdH27DST8m_UPM25k5BXWQ8cDGy3Cn_XRN-cGS2PP0qVp00pUA2liBbe_5DTaum4POdoDTADiFNzrraMmPCcCwVNMMFB0ZyMG2UVkECRh6DUhhO1bMM_KZekOB_sSmusuwG6sOs9q5TYG_LlMC6ubYWXKjCDSA8HpDpuNJSzCAurFOFXyZlsBbQqrWhs1xt6iUTj-3Rey4G96JsLiuQpEzt-_qlX5j9fOJqB0tCE3QtYqkyZKQbDgf1kfchX_2ztKPJECr1KPPAy5oa6MiuMIpiPwCkQz2VHq-NNuD-xClsB2frGqZ1jIvtU3bYjPpA' failed: Establishing a tunnel via proxy server failed.

