[2025-10-09T12:48:53.593Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=ebf6ce40-6dec-4f9f-833d-aec226d834a6&response_mode=fragment&response_type=code&scope=openid&nonce=e84e99fd-a92d-45fd-b653-aea4adce5c1a - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/g3pwm/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-10-09T12:48:53.593Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=ebf6ce40-6dec-4f9f-833d-aec226d834a6&response_mode=fragment&response_type=code&scope=openid&nonce=e84e99fd-a92d-45fd-b653-aea4adce5c1a - Autofocus processing was blocked because a document already has a focused element.

[2025-10-09T12:48:55.673Z] [SEVERE] http://localhost:81/ui/static/js/main.d27ce787.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTQ0MzQsImlhdCI6MTc2MDAxNDEzNCwiYXV0aF90aW1lIjoxNzYwMDE0MTMzLCJqdGkiOiIzZGQ2MzAxMS1lZmUzLTQ4ZjMtODEyZi03NjJjYjVlNjQ3ZjciLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.ZpRxtpBlq5o9RzkxGlB17jMhmiB2yd3T0PY0YQb0MlrM7wTdKW4jNjMZQ8xZMbkvFUj5Hu1lR_CYjPYM_KltSHgZvDbGXlhmoPbqyJHQYfqQuMRR2HVJauxkC1nyjVuB362FZ8zQeVcspEjaG8a6RHDYqeRyfvSEYA-YhmMVWHMDdve7Ct8UmFPiAyN0fY6BAolXjmYImEtga6nasXaIuduZV0LGtDkk4FaQUrmHwWZEk1I6spaTywUXT5MK-iS0fvcz14JyALPFmn1xBSbT-sHMXEYQnDFggVQW4Svcgnofy1yNgJJgHyCO07gAynO9M2ROlK3WBRhBeWImoBHoLg' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T12:48:57.710Z] [SEVERE] http://localhost:81/ui/static/js/main.d27ce787.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTQ0MzQsImlhdCI6MTc2MDAxNDEzNCwiYXV0aF90aW1lIjoxNzYwMDE0MTMzLCJqdGkiOiIzZGQ2MzAxMS1lZmUzLTQ4ZjMtODEyZi03NjJjYjVlNjQ3ZjciLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.ZpRxtpBlq5o9RzkxGlB17jMhmiB2yd3T0PY0YQb0MlrM7wTdKW4jNjMZQ8xZMbkvFUj5Hu1lR_CYjPYM_KltSHgZvDbGXlhmoPbqyJHQYfqQuMRR2HVJauxkC1nyjVuB362FZ8zQeVcspEjaG8a6RHDYqeRyfvSEYA-YhmMVWHMDdve7Ct8UmFPiAyN0fY6BAolXjmYImEtga6nasXaIuduZV0LGtDkk4FaQUrmHwWZEk1I6spaTywUXT5MK-iS0fvcz14JyALPFmn1xBSbT-sHMXEYQnDFggVQW4Svcgnofy1yNgJJgHyCO07gAynO9M2ROlK3WBRhBeWImoBHoLg' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T12:48:59.782Z] [SEVERE] http://localhost:81/ui/static/js/main.d27ce787.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTQ0MzQsImlhdCI6MTc2MDAxNDEzNCwiYXV0aF90aW1lIjoxNzYwMDE0MTMzLCJqdGkiOiIzZGQ2MzAxMS1lZmUzLTQ4ZjMtODEyZi03NjJjYjVlNjQ3ZjciLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.ZpRxtpBlq5o9RzkxGlB17jMhmiB2yd3T0PY0YQb0MlrM7wTdKW4jNjMZQ8xZMbkvFUj5Hu1lR_CYjPYM_KltSHgZvDbGXlhmoPbqyJHQYfqQuMRR2HVJauxkC1nyjVuB362FZ8zQeVcspEjaG8a6RHDYqeRyfvSEYA-YhmMVWHMDdve7Ct8UmFPiAyN0fY6BAolXjmYImEtga6nasXaIuduZV0LGtDkk4FaQUrmHwWZEk1I6spaTywUXT5MK-iS0fvcz14JyALPFmn1xBSbT-sHMXEYQnDFggVQW4Svcgnofy1yNgJJgHyCO07gAynO9M2ROlK3WBRhBeWImoBHoLg' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T12:49:01.814Z] [SEVERE] http://localhost:81/ui/static/js/main.d27ce787.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTQ0MzQsImlhdCI6MTc2MDAxNDEzNCwiYXV0aF90aW1lIjoxNzYwMDE0MTMzLCJqdGkiOiIzZGQ2MzAxMS1lZmUzLTQ4ZjMtODEyZi03NjJjYjVlNjQ3ZjciLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.ZpRxtpBlq5o9RzkxGlB17jMhmiB2yd3T0PY0YQb0MlrM7wTdKW4jNjMZQ8xZMbkvFUj5Hu1lR_CYjPYM_KltSHgZvDbGXlhmoPbqyJHQYfqQuMRR2HVJauxkC1nyjVuB362FZ8zQeVcspEjaG8a6RHDYqeRyfvSEYA-YhmMVWHMDdve7Ct8UmFPiAyN0fY6BAolXjmYImEtga6nasXaIuduZV0LGtDkk4FaQUrmHwWZEk1I6spaTywUXT5MK-iS0fvcz14JyALPFmn1xBSbT-sHMXEYQnDFggVQW4Svcgnofy1yNgJJgHyCO07gAynO9M2ROlK3WBRhBeWImoBHoLg' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T12:49:03.896Z] [SEVERE] http://localhost:81/ui/static/js/main.d27ce787.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTQ0MzQsImlhdCI6MTc2MDAxNDEzNCwiYXV0aF90aW1lIjoxNzYwMDE0MTMzLCJqdGkiOiIzZGQ2MzAxMS1lZmUzLTQ4ZjMtODEyZi03NjJjYjVlNjQ3ZjciLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.ZpRxtpBlq5o9RzkxGlB17jMhmiB2yd3T0PY0YQb0MlrM7wTdKW4jNjMZQ8xZMbkvFUj5Hu1lR_CYjPYM_KltSHgZvDbGXlhmoPbqyJHQYfqQuMRR2HVJauxkC1nyjVuB362FZ8zQeVcspEjaG8a6RHDYqeRyfvSEYA-YhmMVWHMDdve7Ct8UmFPiAyN0fY6BAolXjmYImEtga6nasXaIuduZV0LGtDkk4FaQUrmHwWZEk1I6spaTywUXT5MK-iS0fvcz14JyALPFmn1xBSbT-sHMXEYQnDFggVQW4Svcgnofy1yNgJJgHyCO07gAynO9M2ROlK3WBRhBeWImoBHoLg' failed: Establishing a tunnel via proxy server failed.
