[2025-10-09T12:59:09.257Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=3a55a440-d45b-495a-92c2-8580ee7f3dbb&response_mode=fragment&response_type=code&scope=openid&nonce=ce7ed520-5f09-44fd-ac97-b282463b4132 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/g3pwm/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-10-09T12:59:09.258Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=3a55a440-d45b-495a-92c2-8580ee7f3dbb&response_mode=fragment&response_type=code&scope=openid&nonce=ce7ed520-5f09-44fd-ac97-b282463b4132 - Autofocus processing was blocked because a document already has a focused element.

[2025-10-09T12:59:11.265Z] [SEVERE] http://localhost:81/ui/static/js/main.d27ce787.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTUwNTAsImlhdCI6MTc2MDAxNDc1MCwiYXV0aF90aW1lIjoxNzYwMDE0NzQ5LCJqdGkiOiI3ZTAwMTdiYS0wOGM5LTQ5NWMtOWZhOC00YTI4NzI5YjQ1NTAiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.XIcxG6CeFT56qz5Z15HF1oDA2tpRM2aF6E9-jYROcLGfKbm_MXtfvzZ_7l-UtxJKOO_UNkhUc5xC_7Evoqd9OUb6zKM3Lj1Y6wXpcqrPfhYOJY6qC2q2M27nhV62wbBFUv4TRtVVO_J75zodzbGL2v4QfAUIJ24NL1Rqedzch2y0y1FCje4TxFh5NO8hogWMaC7Em_M11ELPmisyAbSe2YrwF-Uf2uexppk6GMOt66pi0ESrs5F0DH6VRVEHaqvq_QlYrdQrcA9S0T03YQJZOoHVQIzvSB10Pp_biF5WEVFI1hyvYQ5ANYYMHp28GB9dOgTflQ3VzKlR0Grih-H_tQ' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T12:59:13.271Z] [SEVERE] http://localhost:81/ui/static/js/main.d27ce787.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTUwNTAsImlhdCI6MTc2MDAxNDc1MCwiYXV0aF90aW1lIjoxNzYwMDE0NzQ5LCJqdGkiOiI3ZTAwMTdiYS0wOGM5LTQ5NWMtOWZhOC00YTI4NzI5YjQ1NTAiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.XIcxG6CeFT56qz5Z15HF1oDA2tpRM2aF6E9-jYROcLGfKbm_MXtfvzZ_7l-UtxJKOO_UNkhUc5xC_7Evoqd9OUb6zKM3Lj1Y6wXpcqrPfhYOJY6qC2q2M27nhV62wbBFUv4TRtVVO_J75zodzbGL2v4QfAUIJ24NL1Rqedzch2y0y1FCje4TxFh5NO8hogWMaC7Em_M11ELPmisyAbSe2YrwF-Uf2uexppk6GMOt66pi0ESrs5F0DH6VRVEHaqvq_QlYrdQrcA9S0T03YQJZOoHVQIzvSB10Pp_biF5WEVFI1hyvYQ5ANYYMHp28GB9dOgTflQ3VzKlR0Grih-H_tQ' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T12:59:15.275Z] [SEVERE] http://localhost:81/ui/static/js/main.d27ce787.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTUwNTAsImlhdCI6MTc2MDAxNDc1MCwiYXV0aF90aW1lIjoxNzYwMDE0NzQ5LCJqdGkiOiI3ZTAwMTdiYS0wOGM5LTQ5NWMtOWZhOC00YTI4NzI5YjQ1NTAiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.XIcxG6CeFT56qz5Z15HF1oDA2tpRM2aF6E9-jYROcLGfKbm_MXtfvzZ_7l-UtxJKOO_UNkhUc5xC_7Evoqd9OUb6zKM3Lj1Y6wXpcqrPfhYOJY6qC2q2M27nhV62wbBFUv4TRtVVO_J75zodzbGL2v4QfAUIJ24NL1Rqedzch2y0y1FCje4TxFh5NO8hogWMaC7Em_M11ELPmisyAbSe2YrwF-Uf2uexppk6GMOt66pi0ESrs5F0DH6VRVEHaqvq_QlYrdQrcA9S0T03YQJZOoHVQIzvSB10Pp_biF5WEVFI1hyvYQ5ANYYMHp28GB9dOgTflQ3VzKlR0Grih-H_tQ' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T12:59:17.411Z] [SEVERE] http://localhost:81/ui/static/js/main.d27ce787.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTUwNTAsImlhdCI6MTc2MDAxNDc1MCwiYXV0aF90aW1lIjoxNzYwMDE0NzQ5LCJqdGkiOiI3ZTAwMTdiYS0wOGM5LTQ5NWMtOWZhOC00YTI4NzI5YjQ1NTAiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.XIcxG6CeFT56qz5Z15HF1oDA2tpRM2aF6E9-jYROcLGfKbm_MXtfvzZ_7l-UtxJKOO_UNkhUc5xC_7Evoqd9OUb6zKM3Lj1Y6wXpcqrPfhYOJY6qC2q2M27nhV62wbBFUv4TRtVVO_J75zodzbGL2v4QfAUIJ24NL1Rqedzch2y0y1FCje4TxFh5NO8hogWMaC7Em_M11ELPmisyAbSe2YrwF-Uf2uexppk6GMOt66pi0ESrs5F0DH6VRVEHaqvq_QlYrdQrcA9S0T03YQJZOoHVQIzvSB10Pp_biF5WEVFI1hyvYQ5ANYYMHp28GB9dOgTflQ3VzKlR0Grih-H_tQ' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T12:59:19.314Z] [SEVERE] http://localhost:81/ui/static/js/main.d27ce787.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTUwNTAsImlhdCI6MTc2MDAxNDc1MCwiYXV0aF90aW1lIjoxNzYwMDE0NzQ5LCJqdGkiOiI3ZTAwMTdiYS0wOGM5LTQ5NWMtOWZhOC00YTI4NzI5YjQ1NTAiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.XIcxG6CeFT56qz5Z15HF1oDA2tpRM2aF6E9-jYROcLGfKbm_MXtfvzZ_7l-UtxJKOO_UNkhUc5xC_7Evoqd9OUb6zKM3Lj1Y6wXpcqrPfhYOJY6qC2q2M27nhV62wbBFUv4TRtVVO_J75zodzbGL2v4QfAUIJ24NL1Rqedzch2y0y1FCje4TxFh5NO8hogWMaC7Em_M11ELPmisyAbSe2YrwF-Uf2uexppk6GMOt66pi0ESrs5F0DH6VRVEHaqvq_QlYrdQrcA9S0T03YQJZOoHVQIzvSB10Pp_biF5WEVFI1hyvYQ5ANYYMHp28GB9dOgTflQ3VzKlR0Grih-H_tQ' failed: Establishing a tunnel via proxy server failed.
