[2025-10-09T13:07:32.325Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=0b0ab282-5999-4bec-973f-e0a953a5739a&response_mode=fragment&response_type=code&scope=openid&nonce=f50babba-d479-42df-a57b-4c8beaacc235 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/g3pwm/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-10-09T13:07:32.326Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=0b0ab282-5999-4bec-973f-e0a953a5739a&response_mode=fragment&response_type=code&scope=openid&nonce=f50babba-d479-42df-a57b-4c8beaacc235 - Autofocus processing was blocked because a document already has a focused element.

[2025-10-09T13:07:34.249Z] [SEVERE] http://localhost:81/ui/static/js/main.d27ce787.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTU1NTMsImlhdCI6MTc2MDAxNTI1MywiYXV0aF90aW1lIjoxNzYwMDE1MjUyLCJqdGkiOiJkYTE2NGVkZC1hZDY1LTRjMWEtYjg4OS1iMGY0NDM5MzhmM2EiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.T5mYj-iWXFPrUMJxMFaHeHfiQ_omzkSthzMzcHgCqETPmTQkcqqzDYSdxcsKflNg5pWy01-M7cN7P2IhPuEhyxdPUsdNmimyDjDBo4hx-LdOr2RrZ8vQWuTX_xukg4mQImbXONv0mQSTagAuiIbuqHPVK-xVphp6iCW6GFjlM1b2n_NEl_SWA4Aasioek0_CZqYLo1VJDKRzSZFHcG6y_8shu1ddaYzbbDZgnr1tnaiXPFuuDm94jEGz30vWjcXF1zH96wHUU0VEYh6GHbX8UMADU_UI-UVCgqIK7zsmzg3szOEYLuTe5TU6jQIPrNrpFwLjlr3hHfCNNgX3BieCXw' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T13:07:36.255Z] [SEVERE] http://localhost:81/ui/static/js/main.d27ce787.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTU1NTMsImlhdCI6MTc2MDAxNTI1MywiYXV0aF90aW1lIjoxNzYwMDE1MjUyLCJqdGkiOiJkYTE2NGVkZC1hZDY1LTRjMWEtYjg4OS1iMGY0NDM5MzhmM2EiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.T5mYj-iWXFPrUMJxMFaHeHfiQ_omzkSthzMzcHgCqETPmTQkcqqzDYSdxcsKflNg5pWy01-M7cN7P2IhPuEhyxdPUsdNmimyDjDBo4hx-LdOr2RrZ8vQWuTX_xukg4mQImbXONv0mQSTagAuiIbuqHPVK-xVphp6iCW6GFjlM1b2n_NEl_SWA4Aasioek0_CZqYLo1VJDKRzSZFHcG6y_8shu1ddaYzbbDZgnr1tnaiXPFuuDm94jEGz30vWjcXF1zH96wHUU0VEYh6GHbX8UMADU_UI-UVCgqIK7zsmzg3szOEYLuTe5TU6jQIPrNrpFwLjlr3hHfCNNgX3BieCXw' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T13:07:38.259Z] [SEVERE] http://localhost:81/ui/static/js/main.d27ce787.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTU1NTMsImlhdCI6MTc2MDAxNTI1MywiYXV0aF90aW1lIjoxNzYwMDE1MjUyLCJqdGkiOiJkYTE2NGVkZC1hZDY1LTRjMWEtYjg4OS1iMGY0NDM5MzhmM2EiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.T5mYj-iWXFPrUMJxMFaHeHfiQ_omzkSthzMzcHgCqETPmTQkcqqzDYSdxcsKflNg5pWy01-M7cN7P2IhPuEhyxdPUsdNmimyDjDBo4hx-LdOr2RrZ8vQWuTX_xukg4mQImbXONv0mQSTagAuiIbuqHPVK-xVphp6iCW6GFjlM1b2n_NEl_SWA4Aasioek0_CZqYLo1VJDKRzSZFHcG6y_8shu1ddaYzbbDZgnr1tnaiXPFuuDm94jEGz30vWjcXF1zH96wHUU0VEYh6GHbX8UMADU_UI-UVCgqIK7zsmzg3szOEYLuTe5TU6jQIPrNrpFwLjlr3hHfCNNgX3BieCXw' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T13:07:40.383Z] [SEVERE] http://localhost:81/ui/static/js/main.d27ce787.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTU1NTMsImlhdCI6MTc2MDAxNTI1MywiYXV0aF90aW1lIjoxNzYwMDE1MjUyLCJqdGkiOiJkYTE2NGVkZC1hZDY1LTRjMWEtYjg4OS1iMGY0NDM5MzhmM2EiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.T5mYj-iWXFPrUMJxMFaHeHfiQ_omzkSthzMzcHgCqETPmTQkcqqzDYSdxcsKflNg5pWy01-M7cN7P2IhPuEhyxdPUsdNmimyDjDBo4hx-LdOr2RrZ8vQWuTX_xukg4mQImbXONv0mQSTagAuiIbuqHPVK-xVphp6iCW6GFjlM1b2n_NEl_SWA4Aasioek0_CZqYLo1VJDKRzSZFHcG6y_8shu1ddaYzbbDZgnr1tnaiXPFuuDm94jEGz30vWjcXF1zH96wHUU0VEYh6GHbX8UMADU_UI-UVCgqIK7zsmzg3szOEYLuTe5TU6jQIPrNrpFwLjlr3hHfCNNgX3BieCXw' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T13:07:42.273Z] [SEVERE] http://localhost:81/ui/static/js/main.d27ce787.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTU1NTMsImlhdCI6MTc2MDAxNTI1MywiYXV0aF90aW1lIjoxNzYwMDE1MjUyLCJqdGkiOiJkYTE2NGVkZC1hZDY1LTRjMWEtYjg4OS1iMGY0NDM5MzhmM2EiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.T5mYj-iWXFPrUMJxMFaHeHfiQ_omzkSthzMzcHgCqETPmTQkcqqzDYSdxcsKflNg5pWy01-M7cN7P2IhPuEhyxdPUsdNmimyDjDBo4hx-LdOr2RrZ8vQWuTX_xukg4mQImbXONv0mQSTagAuiIbuqHPVK-xVphp6iCW6GFjlM1b2n_NEl_SWA4Aasioek0_CZqYLo1VJDKRzSZFHcG6y_8shu1ddaYzbbDZgnr1tnaiXPFuuDm94jEGz30vWjcXF1zH96wHUU0VEYh6GHbX8UMADU_UI-UVCgqIK7zsmzg3szOEYLuTe5TU6jQIPrNrpFwLjlr3hHfCNNgX3BieCXw' failed: Establishing a tunnel via proxy server failed.
