[2025-10-09T12:55:05.936Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=03b93ed8-0095-47f8-8dcd-fe482e784bbe&response_mode=fragment&response_type=code&scope=openid&nonce=d706561e-ca87-4e8c-8650-9afbaf46b0e1 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/g3pwm/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-10-09T12:55:05.937Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=03b93ed8-0095-47f8-8dcd-fe482e784bbe&response_mode=fragment&response_type=code&scope=openid&nonce=d706561e-ca87-4e8c-8650-9afbaf46b0e1 - Autofocus processing was blocked because a document already has a focused element.

[2025-10-09T12:55:08.173Z] [SEVERE] http://localhost:81/ui/static/js/main.d27ce787.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTQ4MDcsImlhdCI6MTc2MDAxNDUwNywiYXV0aF90aW1lIjoxNzYwMDE0NTA2LCJqdGkiOiJjMWNlYTRmNi0xMmEwLTQ5NzgtYjQ0ZS0wNDkyNjMwNzk5YWEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.hlbMFfbLeTsQWnTpiHNxqjMaGQslUXvl4enW14xaDwELs9EYvpdviV-1l-98l9rhnTqIJV1QKylEi_QR44fY2ZmDVUD6s3xNf0dBN04S40baM95D-Fxdq-W9EL2U8rXvqW8q0aC7Ie7U5ggirf79Mcd99JJmHuTBMT1X_5Ddb8AzlBnct-tt-tq3ozOYI0qR6bxNW65idmZhno3dJMM2ymVxnHvAx76_dEXIaqLoa3ogWufz_ry4ij1DduqDinnSBvtT-nXbvAGsh1j6Tg1sYQcqkVoTu8hcCTA0r197QvzGD4lCo3Q0CAOiYJLzsTjK57z6jrmkExMnC5YdaT8PwQ' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T12:55:10.178Z] [SEVERE] http://localhost:81/ui/static/js/main.d27ce787.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTQ4MDcsImlhdCI6MTc2MDAxNDUwNywiYXV0aF90aW1lIjoxNzYwMDE0NTA2LCJqdGkiOiJjMWNlYTRmNi0xMmEwLTQ5NzgtYjQ0ZS0wNDkyNjMwNzk5YWEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.hlbMFfbLeTsQWnTpiHNxqjMaGQslUXvl4enW14xaDwELs9EYvpdviV-1l-98l9rhnTqIJV1QKylEi_QR44fY2ZmDVUD6s3xNf0dBN04S40baM95D-Fxdq-W9EL2U8rXvqW8q0aC7Ie7U5ggirf79Mcd99JJmHuTBMT1X_5Ddb8AzlBnct-tt-tq3ozOYI0qR6bxNW65idmZhno3dJMM2ymVxnHvAx76_dEXIaqLoa3ogWufz_ry4ij1DduqDinnSBvtT-nXbvAGsh1j6Tg1sYQcqkVoTu8hcCTA0r197QvzGD4lCo3Q0CAOiYJLzsTjK57z6jrmkExMnC5YdaT8PwQ' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T12:55:12.190Z] [SEVERE] http://localhost:81/ui/static/js/main.d27ce787.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTQ4MDcsImlhdCI6MTc2MDAxNDUwNywiYXV0aF90aW1lIjoxNzYwMDE0NTA2LCJqdGkiOiJjMWNlYTRmNi0xMmEwLTQ5NzgtYjQ0ZS0wNDkyNjMwNzk5YWEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.hlbMFfbLeTsQWnTpiHNxqjMaGQslUXvl4enW14xaDwELs9EYvpdviV-1l-98l9rhnTqIJV1QKylEi_QR44fY2ZmDVUD6s3xNf0dBN04S40baM95D-Fxdq-W9EL2U8rXvqW8q0aC7Ie7U5ggirf79Mcd99JJmHuTBMT1X_5Ddb8AzlBnct-tt-tq3ozOYI0qR6bxNW65idmZhno3dJMM2ymVxnHvAx76_dEXIaqLoa3ogWufz_ry4ij1DduqDinnSBvtT-nXbvAGsh1j6Tg1sYQcqkVoTu8hcCTA0r197QvzGD4lCo3Q0CAOiYJLzsTjK57z6jrmkExMnC5YdaT8PwQ' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T12:55:14.201Z] [SEVERE] http://localhost:81/ui/static/js/main.d27ce787.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTQ4MDcsImlhdCI6MTc2MDAxNDUwNywiYXV0aF90aW1lIjoxNzYwMDE0NTA2LCJqdGkiOiJjMWNlYTRmNi0xMmEwLTQ5NzgtYjQ0ZS0wNDkyNjMwNzk5YWEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.hlbMFfbLeTsQWnTpiHNxqjMaGQslUXvl4enW14xaDwELs9EYvpdviV-1l-98l9rhnTqIJV1QKylEi_QR44fY2ZmDVUD6s3xNf0dBN04S40baM95D-Fxdq-W9EL2U8rXvqW8q0aC7Ie7U5ggirf79Mcd99JJmHuTBMT1X_5Ddb8AzlBnct-tt-tq3ozOYI0qR6bxNW65idmZhno3dJMM2ymVxnHvAx76_dEXIaqLoa3ogWufz_ry4ij1DduqDinnSBvtT-nXbvAGsh1j6Tg1sYQcqkVoTu8hcCTA0r197QvzGD4lCo3Q0CAOiYJLzsTjK57z6jrmkExMnC5YdaT8PwQ' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T12:55:16.231Z] [SEVERE] http://localhost:81/ui/static/js/main.d27ce787.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTQ4MDcsImlhdCI6MTc2MDAxNDUwNywiYXV0aF90aW1lIjoxNzYwMDE0NTA2LCJqdGkiOiJjMWNlYTRmNi0xMmEwLTQ5NzgtYjQ0ZS0wNDkyNjMwNzk5YWEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.hlbMFfbLeTsQWnTpiHNxqjMaGQslUXvl4enW14xaDwELs9EYvpdviV-1l-98l9rhnTqIJV1QKylEi_QR44fY2ZmDVUD6s3xNf0dBN04S40baM95D-Fxdq-W9EL2U8rXvqW8q0aC7Ie7U5ggirf79Mcd99JJmHuTBMT1X_5Ddb8AzlBnct-tt-tq3ozOYI0qR6bxNW65idmZhno3dJMM2ymVxnHvAx76_dEXIaqLoa3ogWufz_ry4ij1DduqDinnSBvtT-nXbvAGsh1j6Tg1sYQcqkVoTu8hcCTA0r197QvzGD4lCo3Q0CAOiYJLzsTjK57z6jrmkExMnC5YdaT8PwQ' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T12:55:18.281Z] [SEVERE] http://localhost:81/ui/static/js/main.d27ce787.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTQ4MDcsImlhdCI6MTc2MDAxNDUwNywiYXV0aF90aW1lIjoxNzYwMDE0NTA2LCJqdGkiOiJjMWNlYTRmNi0xMmEwLTQ5NzgtYjQ0ZS0wNDkyNjMwNzk5YWEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.hlbMFfbLeTsQWnTpiHNxqjMaGQslUXvl4enW14xaDwELs9EYvpdviV-1l-98l9rhnTqIJV1QKylEi_QR44fY2ZmDVUD6s3xNf0dBN04S40baM95D-Fxdq-W9EL2U8rXvqW8q0aC7Ie7U5ggirf79Mcd99JJmHuTBMT1X_5Ddb8AzlBnct-tt-tq3ozOYI0qR6bxNW65idmZhno3dJMM2ymVxnHvAx76_dEXIaqLoa3ogWufz_ry4ij1DduqDinnSBvtT-nXbvAGsh1j6Tg1sYQcqkVoTu8hcCTA0r197QvzGD4lCo3Q0CAOiYJLzsTjK57z6jrmkExMnC5YdaT8PwQ' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T12:55:20.299Z] [SEVERE] http://localhost:81/ui/static/js/main.d27ce787.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTQ4MDcsImlhdCI6MTc2MDAxNDUwNywiYXV0aF90aW1lIjoxNzYwMDE0NTA2LCJqdGkiOiJjMWNlYTRmNi0xMmEwLTQ5NzgtYjQ0ZS0wNDkyNjMwNzk5YWEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.hlbMFfbLeTsQWnTpiHNxqjMaGQslUXvl4enW14xaDwELs9EYvpdviV-1l-98l9rhnTqIJV1QKylEi_QR44fY2ZmDVUD6s3xNf0dBN04S40baM95D-Fxdq-W9EL2U8rXvqW8q0aC7Ie7U5ggirf79Mcd99JJmHuTBMT1X_5Ddb8AzlBnct-tt-tq3ozOYI0qR6bxNW65idmZhno3dJMM2ymVxnHvAx76_dEXIaqLoa3ogWufz_ry4ij1DduqDinnSBvtT-nXbvAGsh1j6Tg1sYQcqkVoTu8hcCTA0r197QvzGD4lCo3Q0CAOiYJLzsTjK57z6jrmkExMnC5YdaT8PwQ' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T12:55:22.309Z] [SEVERE] http://localhost:81/ui/static/js/main.d27ce787.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTQ4MDcsImlhdCI6MTc2MDAxNDUwNywiYXV0aF90aW1lIjoxNzYwMDE0NTA2LCJqdGkiOiJjMWNlYTRmNi0xMmEwLTQ5NzgtYjQ0ZS0wNDkyNjMwNzk5YWEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.hlbMFfbLeTsQWnTpiHNxqjMaGQslUXvl4enW14xaDwELs9EYvpdviV-1l-98l9rhnTqIJV1QKylEi_QR44fY2ZmDVUD6s3xNf0dBN04S40baM95D-Fxdq-W9EL2U8rXvqW8q0aC7Ie7U5ggirf79Mcd99JJmHuTBMT1X_5Ddb8AzlBnct-tt-tq3ozOYI0qR6bxNW65idmZhno3dJMM2ymVxnHvAx76_dEXIaqLoa3ogWufz_ry4ij1DduqDinnSBvtT-nXbvAGsh1j6Tg1sYQcqkVoTu8hcCTA0r197QvzGD4lCo3Q0CAOiYJLzsTjK57z6jrmkExMnC5YdaT8PwQ' failed: Establishing a tunnel via proxy server failed.

