[2025-10-09T13:07:14.648Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=23c436a0-69a0-4fa8-832c-b00a6e7c2d64&response_mode=fragment&response_type=code&scope=openid&nonce=c6e616cf-e645-4f4e-a280-a3b1f224f566 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/g3pwm/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-10-09T13:07:14.649Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=23c436a0-69a0-4fa8-832c-b00a6e7c2d64&response_mode=fragment&response_type=code&scope=openid&nonce=c6e616cf-e645-4f4e-a280-a3b1f224f566 - Autofocus processing was blocked because a document already has a focused element.

[2025-10-09T13:07:16.745Z] [SEVERE] http://localhost:81/ui/static/js/main.d27ce787.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTU1MzUsImlhdCI6MTc2MDAxNTIzNSwiYXV0aF90aW1lIjoxNzYwMDE1MjM0LCJqdGkiOiJhNTcxOTkwYy1hOWM5LTQyNGYtYTk3MC02MmI4NDRlYWU5MTYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Ukwg7gRtkQENcID17_JaWiYEslt2FlAhTABmKTFvv7xU0A3R48JMluiDOWDTJ1fLCWS2r83LD6Ke_BjTM8qXkF1YEZD4Kbiym_2kjkCezqqtLO9QOM-1bDTYGEYVPtkz6mcho2jW_5c05ZfQhVKzCCUDDjoxJDDMlHT39F_VjaPIl18uuy1mClr9nvBIOlZjcr8ZMRCRAAwdF_Faw2x4h4YIW3eU8uSGjX45YWDAitSqIj1FBQLZsI7dDQ4GPwCc1j_4Z8ri20xxC6MMtxUZH9ZhpizyTYjOAogbrG_5rI5CIaNFAq1PYSEQsMMY8HnFnXJdJ1dRjmWdx3wOzEtprg' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T13:07:18.749Z] [SEVERE] http://localhost:81/ui/static/js/main.d27ce787.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTU1MzUsImlhdCI6MTc2MDAxNTIzNSwiYXV0aF90aW1lIjoxNzYwMDE1MjM0LCJqdGkiOiJhNTcxOTkwYy1hOWM5LTQyNGYtYTk3MC02MmI4NDRlYWU5MTYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Ukwg7gRtkQENcID17_JaWiYEslt2FlAhTABmKTFvv7xU0A3R48JMluiDOWDTJ1fLCWS2r83LD6Ke_BjTM8qXkF1YEZD4Kbiym_2kjkCezqqtLO9QOM-1bDTYGEYVPtkz6mcho2jW_5c05ZfQhVKzCCUDDjoxJDDMlHT39F_VjaPIl18uuy1mClr9nvBIOlZjcr8ZMRCRAAwdF_Faw2x4h4YIW3eU8uSGjX45YWDAitSqIj1FBQLZsI7dDQ4GPwCc1j_4Z8ri20xxC6MMtxUZH9ZhpizyTYjOAogbrG_5rI5CIaNFAq1PYSEQsMMY8HnFnXJdJ1dRjmWdx3wOzEtprg' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T13:07:20.754Z] [SEVERE] http://localhost:81/ui/static/js/main.d27ce787.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTU1MzUsImlhdCI6MTc2MDAxNTIzNSwiYXV0aF90aW1lIjoxNzYwMDE1MjM0LCJqdGkiOiJhNTcxOTkwYy1hOWM5LTQyNGYtYTk3MC02MmI4NDRlYWU5MTYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Ukwg7gRtkQENcID17_JaWiYEslt2FlAhTABmKTFvv7xU0A3R48JMluiDOWDTJ1fLCWS2r83LD6Ke_BjTM8qXkF1YEZD4Kbiym_2kjkCezqqtLO9QOM-1bDTYGEYVPtkz6mcho2jW_5c05ZfQhVKzCCUDDjoxJDDMlHT39F_VjaPIl18uuy1mClr9nvBIOlZjcr8ZMRCRAAwdF_Faw2x4h4YIW3eU8uSGjX45YWDAitSqIj1FBQLZsI7dDQ4GPwCc1j_4Z8ri20xxC6MMtxUZH9ZhpizyTYjOAogbrG_5rI5CIaNFAq1PYSEQsMMY8HnFnXJdJ1dRjmWdx3wOzEtprg' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T13:07:22.878Z] [SEVERE] http://localhost:81/ui/static/js/main.d27ce787.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTU1MzUsImlhdCI6MTc2MDAxNTIzNSwiYXV0aF90aW1lIjoxNzYwMDE1MjM0LCJqdGkiOiJhNTcxOTkwYy1hOWM5LTQyNGYtYTk3MC02MmI4NDRlYWU5MTYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Ukwg7gRtkQENcID17_JaWiYEslt2FlAhTABmKTFvv7xU0A3R48JMluiDOWDTJ1fLCWS2r83LD6Ke_BjTM8qXkF1YEZD4Kbiym_2kjkCezqqtLO9QOM-1bDTYGEYVPtkz6mcho2jW_5c05ZfQhVKzCCUDDjoxJDDMlHT39F_VjaPIl18uuy1mClr9nvBIOlZjcr8ZMRCRAAwdF_Faw2x4h4YIW3eU8uSGjX45YWDAitSqIj1FBQLZsI7dDQ4GPwCc1j_4Z8ri20xxC6MMtxUZH9ZhpizyTYjOAogbrG_5rI5CIaNFAq1PYSEQsMMY8HnFnXJdJ1dRjmWdx3wOzEtprg' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T13:07:24.766Z] [SEVERE] http://localhost:81/ui/static/js/main.d27ce787.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTU1MzUsImlhdCI6MTc2MDAxNTIzNSwiYXV0aF90aW1lIjoxNzYwMDE1MjM0LCJqdGkiOiJhNTcxOTkwYy1hOWM5LTQyNGYtYTk3MC02MmI4NDRlYWU5MTYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Ukwg7gRtkQENcID17_JaWiYEslt2FlAhTABmKTFvv7xU0A3R48JMluiDOWDTJ1fLCWS2r83LD6Ke_BjTM8qXkF1YEZD4Kbiym_2kjkCezqqtLO9QOM-1bDTYGEYVPtkz6mcho2jW_5c05ZfQhVKzCCUDDjoxJDDMlHT39F_VjaPIl18uuy1mClr9nvBIOlZjcr8ZMRCRAAwdF_Faw2x4h4YIW3eU8uSGjX45YWDAitSqIj1FBQLZsI7dDQ4GPwCc1j_4Z8ri20xxC6MMtxUZH9ZhpizyTYjOAogbrG_5rI5CIaNFAq1PYSEQsMMY8HnFnXJdJ1dRjmWdx3wOzEtprg' failed: Establishing a tunnel via proxy server failed.
