[2025-10-09T12:57:26.412Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=42708e48-577d-4dc5-80f6-47b4e5fdb801&response_mode=fragment&response_type=code&scope=openid&nonce=f25f601e-e472-496f-9784-fbd5ab81ae73 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/g3pwm/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-10-09T12:57:26.413Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=42708e48-577d-4dc5-80f6-47b4e5fdb801&response_mode=fragment&response_type=code&scope=openid&nonce=f25f601e-e472-496f-9784-fbd5ab81ae73 - Autofocus processing was blocked because a document already has a focused element.

[2025-10-09T12:57:29.029Z] [SEVERE] http://localhost:81/ui/static/js/main.d27ce787.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTQ5NDcsImlhdCI6MTc2MDAxNDY0NywiYXV0aF90aW1lIjoxNzYwMDE0NjQ2LCJqdGkiOiIwZmFkMWU0YS1hMTQxLTQzZWItODdhOS1lNTBjNjllYTcxZDQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Lm4vph7YlPnHlR9uZoQNC3RgJuxMVRCjHzDlDZx-5ybYVULbgG_K50Uvf4O7UVaL3BCJlhWawTgPbu7sibv5RkFOts3nfm8k0o95b7_VAytU9kJQwdFTSn95HpcE-PJCUA4AyTL4AMsnjCd2ZHDnl0o9Tmp-gvBvkUexuyXt0IEItz3WrlFtYjeay7WyeZUVK6aVASUkqECuei3mNQN4sm4L6_BHKZqqXzF7Og1XvJkrRFXoCSNCQHlPlqurKZsW3mWQm-DFnT-bQsvRselRw7vxb2CayZYoMQfyPJCSBlDj1LxkK_ugmFcsi6m6Oiz7mPuA_2-cnYb3xBdfrJDDKw' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T12:57:31.037Z] [SEVERE] http://localhost:81/ui/static/js/main.d27ce787.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTQ5NDcsImlhdCI6MTc2MDAxNDY0NywiYXV0aF90aW1lIjoxNzYwMDE0NjQ2LCJqdGkiOiIwZmFkMWU0YS1hMTQxLTQzZWItODdhOS1lNTBjNjllYTcxZDQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Lm4vph7YlPnHlR9uZoQNC3RgJuxMVRCjHzDlDZx-5ybYVULbgG_K50Uvf4O7UVaL3BCJlhWawTgPbu7sibv5RkFOts3nfm8k0o95b7_VAytU9kJQwdFTSn95HpcE-PJCUA4AyTL4AMsnjCd2ZHDnl0o9Tmp-gvBvkUexuyXt0IEItz3WrlFtYjeay7WyeZUVK6aVASUkqECuei3mNQN4sm4L6_BHKZqqXzF7Og1XvJkrRFXoCSNCQHlPlqurKZsW3mWQm-DFnT-bQsvRselRw7vxb2CayZYoMQfyPJCSBlDj1LxkK_ugmFcsi6m6Oiz7mPuA_2-cnYb3xBdfrJDDKw' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T12:57:33.061Z] [SEVERE] http://localhost:81/ui/static/js/main.d27ce787.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTQ5NDcsImlhdCI6MTc2MDAxNDY0NywiYXV0aF90aW1lIjoxNzYwMDE0NjQ2LCJqdGkiOiIwZmFkMWU0YS1hMTQxLTQzZWItODdhOS1lNTBjNjllYTcxZDQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Lm4vph7YlPnHlR9uZoQNC3RgJuxMVRCjHzDlDZx-5ybYVULbgG_K50Uvf4O7UVaL3BCJlhWawTgPbu7sibv5RkFOts3nfm8k0o95b7_VAytU9kJQwdFTSn95HpcE-PJCUA4AyTL4AMsnjCd2ZHDnl0o9Tmp-gvBvkUexuyXt0IEItz3WrlFtYjeay7WyeZUVK6aVASUkqECuei3mNQN4sm4L6_BHKZqqXzF7Og1XvJkrRFXoCSNCQHlPlqurKZsW3mWQm-DFnT-bQsvRselRw7vxb2CayZYoMQfyPJCSBlDj1LxkK_ugmFcsi6m6Oiz7mPuA_2-cnYb3xBdfrJDDKw' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T12:57:35.266Z] [SEVERE] http://localhost:81/ui/static/js/main.d27ce787.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTQ5NDcsImlhdCI6MTc2MDAxNDY0NywiYXV0aF90aW1lIjoxNzYwMDE0NjQ2LCJqdGkiOiIwZmFkMWU0YS1hMTQxLTQzZWItODdhOS1lNTBjNjllYTcxZDQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Lm4vph7YlPnHlR9uZoQNC3RgJuxMVRCjHzDlDZx-5ybYVULbgG_K50Uvf4O7UVaL3BCJlhWawTgPbu7sibv5RkFOts3nfm8k0o95b7_VAytU9kJQwdFTSn95HpcE-PJCUA4AyTL4AMsnjCd2ZHDnl0o9Tmp-gvBvkUexuyXt0IEItz3WrlFtYjeay7WyeZUVK6aVASUkqECuei3mNQN4sm4L6_BHKZqqXzF7Og1XvJkrRFXoCSNCQHlPlqurKZsW3mWQm-DFnT-bQsvRselRw7vxb2CayZYoMQfyPJCSBlDj1LxkK_ugmFcsi6m6Oiz7mPuA_2-cnYb3xBdfrJDDKw' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T12:57:37.135Z] [SEVERE] http://localhost:81/ui/static/js/main.d27ce787.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTQ5NDcsImlhdCI6MTc2MDAxNDY0NywiYXV0aF90aW1lIjoxNzYwMDE0NjQ2LCJqdGkiOiIwZmFkMWU0YS1hMTQxLTQzZWItODdhOS1lNTBjNjllYTcxZDQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Lm4vph7YlPnHlR9uZoQNC3RgJuxMVRCjHzDlDZx-5ybYVULbgG_K50Uvf4O7UVaL3BCJlhWawTgPbu7sibv5RkFOts3nfm8k0o95b7_VAytU9kJQwdFTSn95HpcE-PJCUA4AyTL4AMsnjCd2ZHDnl0o9Tmp-gvBvkUexuyXt0IEItz3WrlFtYjeay7WyeZUVK6aVASUkqECuei3mNQN4sm4L6_BHKZqqXzF7Og1XvJkrRFXoCSNCQHlPlqurKZsW3mWQm-DFnT-bQsvRselRw7vxb2CayZYoMQfyPJCSBlDj1LxkK_ugmFcsi6m6Oiz7mPuA_2-cnYb3xBdfrJDDKw' failed: Establishing a tunnel via proxy server failed.
