[2025-10-09T12:59:04.546Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=1178757e-92cd-43d4-8230-d347d31b3032&response_mode=fragment&response_type=code&scope=openid&nonce=9267bf75-98ea-47da-805b-52d1f0eda9ac - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/g3pwm/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-10-09T12:59:04.548Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=1178757e-92cd-43d4-8230-d347d31b3032&response_mode=fragment&response_type=code&scope=openid&nonce=9267bf75-98ea-47da-805b-52d1f0eda9ac - Autofocus processing was blocked because a document already has a focused element.

[2025-10-09T12:59:06.522Z] [SEVERE] http://localhost:81/ui/static/js/main.d27ce787.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTUwNDUsImlhdCI6MTc2MDAxNDc0NSwiYXV0aF90aW1lIjoxNzYwMDE0NzQ0LCJqdGkiOiI3ZmZhZWQ4MC0xYjMzLTQ0NDgtOTUwNC03MjhmNjYzMGFmNzYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.h7BD4WTbUz9RTkW4MzcVbn5oD5q6Reauj1oALzmtONvdS8HaUHnwR2MxxNWyuIwyzu-lE6PWZx9oDMsK76yVWCqGGMw0G1FHxWu9HZfzBUaul6lOUJzeUAMGxsgX3wc9JrRM4EKLERNM-FQow5sGdCysFd4XrulDW5Y5hCixhqV54gNFG4v81cgG1u1Qsi1dv1LVjb2tAAJV4rG6MyactW_ER5rDzpC_Buoc_bbRI9-u88LJyTsOS7K7NMO-PWTknW0Z9vuaxMWrYFxA7vs5jMVx2uOnIX-q4UlMyb9XSqqea4UAW7WdHCZPVsFNaD41Kr9_VTDjzeMzL4-iokqceA' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T12:59:08.533Z] [SEVERE] http://localhost:81/ui/static/js/main.d27ce787.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTUwNDUsImlhdCI6MTc2MDAxNDc0NSwiYXV0aF90aW1lIjoxNzYwMDE0NzQ0LCJqdGkiOiI3ZmZhZWQ4MC0xYjMzLTQ0NDgtOTUwNC03MjhmNjYzMGFmNzYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.h7BD4WTbUz9RTkW4MzcVbn5oD5q6Reauj1oALzmtONvdS8HaUHnwR2MxxNWyuIwyzu-lE6PWZx9oDMsK76yVWCqGGMw0G1FHxWu9HZfzBUaul6lOUJzeUAMGxsgX3wc9JrRM4EKLERNM-FQow5sGdCysFd4XrulDW5Y5hCixhqV54gNFG4v81cgG1u1Qsi1dv1LVjb2tAAJV4rG6MyactW_ER5rDzpC_Buoc_bbRI9-u88LJyTsOS7K7NMO-PWTknW0Z9vuaxMWrYFxA7vs5jMVx2uOnIX-q4UlMyb9XSqqea4UAW7WdHCZPVsFNaD41Kr9_VTDjzeMzL4-iokqceA' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T12:59:10.544Z] [SEVERE] http://localhost:81/ui/static/js/main.d27ce787.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTUwNDUsImlhdCI6MTc2MDAxNDc0NSwiYXV0aF90aW1lIjoxNzYwMDE0NzQ0LCJqdGkiOiI3ZmZhZWQ4MC0xYjMzLTQ0NDgtOTUwNC03MjhmNjYzMGFmNzYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.h7BD4WTbUz9RTkW4MzcVbn5oD5q6Reauj1oALzmtONvdS8HaUHnwR2MxxNWyuIwyzu-lE6PWZx9oDMsK76yVWCqGGMw0G1FHxWu9HZfzBUaul6lOUJzeUAMGxsgX3wc9JrRM4EKLERNM-FQow5sGdCysFd4XrulDW5Y5hCixhqV54gNFG4v81cgG1u1Qsi1dv1LVjb2tAAJV4rG6MyactW_ER5rDzpC_Buoc_bbRI9-u88LJyTsOS7K7NMO-PWTknW0Z9vuaxMWrYFxA7vs5jMVx2uOnIX-q4UlMyb9XSqqea4UAW7WdHCZPVsFNaD41Kr9_VTDjzeMzL4-iokqceA' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T12:59:12.552Z] [SEVERE] http://localhost:81/ui/static/js/main.d27ce787.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTUwNDUsImlhdCI6MTc2MDAxNDc0NSwiYXV0aF90aW1lIjoxNzYwMDE0NzQ0LCJqdGkiOiI3ZmZhZWQ4MC0xYjMzLTQ0NDgtOTUwNC03MjhmNjYzMGFmNzYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.h7BD4WTbUz9RTkW4MzcVbn5oD5q6Reauj1oALzmtONvdS8HaUHnwR2MxxNWyuIwyzu-lE6PWZx9oDMsK76yVWCqGGMw0G1FHxWu9HZfzBUaul6lOUJzeUAMGxsgX3wc9JrRM4EKLERNM-FQow5sGdCysFd4XrulDW5Y5hCixhqV54gNFG4v81cgG1u1Qsi1dv1LVjb2tAAJV4rG6MyactW_ER5rDzpC_Buoc_bbRI9-u88LJyTsOS7K7NMO-PWTknW0Z9vuaxMWrYFxA7vs5jMVx2uOnIX-q4UlMyb9XSqqea4UAW7WdHCZPVsFNaD41Kr9_VTDjzeMzL4-iokqceA' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T12:59:14.561Z] [SEVERE] http://localhost:81/ui/static/js/main.d27ce787.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTUwNDUsImlhdCI6MTc2MDAxNDc0NSwiYXV0aF90aW1lIjoxNzYwMDE0NzQ0LCJqdGkiOiI3ZmZhZWQ4MC0xYjMzLTQ0NDgtOTUwNC03MjhmNjYzMGFmNzYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.h7BD4WTbUz9RTkW4MzcVbn5oD5q6Reauj1oALzmtONvdS8HaUHnwR2MxxNWyuIwyzu-lE6PWZx9oDMsK76yVWCqGGMw0G1FHxWu9HZfzBUaul6lOUJzeUAMGxsgX3wc9JrRM4EKLERNM-FQow5sGdCysFd4XrulDW5Y5hCixhqV54gNFG4v81cgG1u1Qsi1dv1LVjb2tAAJV4rG6MyactW_ER5rDzpC_Buoc_bbRI9-u88LJyTsOS7K7NMO-PWTknW0Z9vuaxMWrYFxA7vs5jMVx2uOnIX-q4UlMyb9XSqqea4UAW7WdHCZPVsFNaD41Kr9_VTDjzeMzL4-iokqceA' failed: Establishing a tunnel via proxy server failed.
