[2025-10-09T12:51:52.902Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=e809b24c-4cea-42cf-837b-5c184360706c&response_mode=fragment&response_type=code&scope=openid&nonce=a1437151-2f1b-42b7-b420-b6e591db1b88 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/g3pwm/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-10-09T12:51:52.903Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=e809b24c-4cea-42cf-837b-5c184360706c&response_mode=fragment&response_type=code&scope=openid&nonce=a1437151-2f1b-42b7-b420-b6e591db1b88 - Autofocus processing was blocked because a document already has a focused element.

[2025-10-09T12:51:55.228Z] [SEVERE] http://localhost:81/ui/static/js/main.d27ce787.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTQ2MTQsImlhdCI6MTc2MDAxNDMxNCwiYXV0aF90aW1lIjoxNzYwMDE0MzEzLCJqdGkiOiJjMTU2MmQwZS05ZDczLTRiNDUtOTUxYy0xYzgwYTNhZGI2ZWMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.ZzBt85MCj4bteAPlJHMtsQ7q5BbJOiBiI46om5mTNSWu8vMMSU4uzM8NZj2ydtOQbUXIF6ClluUJi89IthU9ZwWN4_68HIDW0cdDwJZN8lmK2SOI_SHD4IJVzAlymD79GIKi0siFXo_U_NLXFCu4j22MOC_CpkR7BeefArhP5HZ7Hv_FljUBCkEl8yN3WROrD6ppcZXTGyU8uVx6qw3f4lWFivv6aHid713ylAzBGJUiU8p4hnYmii_di4-Z812_l-XTd6GKBkjFRI4YwyJhu8qEd882covqxlfNLNHQtvYk37kbcdRLszUEv0OJfgo5juUUQS63DCy5rDQUuCCPmw' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T12:51:57.238Z] [SEVERE] http://localhost:81/ui/static/js/main.d27ce787.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTQ2MTQsImlhdCI6MTc2MDAxNDMxNCwiYXV0aF90aW1lIjoxNzYwMDE0MzEzLCJqdGkiOiJjMTU2MmQwZS05ZDczLTRiNDUtOTUxYy0xYzgwYTNhZGI2ZWMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.ZzBt85MCj4bteAPlJHMtsQ7q5BbJOiBiI46om5mTNSWu8vMMSU4uzM8NZj2ydtOQbUXIF6ClluUJi89IthU9ZwWN4_68HIDW0cdDwJZN8lmK2SOI_SHD4IJVzAlymD79GIKi0siFXo_U_NLXFCu4j22MOC_CpkR7BeefArhP5HZ7Hv_FljUBCkEl8yN3WROrD6ppcZXTGyU8uVx6qw3f4lWFivv6aHid713ylAzBGJUiU8p4hnYmii_di4-Z812_l-XTd6GKBkjFRI4YwyJhu8qEd882covqxlfNLNHQtvYk37kbcdRLszUEv0OJfgo5juUUQS63DCy5rDQUuCCPmw' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T12:51:59.245Z] [SEVERE] http://localhost:81/ui/static/js/main.d27ce787.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTQ2MTQsImlhdCI6MTc2MDAxNDMxNCwiYXV0aF90aW1lIjoxNzYwMDE0MzEzLCJqdGkiOiJjMTU2MmQwZS05ZDczLTRiNDUtOTUxYy0xYzgwYTNhZGI2ZWMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.ZzBt85MCj4bteAPlJHMtsQ7q5BbJOiBiI46om5mTNSWu8vMMSU4uzM8NZj2ydtOQbUXIF6ClluUJi89IthU9ZwWN4_68HIDW0cdDwJZN8lmK2SOI_SHD4IJVzAlymD79GIKi0siFXo_U_NLXFCu4j22MOC_CpkR7BeefArhP5HZ7Hv_FljUBCkEl8yN3WROrD6ppcZXTGyU8uVx6qw3f4lWFivv6aHid713ylAzBGJUiU8p4hnYmii_di4-Z812_l-XTd6GKBkjFRI4YwyJhu8qEd882covqxlfNLNHQtvYk37kbcdRLszUEv0OJfgo5juUUQS63DCy5rDQUuCCPmw' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T12:52:01.331Z] [SEVERE] http://localhost:81/ui/static/js/main.d27ce787.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTQ2MTQsImlhdCI6MTc2MDAxNDMxNCwiYXV0aF90aW1lIjoxNzYwMDE0MzEzLCJqdGkiOiJjMTU2MmQwZS05ZDczLTRiNDUtOTUxYy0xYzgwYTNhZGI2ZWMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.ZzBt85MCj4bteAPlJHMtsQ7q5BbJOiBiI46om5mTNSWu8vMMSU4uzM8NZj2ydtOQbUXIF6ClluUJi89IthU9ZwWN4_68HIDW0cdDwJZN8lmK2SOI_SHD4IJVzAlymD79GIKi0siFXo_U_NLXFCu4j22MOC_CpkR7BeefArhP5HZ7Hv_FljUBCkEl8yN3WROrD6ppcZXTGyU8uVx6qw3f4lWFivv6aHid713ylAzBGJUiU8p4hnYmii_di4-Z812_l-XTd6GKBkjFRI4YwyJhu8qEd882covqxlfNLNHQtvYk37kbcdRLszUEv0OJfgo5juUUQS63DCy5rDQUuCCPmw' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T12:52:03.435Z] [SEVERE] http://localhost:81/ui/static/js/main.d27ce787.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTQ2MTQsImlhdCI6MTc2MDAxNDMxNCwiYXV0aF90aW1lIjoxNzYwMDE0MzEzLCJqdGkiOiJjMTU2MmQwZS05ZDczLTRiNDUtOTUxYy0xYzgwYTNhZGI2ZWMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.ZzBt85MCj4bteAPlJHMtsQ7q5BbJOiBiI46om5mTNSWu8vMMSU4uzM8NZj2ydtOQbUXIF6ClluUJi89IthU9ZwWN4_68HIDW0cdDwJZN8lmK2SOI_SHD4IJVzAlymD79GIKi0siFXo_U_NLXFCu4j22MOC_CpkR7BeefArhP5HZ7Hv_FljUBCkEl8yN3WROrD6ppcZXTGyU8uVx6qw3f4lWFivv6aHid713ylAzBGJUiU8p4hnYmii_di4-Z812_l-XTd6GKBkjFRI4YwyJhu8qEd882covqxlfNLNHQtvYk37kbcdRLszUEv0OJfgo5juUUQS63DCy5rDQUuCCPmw' failed: Establishing a tunnel via proxy server failed.
