[2025-10-09T13:02:15.406Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=b0af9ba7-702c-41db-a213-8371212692e6&response_mode=fragment&response_type=code&scope=openid&nonce=d4d6ab6c-3423-464a-87b1-4415971cec07 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/g3pwm/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-10-09T13:02:15.406Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=b0af9ba7-702c-41db-a213-8371212692e6&response_mode=fragment&response_type=code&scope=openid&nonce=d4d6ab6c-3423-464a-87b1-4415971cec07 - Autofocus processing was blocked because a document already has a focused element.

[2025-10-09T13:02:17.346Z] [SEVERE] http://localhost:81/ui/static/js/main.d27ce787.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTUyMzYsImlhdCI6MTc2MDAxNDkzNiwiYXV0aF90aW1lIjoxNzYwMDE0OTM1LCJqdGkiOiI4YTliYjk1Yy1mZjUwLTQwNDgtYjQxYy02YzJkNmNiNDIwMmYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.ZEp9TxeHQoWqytQlEiI8PMWxhXz0x3-N_Rms49Dz30vNvCeVP35ySGAPhe2VX4zaY6GOLgw6pbbUnUCWXTq43dGM3yKjpjeyqOhH1mQz5oF_KR6B3crLR6eC9UQ6UAWyXJpEuLRHfL_WP3e-I8yyzP0qpueSE77UIkS8isH7wWbzd87xJwfPj4CDquZvSx7GUaCCjT_IiUorEAXkp1PpcJqHBSY-PF90yVIWqgqh5B-Xxp8skpIWB-mGDHQbc9bg6MMeSHur1n4OMY1LuDqy4PCrac51Gh0cL9JMnSyjjNr4yoeCu7SSBA-9Ce4HyIYapjwFAbpO59ZalzMSiNotEA' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T13:02:19.352Z] [SEVERE] http://localhost:81/ui/static/js/main.d27ce787.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTUyMzYsImlhdCI6MTc2MDAxNDkzNiwiYXV0aF90aW1lIjoxNzYwMDE0OTM1LCJqdGkiOiI4YTliYjk1Yy1mZjUwLTQwNDgtYjQxYy02YzJkNmNiNDIwMmYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.ZEp9TxeHQoWqytQlEiI8PMWxhXz0x3-N_Rms49Dz30vNvCeVP35ySGAPhe2VX4zaY6GOLgw6pbbUnUCWXTq43dGM3yKjpjeyqOhH1mQz5oF_KR6B3crLR6eC9UQ6UAWyXJpEuLRHfL_WP3e-I8yyzP0qpueSE77UIkS8isH7wWbzd87xJwfPj4CDquZvSx7GUaCCjT_IiUorEAXkp1PpcJqHBSY-PF90yVIWqgqh5B-Xxp8skpIWB-mGDHQbc9bg6MMeSHur1n4OMY1LuDqy4PCrac51Gh0cL9JMnSyjjNr4yoeCu7SSBA-9Ce4HyIYapjwFAbpO59ZalzMSiNotEA' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T13:02:21.357Z] [SEVERE] http://localhost:81/ui/static/js/main.d27ce787.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTUyMzYsImlhdCI6MTc2MDAxNDkzNiwiYXV0aF90aW1lIjoxNzYwMDE0OTM1LCJqdGkiOiI4YTliYjk1Yy1mZjUwLTQwNDgtYjQxYy02YzJkNmNiNDIwMmYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.ZEp9TxeHQoWqytQlEiI8PMWxhXz0x3-N_Rms49Dz30vNvCeVP35ySGAPhe2VX4zaY6GOLgw6pbbUnUCWXTq43dGM3yKjpjeyqOhH1mQz5oF_KR6B3crLR6eC9UQ6UAWyXJpEuLRHfL_WP3e-I8yyzP0qpueSE77UIkS8isH7wWbzd87xJwfPj4CDquZvSx7GUaCCjT_IiUorEAXkp1PpcJqHBSY-PF90yVIWqgqh5B-Xxp8skpIWB-mGDHQbc9bg6MMeSHur1n4OMY1LuDqy4PCrac51Gh0cL9JMnSyjjNr4yoeCu7SSBA-9Ce4HyIYapjwFAbpO59ZalzMSiNotEA' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T13:02:23.562Z] [SEVERE] http://localhost:81/ui/static/js/main.d27ce787.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTUyMzYsImlhdCI6MTc2MDAxNDkzNiwiYXV0aF90aW1lIjoxNzYwMDE0OTM1LCJqdGkiOiI4YTliYjk1Yy1mZjUwLTQwNDgtYjQxYy02YzJkNmNiNDIwMmYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.ZEp9TxeHQoWqytQlEiI8PMWxhXz0x3-N_Rms49Dz30vNvCeVP35ySGAPhe2VX4zaY6GOLgw6pbbUnUCWXTq43dGM3yKjpjeyqOhH1mQz5oF_KR6B3crLR6eC9UQ6UAWyXJpEuLRHfL_WP3e-I8yyzP0qpueSE77UIkS8isH7wWbzd87xJwfPj4CDquZvSx7GUaCCjT_IiUorEAXkp1PpcJqHBSY-PF90yVIWqgqh5B-Xxp8skpIWB-mGDHQbc9bg6MMeSHur1n4OMY1LuDqy4PCrac51Gh0cL9JMnSyjjNr4yoeCu7SSBA-9Ce4HyIYapjwFAbpO59ZalzMSiNotEA' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T13:02:25.372Z] [SEVERE] http://localhost:81/ui/static/js/main.d27ce787.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTUyMzYsImlhdCI6MTc2MDAxNDkzNiwiYXV0aF90aW1lIjoxNzYwMDE0OTM1LCJqdGkiOiI4YTliYjk1Yy1mZjUwLTQwNDgtYjQxYy02YzJkNmNiNDIwMmYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.ZEp9TxeHQoWqytQlEiI8PMWxhXz0x3-N_Rms49Dz30vNvCeVP35ySGAPhe2VX4zaY6GOLgw6pbbUnUCWXTq43dGM3yKjpjeyqOhH1mQz5oF_KR6B3crLR6eC9UQ6UAWyXJpEuLRHfL_WP3e-I8yyzP0qpueSE77UIkS8isH7wWbzd87xJwfPj4CDquZvSx7GUaCCjT_IiUorEAXkp1PpcJqHBSY-PF90yVIWqgqh5B-Xxp8skpIWB-mGDHQbc9bg6MMeSHur1n4OMY1LuDqy4PCrac51Gh0cL9JMnSyjjNr4yoeCu7SSBA-9Ce4HyIYapjwFAbpO59ZalzMSiNotEA' failed: Establishing a tunnel via proxy server failed.
