[2025-10-09T12:57:09.497Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=aed1d5ae-c041-4bcc-98e6-90cf9cd1c0c4&response_mode=fragment&response_type=code&scope=openid&nonce=5f59baee-18a2-4a78-9c50-2314c46ef1ed - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/g3pwm/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-10-09T12:57:09.497Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=aed1d5ae-c041-4bcc-98e6-90cf9cd1c0c4&response_mode=fragment&response_type=code&scope=openid&nonce=5f59baee-18a2-4a78-9c50-2314c46ef1ed - Autofocus processing was blocked because a document already has a focused element.

[2025-10-09T12:57:11.799Z] [SEVERE] http://localhost:81/ui/static/js/main.d27ce787.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTQ5MzAsImlhdCI6MTc2MDAxNDYzMCwiYXV0aF90aW1lIjoxNzYwMDE0NjI5LCJqdGkiOiI3OWNhYmExMC0zOGJkLTQwODktYTNjYS0zOGIzMmQxM2MzNzMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.d27xHOYYvmfLfAiHMi_I-i5E0tQnLjWTF2hZw515qwYalo5rOjGh58s2xE1sf51gyAO5qPZFGHsAUWcDkeLXNSKfQ_735zZd5chmZ-R0aBMweI9IVfulMPghcxq75RGgvOOIYCVcrgq0WXEUZ5H-nGKNvK6jNrnNwDSYDTokleNACZUEqCbYK0P9R7mGVbWJEY4iMvVcC-fIOgxK25pEp1vqOOy2Vy8Pc6wERI1s4dL0A5cVH_ez8lawXSMl9h-HmOKi7DqNCHBjZ5ESVNgmmnqBeBiT161BcVjVCjnMJ8jh7k9xuTEH8hZvUTx_PXKj4DQ7sU3wmO9PQXjgRGOv_A' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T12:57:13.806Z] [SEVERE] http://localhost:81/ui/static/js/main.d27ce787.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTQ5MzAsImlhdCI6MTc2MDAxNDYzMCwiYXV0aF90aW1lIjoxNzYwMDE0NjI5LCJqdGkiOiI3OWNhYmExMC0zOGJkLTQwODktYTNjYS0zOGIzMmQxM2MzNzMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.d27xHOYYvmfLfAiHMi_I-i5E0tQnLjWTF2hZw515qwYalo5rOjGh58s2xE1sf51gyAO5qPZFGHsAUWcDkeLXNSKfQ_735zZd5chmZ-R0aBMweI9IVfulMPghcxq75RGgvOOIYCVcrgq0WXEUZ5H-nGKNvK6jNrnNwDSYDTokleNACZUEqCbYK0P9R7mGVbWJEY4iMvVcC-fIOgxK25pEp1vqOOy2Vy8Pc6wERI1s4dL0A5cVH_ez8lawXSMl9h-HmOKi7DqNCHBjZ5ESVNgmmnqBeBiT161BcVjVCjnMJ8jh7k9xuTEH8hZvUTx_PXKj4DQ7sU3wmO9PQXjgRGOv_A' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T12:57:15.857Z] [SEVERE] http://localhost:81/ui/static/js/main.d27ce787.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTQ5MzAsImlhdCI6MTc2MDAxNDYzMCwiYXV0aF90aW1lIjoxNzYwMDE0NjI5LCJqdGkiOiI3OWNhYmExMC0zOGJkLTQwODktYTNjYS0zOGIzMmQxM2MzNzMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.d27xHOYYvmfLfAiHMi_I-i5E0tQnLjWTF2hZw515qwYalo5rOjGh58s2xE1sf51gyAO5qPZFGHsAUWcDkeLXNSKfQ_735zZd5chmZ-R0aBMweI9IVfulMPghcxq75RGgvOOIYCVcrgq0WXEUZ5H-nGKNvK6jNrnNwDSYDTokleNACZUEqCbYK0P9R7mGVbWJEY4iMvVcC-fIOgxK25pEp1vqOOy2Vy8Pc6wERI1s4dL0A5cVH_ez8lawXSMl9h-HmOKi7DqNCHBjZ5ESVNgmmnqBeBiT161BcVjVCjnMJ8jh7k9xuTEH8hZvUTx_PXKj4DQ7sU3wmO9PQXjgRGOv_A' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T12:57:18.047Z] [SEVERE] http://localhost:81/ui/static/js/main.d27ce787.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTQ5MzAsImlhdCI6MTc2MDAxNDYzMCwiYXV0aF90aW1lIjoxNzYwMDE0NjI5LCJqdGkiOiI3OWNhYmExMC0zOGJkLTQwODktYTNjYS0zOGIzMmQxM2MzNzMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.d27xHOYYvmfLfAiHMi_I-i5E0tQnLjWTF2hZw515qwYalo5rOjGh58s2xE1sf51gyAO5qPZFGHsAUWcDkeLXNSKfQ_735zZd5chmZ-R0aBMweI9IVfulMPghcxq75RGgvOOIYCVcrgq0WXEUZ5H-nGKNvK6jNrnNwDSYDTokleNACZUEqCbYK0P9R7mGVbWJEY4iMvVcC-fIOgxK25pEp1vqOOy2Vy8Pc6wERI1s4dL0A5cVH_ez8lawXSMl9h-HmOKi7DqNCHBjZ5ESVNgmmnqBeBiT161BcVjVCjnMJ8jh7k9xuTEH8hZvUTx_PXKj4DQ7sU3wmO9PQXjgRGOv_A' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T12:57:20.075Z] [SEVERE] http://localhost:81/ui/static/js/main.d27ce787.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTQ5MzAsImlhdCI6MTc2MDAxNDYzMCwiYXV0aF90aW1lIjoxNzYwMDE0NjI5LCJqdGkiOiI3OWNhYmExMC0zOGJkLTQwODktYTNjYS0zOGIzMmQxM2MzNzMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.d27xHOYYvmfLfAiHMi_I-i5E0tQnLjWTF2hZw515qwYalo5rOjGh58s2xE1sf51gyAO5qPZFGHsAUWcDkeLXNSKfQ_735zZd5chmZ-R0aBMweI9IVfulMPghcxq75RGgvOOIYCVcrgq0WXEUZ5H-nGKNvK6jNrnNwDSYDTokleNACZUEqCbYK0P9R7mGVbWJEY4iMvVcC-fIOgxK25pEp1vqOOy2Vy8Pc6wERI1s4dL0A5cVH_ez8lawXSMl9h-HmOKi7DqNCHBjZ5ESVNgmmnqBeBiT161BcVjVCjnMJ8jh7k9xuTEH8hZvUTx_PXKj4DQ7sU3wmO9PQXjgRGOv_A' failed: Establishing a tunnel via proxy server failed.
