[2025-10-09T13:01:01.144Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=dd8b7579-579f-41b6-825c-c7c627008556&response_mode=fragment&response_type=code&scope=openid&nonce=fa695618-7449-4573-a905-c7789ce1ea44 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/g3pwm/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-10-09T13:01:01.145Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=dd8b7579-579f-41b6-825c-c7c627008556&response_mode=fragment&response_type=code&scope=openid&nonce=fa695618-7449-4573-a905-c7789ce1ea44 - Autofocus processing was blocked because a document already has a focused element.

[2025-10-09T13:01:03.165Z] [SEVERE] http://localhost:81/ui/static/js/main.d27ce787.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTUxNjIsImlhdCI6MTc2MDAxNDg2MiwiYXV0aF90aW1lIjoxNzYwMDE0ODYxLCJqdGkiOiI4MmMyNzRkZS00YTYxLTQ2NjQtYjNlZi01ZjFjZTRmYjlkNzkiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.ChBkfhsnJXcqXfVFzqdKmWzlaJKZFjgApHTK2ICTcUsyXeOykn4HPEHUpzljw5wKED4VnFLuT4B3htUKcfGEKO6aVxZBlukenojKJntNzu83XSDNfU1nWBkNE7Q5vrCVE30pv-lp44MX5Xv36u5l4BktymsWVKAX2Nskk7b2vG9tlZsQQgadIUbtOCA-98Iju_VqQOnonoPbO2HjW9ajgz_MBl0A2vtkzgvFfX1sB41mWEd9gWSG3ckskSHoMVsj_etpupTVHv2yTRufjc1RfGJMHM1OvVjQj0Dwa-YY4XZ37RxIZ7joXlyuMys-ROcW8V7gmsZxSAbptGyq73lx7Q' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T13:01:05.172Z] [SEVERE] http://localhost:81/ui/static/js/main.d27ce787.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTUxNjIsImlhdCI6MTc2MDAxNDg2MiwiYXV0aF90aW1lIjoxNzYwMDE0ODYxLCJqdGkiOiI4MmMyNzRkZS00YTYxLTQ2NjQtYjNlZi01ZjFjZTRmYjlkNzkiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.ChBkfhsnJXcqXfVFzqdKmWzlaJKZFjgApHTK2ICTcUsyXeOykn4HPEHUpzljw5wKED4VnFLuT4B3htUKcfGEKO6aVxZBlukenojKJntNzu83XSDNfU1nWBkNE7Q5vrCVE30pv-lp44MX5Xv36u5l4BktymsWVKAX2Nskk7b2vG9tlZsQQgadIUbtOCA-98Iju_VqQOnonoPbO2HjW9ajgz_MBl0A2vtkzgvFfX1sB41mWEd9gWSG3ckskSHoMVsj_etpupTVHv2yTRufjc1RfGJMHM1OvVjQj0Dwa-YY4XZ37RxIZ7joXlyuMys-ROcW8V7gmsZxSAbptGyq73lx7Q' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T13:01:07.176Z] [SEVERE] http://localhost:81/ui/static/js/main.d27ce787.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTUxNjIsImlhdCI6MTc2MDAxNDg2MiwiYXV0aF90aW1lIjoxNzYwMDE0ODYxLCJqdGkiOiI4MmMyNzRkZS00YTYxLTQ2NjQtYjNlZi01ZjFjZTRmYjlkNzkiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.ChBkfhsnJXcqXfVFzqdKmWzlaJKZFjgApHTK2ICTcUsyXeOykn4HPEHUpzljw5wKED4VnFLuT4B3htUKcfGEKO6aVxZBlukenojKJntNzu83XSDNfU1nWBkNE7Q5vrCVE30pv-lp44MX5Xv36u5l4BktymsWVKAX2Nskk7b2vG9tlZsQQgadIUbtOCA-98Iju_VqQOnonoPbO2HjW9ajgz_MBl0A2vtkzgvFfX1sB41mWEd9gWSG3ckskSHoMVsj_etpupTVHv2yTRufjc1RfGJMHM1OvVjQj0Dwa-YY4XZ37RxIZ7joXlyuMys-ROcW8V7gmsZxSAbptGyq73lx7Q' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T13:01:08.514Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=8873d191-2754-4476-8390-ac4620a18c1c&response_mode=fragment&response_type=code&scope=openid&nonce=48c8e27e-5d87-44a6-8259-a0b0437d15f8 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/g3pwm/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-10-09T13:01:10.559Z] [SEVERE] http://localhost:81/ui/static/js/main.d27ce787.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTUxNjksImlhdCI6MTc2MDAxNDg2OSwiYXV0aF90aW1lIjoxNzYwMDE0ODY4LCJqdGkiOiIyYWRiN2ZlNy1lZGQ2LTQzNmItYWUyZC00NWRmYjdhYTBlNWMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.l8odEz-jWdXRyXrEJXTPIjSHlaquExagnNA-x3og_CtNdZLfFbGLlQxP6RVsvl4mVWoRbZ27FUCHt9eBVrdD1Pc7uYo3ezpPWfNUK9VZLmGyb-yWoXVtRoBtn-JO3TWHZQQPQT31SS4ZuSsBYpPZsCoLJW2NL1suvTmWkWZ-1WEmXw7yRgvoLpzvIyPqFkbNpRRMjgOgwDwvLk-HbiAdPtHK6Dt-1jABjGTTM-T69k-K1V8PFLUhUKAHM7Ha7pnFGlbrZIrWgl6SL0mUBhnz86RL710x5QruW35mZOZWT2XiXgKo-fRJhhcEICdQWmxVdSzL1O7XbFc3FRNXYGUTpg' failed: Establishing a tunnel via proxy server failed.

