[2025-10-09T13:34:38.114Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=f68c6213-2f89-4758-95a2-50ba3c669994&response_mode=fragment&response_type=code&scope=openid&nonce=72ef7bdd-3bd4-47f0-8887-f3f34fbd8e7b - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/g3pwm/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-10-09T13:34:38.115Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=f68c6213-2f89-4758-95a2-50ba3c669994&response_mode=fragment&response_type=code&scope=openid&nonce=72ef7bdd-3bd4-47f0-8887-f3f34fbd8e7b - Autofocus processing was blocked because a document already has a focused element.

[2025-10-09T13:34:40.106Z] [SEVERE] http://localhost:81/ui/static/js/main.e175331f.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTcxNzksImlhdCI6MTc2MDAxNjg3OSwiYXV0aF90aW1lIjoxNzYwMDE2ODc4LCJqdGkiOiIwMTNlZWVjYy1mNWI1LTRmOTQtOWExMS05YTE4ZjU0ODMzMTMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.KboYYskY19uxvy7-ePVnxlfXXmOwTh2M8vWpgNC9papL_Dtpf46LwA0Egtd6zJahHnHtcJwdrxqCsOsNKcMHoQHr3dlt1qkmz2p5FwkXqfC2kyjsLvk4VvNO_iNL-tW5Ht86jqEdpLlX1HzlCDOijlffNJAvG6UA_0cZmZDkib8fpkSliBO6V_XAwi6x8_AhuLx0W1AlzuYCa3EA5-RpiWG9rIRzVf5fCmaiqiLdShya3p-FK023DOv90ArkpDfJJd_pue0IimJ26tooSpxvjiQRhLFt-rE8hgiKc4bXWk2GoQzkhD7QE0ELS1l7Hm8AIJncKD3IPVWh6x6ThycifQ' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T13:34:42.113Z] [SEVERE] http://localhost:81/ui/static/js/main.e175331f.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTcxNzksImlhdCI6MTc2MDAxNjg3OSwiYXV0aF90aW1lIjoxNzYwMDE2ODc4LCJqdGkiOiIwMTNlZWVjYy1mNWI1LTRmOTQtOWExMS05YTE4ZjU0ODMzMTMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.KboYYskY19uxvy7-ePVnxlfXXmOwTh2M8vWpgNC9papL_Dtpf46LwA0Egtd6zJahHnHtcJwdrxqCsOsNKcMHoQHr3dlt1qkmz2p5FwkXqfC2kyjsLvk4VvNO_iNL-tW5Ht86jqEdpLlX1HzlCDOijlffNJAvG6UA_0cZmZDkib8fpkSliBO6V_XAwi6x8_AhuLx0W1AlzuYCa3EA5-RpiWG9rIRzVf5fCmaiqiLdShya3p-FK023DOv90ArkpDfJJd_pue0IimJ26tooSpxvjiQRhLFt-rE8hgiKc4bXWk2GoQzkhD7QE0ELS1l7Hm8AIJncKD3IPVWh6x6ThycifQ' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T13:34:44.121Z] [SEVERE] http://localhost:81/ui/static/js/main.e175331f.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTcxNzksImlhdCI6MTc2MDAxNjg3OSwiYXV0aF90aW1lIjoxNzYwMDE2ODc4LCJqdGkiOiIwMTNlZWVjYy1mNWI1LTRmOTQtOWExMS05YTE4ZjU0ODMzMTMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.KboYYskY19uxvy7-ePVnxlfXXmOwTh2M8vWpgNC9papL_Dtpf46LwA0Egtd6zJahHnHtcJwdrxqCsOsNKcMHoQHr3dlt1qkmz2p5FwkXqfC2kyjsLvk4VvNO_iNL-tW5Ht86jqEdpLlX1HzlCDOijlffNJAvG6UA_0cZmZDkib8fpkSliBO6V_XAwi6x8_AhuLx0W1AlzuYCa3EA5-RpiWG9rIRzVf5fCmaiqiLdShya3p-FK023DOv90ArkpDfJJd_pue0IimJ26tooSpxvjiQRhLFt-rE8hgiKc4bXWk2GoQzkhD7QE0ELS1l7Hm8AIJncKD3IPVWh6x6ThycifQ' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T13:34:46.289Z] [SEVERE] http://localhost:81/ui/static/js/main.e175331f.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTcxNzksImlhdCI6MTc2MDAxNjg3OSwiYXV0aF90aW1lIjoxNzYwMDE2ODc4LCJqdGkiOiIwMTNlZWVjYy1mNWI1LTRmOTQtOWExMS05YTE4ZjU0ODMzMTMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.KboYYskY19uxvy7-ePVnxlfXXmOwTh2M8vWpgNC9papL_Dtpf46LwA0Egtd6zJahHnHtcJwdrxqCsOsNKcMHoQHr3dlt1qkmz2p5FwkXqfC2kyjsLvk4VvNO_iNL-tW5Ht86jqEdpLlX1HzlCDOijlffNJAvG6UA_0cZmZDkib8fpkSliBO6V_XAwi6x8_AhuLx0W1AlzuYCa3EA5-RpiWG9rIRzVf5fCmaiqiLdShya3p-FK023DOv90ArkpDfJJd_pue0IimJ26tooSpxvjiQRhLFt-rE8hgiKc4bXWk2GoQzkhD7QE0ELS1l7Hm8AIJncKD3IPVWh6x6ThycifQ' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T13:34:48.132Z] [SEVERE] http://localhost:81/ui/static/js/main.e175331f.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTcxNzksImlhdCI6MTc2MDAxNjg3OSwiYXV0aF90aW1lIjoxNzYwMDE2ODc4LCJqdGkiOiIwMTNlZWVjYy1mNWI1LTRmOTQtOWExMS05YTE4ZjU0ODMzMTMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.KboYYskY19uxvy7-ePVnxlfXXmOwTh2M8vWpgNC9papL_Dtpf46LwA0Egtd6zJahHnHtcJwdrxqCsOsNKcMHoQHr3dlt1qkmz2p5FwkXqfC2kyjsLvk4VvNO_iNL-tW5Ht86jqEdpLlX1HzlCDOijlffNJAvG6UA_0cZmZDkib8fpkSliBO6V_XAwi6x8_AhuLx0W1AlzuYCa3EA5-RpiWG9rIRzVf5fCmaiqiLdShya3p-FK023DOv90ArkpDfJJd_pue0IimJ26tooSpxvjiQRhLFt-rE8hgiKc4bXWk2GoQzkhD7QE0ELS1l7Hm8AIJncKD3IPVWh6x6ThycifQ' failed: Establishing a tunnel via proxy server failed.
