[2025-10-09T13:34:19.599Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=d5144d94-12fe-49e4-8cbe-453f499c339a&response_mode=fragment&response_type=code&scope=openid&nonce=b1177d41-6137-4cd0-82d0-904cce08f4c1 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/g3pwm/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-10-09T13:34:19.601Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=d5144d94-12fe-49e4-8cbe-453f499c339a&response_mode=fragment&response_type=code&scope=openid&nonce=b1177d41-6137-4cd0-82d0-904cce08f4c1 - Autofocus processing was blocked because a document already has a focused element.

[2025-10-09T13:34:21.601Z] [SEVERE] http://localhost:81/ui/static/js/main.e175331f.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTcxNjAsImlhdCI6MTc2MDAxNjg2MCwiYXV0aF90aW1lIjoxNzYwMDE2ODU5LCJqdGkiOiIxMTZhOTY3My1kZjcyLTQzNjItYTVjOC03M2NiMDNiZDM2NGUiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.qgGuPhj1rokvCKcMC-QeruqM8I0VM3U3iNI-O9AXa9NhjzzKraZGRFtj8d6PrIoTgEGIXcPvNz0aAwpHWsVmPm2Mil6ljmBIyut8tvwWYeEGTB7N1HlcUPTeUNQmYnhL_w3jjjjvPQT4alfw8l64Q2gNGz-eY-TmcBhjYmsw-2DbmRbHa9VVoRmU4rUkxIzlX585CYk1MvvdamxlZRfTt8h5weXaL5nKTrgFYFz2n14usPYHkjbxEALb9CmhOxwIm7eL4UoANmHk6B_x67BpGuvF0B_ZoS7JADR7LN4vviw9Da0xVYy8JIzTEO6d-QzYaD7B9ZMXnddDnCcUwj1mNQ' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T13:34:23.630Z] [SEVERE] http://localhost:81/ui/static/js/main.e175331f.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTcxNjAsImlhdCI6MTc2MDAxNjg2MCwiYXV0aF90aW1lIjoxNzYwMDE2ODU5LCJqdGkiOiIxMTZhOTY3My1kZjcyLTQzNjItYTVjOC03M2NiMDNiZDM2NGUiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.qgGuPhj1rokvCKcMC-QeruqM8I0VM3U3iNI-O9AXa9NhjzzKraZGRFtj8d6PrIoTgEGIXcPvNz0aAwpHWsVmPm2Mil6ljmBIyut8tvwWYeEGTB7N1HlcUPTeUNQmYnhL_w3jjjjvPQT4alfw8l64Q2gNGz-eY-TmcBhjYmsw-2DbmRbHa9VVoRmU4rUkxIzlX585CYk1MvvdamxlZRfTt8h5weXaL5nKTrgFYFz2n14usPYHkjbxEALb9CmhOxwIm7eL4UoANmHk6B_x67BpGuvF0B_ZoS7JADR7LN4vviw9Da0xVYy8JIzTEO6d-QzYaD7B9ZMXnddDnCcUwj1mNQ' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T13:34:25.635Z] [SEVERE] http://localhost:81/ui/static/js/main.e175331f.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTcxNjAsImlhdCI6MTc2MDAxNjg2MCwiYXV0aF90aW1lIjoxNzYwMDE2ODU5LCJqdGkiOiIxMTZhOTY3My1kZjcyLTQzNjItYTVjOC03M2NiMDNiZDM2NGUiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.qgGuPhj1rokvCKcMC-QeruqM8I0VM3U3iNI-O9AXa9NhjzzKraZGRFtj8d6PrIoTgEGIXcPvNz0aAwpHWsVmPm2Mil6ljmBIyut8tvwWYeEGTB7N1HlcUPTeUNQmYnhL_w3jjjjvPQT4alfw8l64Q2gNGz-eY-TmcBhjYmsw-2DbmRbHa9VVoRmU4rUkxIzlX585CYk1MvvdamxlZRfTt8h5weXaL5nKTrgFYFz2n14usPYHkjbxEALb9CmhOxwIm7eL4UoANmHk6B_x67BpGuvF0B_ZoS7JADR7LN4vviw9Da0xVYy8JIzTEO6d-QzYaD7B9ZMXnddDnCcUwj1mNQ' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T13:34:27.781Z] [SEVERE] http://localhost:81/ui/static/js/main.e175331f.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTcxNjAsImlhdCI6MTc2MDAxNjg2MCwiYXV0aF90aW1lIjoxNzYwMDE2ODU5LCJqdGkiOiIxMTZhOTY3My1kZjcyLTQzNjItYTVjOC03M2NiMDNiZDM2NGUiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.qgGuPhj1rokvCKcMC-QeruqM8I0VM3U3iNI-O9AXa9NhjzzKraZGRFtj8d6PrIoTgEGIXcPvNz0aAwpHWsVmPm2Mil6ljmBIyut8tvwWYeEGTB7N1HlcUPTeUNQmYnhL_w3jjjjvPQT4alfw8l64Q2gNGz-eY-TmcBhjYmsw-2DbmRbHa9VVoRmU4rUkxIzlX585CYk1MvvdamxlZRfTt8h5weXaL5nKTrgFYFz2n14usPYHkjbxEALb9CmhOxwIm7eL4UoANmHk6B_x67BpGuvF0B_ZoS7JADR7LN4vviw9Da0xVYy8JIzTEO6d-QzYaD7B9ZMXnddDnCcUwj1mNQ' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T13:34:29.648Z] [SEVERE] http://localhost:81/ui/static/js/main.e175331f.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTcxNjAsImlhdCI6MTc2MDAxNjg2MCwiYXV0aF90aW1lIjoxNzYwMDE2ODU5LCJqdGkiOiIxMTZhOTY3My1kZjcyLTQzNjItYTVjOC03M2NiMDNiZDM2NGUiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.qgGuPhj1rokvCKcMC-QeruqM8I0VM3U3iNI-O9AXa9NhjzzKraZGRFtj8d6PrIoTgEGIXcPvNz0aAwpHWsVmPm2Mil6ljmBIyut8tvwWYeEGTB7N1HlcUPTeUNQmYnhL_w3jjjjvPQT4alfw8l64Q2gNGz-eY-TmcBhjYmsw-2DbmRbHa9VVoRmU4rUkxIzlX585CYk1MvvdamxlZRfTt8h5weXaL5nKTrgFYFz2n14usPYHkjbxEALb9CmhOxwIm7eL4UoANmHk6B_x67BpGuvF0B_ZoS7JADR7LN4vviw9Da0xVYy8JIzTEO6d-QzYaD7B9ZMXnddDnCcUwj1mNQ' failed: Establishing a tunnel via proxy server failed.
