[2025-10-09T13:32:35.329Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=79d340fc-60c0-49a2-89a6-cff263db3387&response_mode=fragment&response_type=code&scope=openid&nonce=fd4e97bd-2dd7-41ab-87d6-7f6e0479b1a1 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/g3pwm/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-10-09T13:32:35.330Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=79d340fc-60c0-49a2-89a6-cff263db3387&response_mode=fragment&response_type=code&scope=openid&nonce=fd4e97bd-2dd7-41ab-87d6-7f6e0479b1a1 - Autofocus processing was blocked because a document already has a focused element.

[2025-10-09T13:32:37.345Z] [SEVERE] http://localhost:81/ui/static/js/main.e175331f.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTcwNTYsImlhdCI6MTc2MDAxNjc1NiwiYXV0aF90aW1lIjoxNzYwMDE2NzU1LCJqdGkiOiIxZDlkNTQ4NC03OTE1LTRiZjItOTE3OC04MjNjNjdjMjgwOGEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.eMQGpfywOz_zVUiWB_SAugeQi1H9tmfR6zHVOHac_zCstbFCLA2ecxWHlvkP0BwSrPIbnhE1z5coXtAcyzf4g3NrSjH7sasyKg9rAZ-uI8UT6Rnb1jDDv0FCpW4ohX5D8VGMDcrVVohWY_AHYwYYcRVxb5t5digJpbVFv-EIJGd_PQIk1B3im9lfUeNqs0zfhTJxl-cQa72XO-jJ0su601h-hBBIvzdgR9xiGS8GYjxducgkvgoUb7upWEjFJYQ9UXzHIV7O0p1Y6wIyNm_NLw8s3eFD02bnZWsen_RLVZ4wPnmK7DsxUJ9oZMF6_zvEWFK5ObRjH0EomPSGoIUFfA' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T13:32:39.352Z] [SEVERE] http://localhost:81/ui/static/js/main.e175331f.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTcwNTYsImlhdCI6MTc2MDAxNjc1NiwiYXV0aF90aW1lIjoxNzYwMDE2NzU1LCJqdGkiOiIxZDlkNTQ4NC03OTE1LTRiZjItOTE3OC04MjNjNjdjMjgwOGEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.eMQGpfywOz_zVUiWB_SAugeQi1H9tmfR6zHVOHac_zCstbFCLA2ecxWHlvkP0BwSrPIbnhE1z5coXtAcyzf4g3NrSjH7sasyKg9rAZ-uI8UT6Rnb1jDDv0FCpW4ohX5D8VGMDcrVVohWY_AHYwYYcRVxb5t5digJpbVFv-EIJGd_PQIk1B3im9lfUeNqs0zfhTJxl-cQa72XO-jJ0su601h-hBBIvzdgR9xiGS8GYjxducgkvgoUb7upWEjFJYQ9UXzHIV7O0p1Y6wIyNm_NLw8s3eFD02bnZWsen_RLVZ4wPnmK7DsxUJ9oZMF6_zvEWFK5ObRjH0EomPSGoIUFfA' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T13:32:41.464Z] [SEVERE] http://localhost:81/ui/static/js/main.e175331f.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTcwNTYsImlhdCI6MTc2MDAxNjc1NiwiYXV0aF90aW1lIjoxNzYwMDE2NzU1LCJqdGkiOiIxZDlkNTQ4NC03OTE1LTRiZjItOTE3OC04MjNjNjdjMjgwOGEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.eMQGpfywOz_zVUiWB_SAugeQi1H9tmfR6zHVOHac_zCstbFCLA2ecxWHlvkP0BwSrPIbnhE1z5coXtAcyzf4g3NrSjH7sasyKg9rAZ-uI8UT6Rnb1jDDv0FCpW4ohX5D8VGMDcrVVohWY_AHYwYYcRVxb5t5digJpbVFv-EIJGd_PQIk1B3im9lfUeNqs0zfhTJxl-cQa72XO-jJ0su601h-hBBIvzdgR9xiGS8GYjxducgkvgoUb7upWEjFJYQ9UXzHIV7O0p1Y6wIyNm_NLw8s3eFD02bnZWsen_RLVZ4wPnmK7DsxUJ9oZMF6_zvEWFK5ObRjH0EomPSGoIUFfA' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T13:32:43.378Z] [SEVERE] http://localhost:81/ui/static/js/main.e175331f.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTcwNTYsImlhdCI6MTc2MDAxNjc1NiwiYXV0aF90aW1lIjoxNzYwMDE2NzU1LCJqdGkiOiIxZDlkNTQ4NC03OTE1LTRiZjItOTE3OC04MjNjNjdjMjgwOGEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.eMQGpfywOz_zVUiWB_SAugeQi1H9tmfR6zHVOHac_zCstbFCLA2ecxWHlvkP0BwSrPIbnhE1z5coXtAcyzf4g3NrSjH7sasyKg9rAZ-uI8UT6Rnb1jDDv0FCpW4ohX5D8VGMDcrVVohWY_AHYwYYcRVxb5t5digJpbVFv-EIJGd_PQIk1B3im9lfUeNqs0zfhTJxl-cQa72XO-jJ0su601h-hBBIvzdgR9xiGS8GYjxducgkvgoUb7upWEjFJYQ9UXzHIV7O0p1Y6wIyNm_NLw8s3eFD02bnZWsen_RLVZ4wPnmK7DsxUJ9oZMF6_zvEWFK5ObRjH0EomPSGoIUFfA' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T13:32:45.500Z] [SEVERE] http://localhost:81/ui/static/js/main.e175331f.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTcwNTYsImlhdCI6MTc2MDAxNjc1NiwiYXV0aF90aW1lIjoxNzYwMDE2NzU1LCJqdGkiOiIxZDlkNTQ4NC03OTE1LTRiZjItOTE3OC04MjNjNjdjMjgwOGEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.eMQGpfywOz_zVUiWB_SAugeQi1H9tmfR6zHVOHac_zCstbFCLA2ecxWHlvkP0BwSrPIbnhE1z5coXtAcyzf4g3NrSjH7sasyKg9rAZ-uI8UT6Rnb1jDDv0FCpW4ohX5D8VGMDcrVVohWY_AHYwYYcRVxb5t5digJpbVFv-EIJGd_PQIk1B3im9lfUeNqs0zfhTJxl-cQa72XO-jJ0su601h-hBBIvzdgR9xiGS8GYjxducgkvgoUb7upWEjFJYQ9UXzHIV7O0p1Y6wIyNm_NLw8s3eFD02bnZWsen_RLVZ4wPnmK7DsxUJ9oZMF6_zvEWFK5ObRjH0EomPSGoIUFfA' failed: Establishing a tunnel via proxy server failed.
