[2025-10-09T13:34:06.388Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=b27a8f66-844a-4ce7-9bab-b1e26caaff9a&response_mode=fragment&response_type=code&scope=openid&nonce=15551657-e0c1-4292-a11c-b1dc7ced29eb - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/g3pwm/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-10-09T13:34:06.388Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=b27a8f66-844a-4ce7-9bab-b1e26caaff9a&response_mode=fragment&response_type=code&scope=openid&nonce=15551657-e0c1-4292-a11c-b1dc7ced29eb - Autofocus processing was blocked because a document already has a focused element.

[2025-10-09T13:34:08.430Z] [SEVERE] http://localhost:81/ui/static/js/main.e175331f.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTcxNDcsImlhdCI6MTc2MDAxNjg0NywiYXV0aF90aW1lIjoxNzYwMDE2ODQ2LCJqdGkiOiJiZmFmMDIwNC0yNTc4LTRjZDAtOTVmYS0zZjgzYzY4OTI2OTIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.mFHhGg4eAyose2sdKTp4tkhME33mNrogS_J5eN32c9odfYmBR3K4yxaxYVTdI3GC03PPy39iqKzXnumXQey4qAlz9uvvayYkkRe2Rj6dS8uv27lip6FyvdC4uac3wKBi9DGAQ5CjPAtOQhJwQl6AdVgej2WSwNyG0R4NmeOHDcVVvsOfT8c1zduHGyXPlIZJ5S0ZW4xUT1E-Szj4nKAbw15Geku5STZLqtqhn7tzAjTV_dihBZrBQLDTJegWhbQWyDl0G2dAXyaUpxQ-fRZ95JApyFBcveFly9OI1WQOB3R2mG3Sdse7rnueYvWt-eGvg7W0-JqXZI6UIWMIlJ0whg' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T13:34:10.435Z] [SEVERE] http://localhost:81/ui/static/js/main.e175331f.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTcxNDcsImlhdCI6MTc2MDAxNjg0NywiYXV0aF90aW1lIjoxNzYwMDE2ODQ2LCJqdGkiOiJiZmFmMDIwNC0yNTc4LTRjZDAtOTVmYS0zZjgzYzY4OTI2OTIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.mFHhGg4eAyose2sdKTp4tkhME33mNrogS_J5eN32c9odfYmBR3K4yxaxYVTdI3GC03PPy39iqKzXnumXQey4qAlz9uvvayYkkRe2Rj6dS8uv27lip6FyvdC4uac3wKBi9DGAQ5CjPAtOQhJwQl6AdVgej2WSwNyG0R4NmeOHDcVVvsOfT8c1zduHGyXPlIZJ5S0ZW4xUT1E-Szj4nKAbw15Geku5STZLqtqhn7tzAjTV_dihBZrBQLDTJegWhbQWyDl0G2dAXyaUpxQ-fRZ95JApyFBcveFly9OI1WQOB3R2mG3Sdse7rnueYvWt-eGvg7W0-JqXZI6UIWMIlJ0whg' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T13:34:12.440Z] [SEVERE] http://localhost:81/ui/static/js/main.e175331f.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTcxNDcsImlhdCI6MTc2MDAxNjg0NywiYXV0aF90aW1lIjoxNzYwMDE2ODQ2LCJqdGkiOiJiZmFmMDIwNC0yNTc4LTRjZDAtOTVmYS0zZjgzYzY4OTI2OTIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.mFHhGg4eAyose2sdKTp4tkhME33mNrogS_J5eN32c9odfYmBR3K4yxaxYVTdI3GC03PPy39iqKzXnumXQey4qAlz9uvvayYkkRe2Rj6dS8uv27lip6FyvdC4uac3wKBi9DGAQ5CjPAtOQhJwQl6AdVgej2WSwNyG0R4NmeOHDcVVvsOfT8c1zduHGyXPlIZJ5S0ZW4xUT1E-Szj4nKAbw15Geku5STZLqtqhn7tzAjTV_dihBZrBQLDTJegWhbQWyDl0G2dAXyaUpxQ-fRZ95JApyFBcveFly9OI1WQOB3R2mG3Sdse7rnueYvWt-eGvg7W0-JqXZI6UIWMIlJ0whg' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T13:34:14.614Z] [SEVERE] http://localhost:81/ui/static/js/main.e175331f.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTcxNDcsImlhdCI6MTc2MDAxNjg0NywiYXV0aF90aW1lIjoxNzYwMDE2ODQ2LCJqdGkiOiJiZmFmMDIwNC0yNTc4LTRjZDAtOTVmYS0zZjgzYzY4OTI2OTIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.mFHhGg4eAyose2sdKTp4tkhME33mNrogS_J5eN32c9odfYmBR3K4yxaxYVTdI3GC03PPy39iqKzXnumXQey4qAlz9uvvayYkkRe2Rj6dS8uv27lip6FyvdC4uac3wKBi9DGAQ5CjPAtOQhJwQl6AdVgej2WSwNyG0R4NmeOHDcVVvsOfT8c1zduHGyXPlIZJ5S0ZW4xUT1E-Szj4nKAbw15Geku5STZLqtqhn7tzAjTV_dihBZrBQLDTJegWhbQWyDl0G2dAXyaUpxQ-fRZ95JApyFBcveFly9OI1WQOB3R2mG3Sdse7rnueYvWt-eGvg7W0-JqXZI6UIWMIlJ0whg' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T13:34:16.530Z] [SEVERE] http://localhost:81/ui/static/js/main.e175331f.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTcxNDcsImlhdCI6MTc2MDAxNjg0NywiYXV0aF90aW1lIjoxNzYwMDE2ODQ2LCJqdGkiOiJiZmFmMDIwNC0yNTc4LTRjZDAtOTVmYS0zZjgzYzY4OTI2OTIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.mFHhGg4eAyose2sdKTp4tkhME33mNrogS_J5eN32c9odfYmBR3K4yxaxYVTdI3GC03PPy39iqKzXnumXQey4qAlz9uvvayYkkRe2Rj6dS8uv27lip6FyvdC4uac3wKBi9DGAQ5CjPAtOQhJwQl6AdVgej2WSwNyG0R4NmeOHDcVVvsOfT8c1zduHGyXPlIZJ5S0ZW4xUT1E-Szj4nKAbw15Geku5STZLqtqhn7tzAjTV_dihBZrBQLDTJegWhbQWyDl0G2dAXyaUpxQ-fRZ95JApyFBcveFly9OI1WQOB3R2mG3Sdse7rnueYvWt-eGvg7W0-JqXZI6UIWMIlJ0whg' failed: Establishing a tunnel via proxy server failed.
