[2025-10-09T13:29:09.644Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=1fea6e38-5470-416f-86df-3ca57fc7ce8c&response_mode=fragment&response_type=code&scope=openid&nonce=6b8f1b25-c1fe-4451-8231-82368c5622d8 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/g3pwm/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-10-09T13:29:09.645Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=1fea6e38-5470-416f-86df-3ca57fc7ce8c&response_mode=fragment&response_type=code&scope=openid&nonce=6b8f1b25-c1fe-4451-8231-82368c5622d8 - Autofocus processing was blocked because a document already has a focused element.

[2025-10-09T13:29:11.829Z] [SEVERE] http://localhost:81/ui/static/js/main.e175331f.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTY4NTAsImlhdCI6MTc2MDAxNjU1MCwiYXV0aF90aW1lIjoxNzYwMDE2NTQ5LCJqdGkiOiJmMDZhYmUwOC05ZjJiLTRmMDgtYjE3Mi1iN2JmMzkxMThhZDYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.TnTa1IP-KGND2wx7Rm1quk5IMg34nAWgwaTPjZxwRa55v2xWaFNman-FU-IgcYuGF6DYAv-nZHGxpFyDYmy3vs-9UjYfdj8ycgf1PEnUwWRF6hnGNawodw2LBF3mE4GwRzYReqDQ2I6ndLxrbbVWYsMinMdwcDpyeeq2HOX6SWVenKbVsE_TpbcQkdsymEQtK6RFpA5mCe8E1j_3L51KRuqHq3dsAWu_NcSbjob-b23JbKy7lk9AENsiLIX_qzyHz6SBXqbk0o8e0NQIEh8yPvD8Vbit6imr6eunCTmQnkJyKk24EPcL337y0jmLc3glyQwLCXchDoQ6iF9Zwy7kiA' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T13:29:13.834Z] [SEVERE] http://localhost:81/ui/static/js/main.e175331f.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTY4NTAsImlhdCI6MTc2MDAxNjU1MCwiYXV0aF90aW1lIjoxNzYwMDE2NTQ5LCJqdGkiOiJmMDZhYmUwOC05ZjJiLTRmMDgtYjE3Mi1iN2JmMzkxMThhZDYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.TnTa1IP-KGND2wx7Rm1quk5IMg34nAWgwaTPjZxwRa55v2xWaFNman-FU-IgcYuGF6DYAv-nZHGxpFyDYmy3vs-9UjYfdj8ycgf1PEnUwWRF6hnGNawodw2LBF3mE4GwRzYReqDQ2I6ndLxrbbVWYsMinMdwcDpyeeq2HOX6SWVenKbVsE_TpbcQkdsymEQtK6RFpA5mCe8E1j_3L51KRuqHq3dsAWu_NcSbjob-b23JbKy7lk9AENsiLIX_qzyHz6SBXqbk0o8e0NQIEh8yPvD8Vbit6imr6eunCTmQnkJyKk24EPcL337y0jmLc3glyQwLCXchDoQ6iF9Zwy7kiA' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T13:29:15.485Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=b8fe77bd-dced-4ce2-8325-c109edb7e537&response_mode=fragment&response_type=code&scope=openid&nonce=1e989a58-a274-4000-8fd8-035cf9acdbc0 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/g3pwm/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-10-09T13:29:17.953Z] [SEVERE] http://localhost:81/ui/static/js/main.e175331f.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTY4NTYsImlhdCI6MTc2MDAxNjU1NiwiYXV0aF90aW1lIjoxNzYwMDE2NTU1LCJqdGkiOiI1ZGI0ODVjZi1jYzcwLTRiYWItODc4NC02ZThmM2NlNzU0YzciLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.kYvYwF59GH4xXE5uGpPjcOOM6ZAnWsgIlVW9wInzbqIf8YBFvA2M0pxk-UKZho_Ifp-_EBK9aRIqtQXP5gSNFA1-lLYUmZr-6XKRQkaK1SPZbZp0FXKdFnGEuYaDbIq0WEGd55pAmEmQCkTA8LnIOc4Bhdw-FQZIvTBFDEF5Rg8FJVIQVhJK9Hk7pus_CBfShkjxXgUUnhS8-ks_lFDyNROoLsNSKMfDAuPRTqoZXFWdDtwVj4Mbk66OJbcdAj27BzrC_IILZmjnrB7Wf73OZApZ-UQO0_8PaYDBX0CvhIwHh88ebXQB-6R717dMZg2Tgd-QU1NkJVpTQ9HS8v2vzw' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T13:29:19.957Z] [SEVERE] http://localhost:81/ui/static/js/main.e175331f.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTY4NTYsImlhdCI6MTc2MDAxNjU1NiwiYXV0aF90aW1lIjoxNzYwMDE2NTU1LCJqdGkiOiI1ZGI0ODVjZi1jYzcwLTRiYWItODc4NC02ZThmM2NlNzU0YzciLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.kYvYwF59GH4xXE5uGpPjcOOM6ZAnWsgIlVW9wInzbqIf8YBFvA2M0pxk-UKZho_Ifp-_EBK9aRIqtQXP5gSNFA1-lLYUmZr-6XKRQkaK1SPZbZp0FXKdFnGEuYaDbIq0WEGd55pAmEmQCkTA8LnIOc4Bhdw-FQZIvTBFDEF5Rg8FJVIQVhJK9Hk7pus_CBfShkjxXgUUnhS8-ks_lFDyNROoLsNSKMfDAuPRTqoZXFWdDtwVj4Mbk66OJbcdAj27BzrC_IILZmjnrB7Wf73OZApZ-UQO0_8PaYDBX0CvhIwHh88ebXQB-6R717dMZg2Tgd-QU1NkJVpTQ9HS8v2vzw' failed: Establishing a tunnel via proxy server failed.
