[2025-10-09T13:25:36.649Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=3ba8eb43-9a70-4484-b547-38cfcb935841&response_mode=fragment&response_type=code&scope=openid&nonce=6d126b33-f7fd-4bf6-8bce-a01a9b664320 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/g3pwm/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-10-09T13:25:36.649Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=3ba8eb43-9a70-4484-b547-38cfcb935841&response_mode=fragment&response_type=code&scope=openid&nonce=6d126b33-f7fd-4bf6-8bce-a01a9b664320 - Autofocus processing was blocked because a document already has a focused element.

[2025-10-09T13:25:38.678Z] [SEVERE] http://localhost:81/ui/static/js/main.e175331f.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTY2MzcsImlhdCI6MTc2MDAxNjMzNywiYXV0aF90aW1lIjoxNzYwMDE2MzM2LCJqdGkiOiJiNWMwMDA1ZS1hNmNjLTRkMGQtYWZiNC1lMzZkZTU5ZGFlNzUiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.MgDdUzWDRfDxA2tnokBoYheF9ajhtQXgoJU-pny8bEY8RntevDl5wS4TOm4XNSSk277WH_yItc63YZOTBD-wwxm8UMNG9aEkdydaZLyZS-SHsa5O44hWDeiJz4UJpDFDClBWR7eL8pTlDKxt7dyoK0xDfeOVDQz4o5yjk9wFsgjsNWUn18R7VeGNvX60B1_T4mO0XQbS45w9QPCceH8qLZesggvCHeYSSXyLiwImn8LVWJ95B02Bh1nkkjXD6J8BmU_-hADmRsSAp6P5PdTJzNSOjnszd3gXXwu3HVZhqUP9Fkvpa4-pkN1mMLnWK0fypE_k6MJ0ROxpwv0X1wcDpw' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T13:25:40.685Z] [SEVERE] http://localhost:81/ui/static/js/main.e175331f.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTY2MzcsImlhdCI6MTc2MDAxNjMzNywiYXV0aF90aW1lIjoxNzYwMDE2MzM2LCJqdGkiOiJiNWMwMDA1ZS1hNmNjLTRkMGQtYWZiNC1lMzZkZTU5ZGFlNzUiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.MgDdUzWDRfDxA2tnokBoYheF9ajhtQXgoJU-pny8bEY8RntevDl5wS4TOm4XNSSk277WH_yItc63YZOTBD-wwxm8UMNG9aEkdydaZLyZS-SHsa5O44hWDeiJz4UJpDFDClBWR7eL8pTlDKxt7dyoK0xDfeOVDQz4o5yjk9wFsgjsNWUn18R7VeGNvX60B1_T4mO0XQbS45w9QPCceH8qLZesggvCHeYSSXyLiwImn8LVWJ95B02Bh1nkkjXD6J8BmU_-hADmRsSAp6P5PdTJzNSOjnszd3gXXwu3HVZhqUP9Fkvpa4-pkN1mMLnWK0fypE_k6MJ0ROxpwv0X1wcDpw' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T13:25:42.690Z] [SEVERE] http://localhost:81/ui/static/js/main.e175331f.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTY2MzcsImlhdCI6MTc2MDAxNjMzNywiYXV0aF90aW1lIjoxNzYwMDE2MzM2LCJqdGkiOiJiNWMwMDA1ZS1hNmNjLTRkMGQtYWZiNC1lMzZkZTU5ZGFlNzUiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.MgDdUzWDRfDxA2tnokBoYheF9ajhtQXgoJU-pny8bEY8RntevDl5wS4TOm4XNSSk277WH_yItc63YZOTBD-wwxm8UMNG9aEkdydaZLyZS-SHsa5O44hWDeiJz4UJpDFDClBWR7eL8pTlDKxt7dyoK0xDfeOVDQz4o5yjk9wFsgjsNWUn18R7VeGNvX60B1_T4mO0XQbS45w9QPCceH8qLZesggvCHeYSSXyLiwImn8LVWJ95B02Bh1nkkjXD6J8BmU_-hADmRsSAp6P5PdTJzNSOjnszd3gXXwu3HVZhqUP9Fkvpa4-pkN1mMLnWK0fypE_k6MJ0ROxpwv0X1wcDpw' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T13:25:44.828Z] [SEVERE] http://localhost:81/ui/static/js/main.e175331f.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTY2MzcsImlhdCI6MTc2MDAxNjMzNywiYXV0aF90aW1lIjoxNzYwMDE2MzM2LCJqdGkiOiJiNWMwMDA1ZS1hNmNjLTRkMGQtYWZiNC1lMzZkZTU5ZGFlNzUiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.MgDdUzWDRfDxA2tnokBoYheF9ajhtQXgoJU-pny8bEY8RntevDl5wS4TOm4XNSSk277WH_yItc63YZOTBD-wwxm8UMNG9aEkdydaZLyZS-SHsa5O44hWDeiJz4UJpDFDClBWR7eL8pTlDKxt7dyoK0xDfeOVDQz4o5yjk9wFsgjsNWUn18R7VeGNvX60B1_T4mO0XQbS45w9QPCceH8qLZesggvCHeYSSXyLiwImn8LVWJ95B02Bh1nkkjXD6J8BmU_-hADmRsSAp6P5PdTJzNSOjnszd3gXXwu3HVZhqUP9Fkvpa4-pkN1mMLnWK0fypE_k6MJ0ROxpwv0X1wcDpw' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T13:25:46.741Z] [SEVERE] http://localhost:81/ui/static/js/main.e175331f.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTY2MzcsImlhdCI6MTc2MDAxNjMzNywiYXV0aF90aW1lIjoxNzYwMDE2MzM2LCJqdGkiOiJiNWMwMDA1ZS1hNmNjLTRkMGQtYWZiNC1lMzZkZTU5ZGFlNzUiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.MgDdUzWDRfDxA2tnokBoYheF9ajhtQXgoJU-pny8bEY8RntevDl5wS4TOm4XNSSk277WH_yItc63YZOTBD-wwxm8UMNG9aEkdydaZLyZS-SHsa5O44hWDeiJz4UJpDFDClBWR7eL8pTlDKxt7dyoK0xDfeOVDQz4o5yjk9wFsgjsNWUn18R7VeGNvX60B1_T4mO0XQbS45w9QPCceH8qLZesggvCHeYSSXyLiwImn8LVWJ95B02Bh1nkkjXD6J8BmU_-hADmRsSAp6P5PdTJzNSOjnszd3gXXwu3HVZhqUP9Fkvpa4-pkN1mMLnWK0fypE_k6MJ0ROxpwv0X1wcDpw' failed: Establishing a tunnel via proxy server failed.
