[2025-10-09T13:31:48.358Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=e5651fc3-0f07-45c5-b9f2-cbdc6da7c4fc&response_mode=fragment&response_type=code&scope=openid&nonce=374be872-07a1-40dd-b1c0-690fd786597a - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/g3pwm/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-10-09T13:31:48.359Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=e5651fc3-0f07-45c5-b9f2-cbdc6da7c4fc&response_mode=fragment&response_type=code&scope=openid&nonce=374be872-07a1-40dd-b1c0-690fd786597a - Autofocus processing was blocked because a document already has a focused element.

[2025-10-09T13:31:50.372Z] [SEVERE] http://localhost:81/ui/static/js/main.e175331f.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTcwMDksImlhdCI6MTc2MDAxNjcwOSwiYXV0aF90aW1lIjoxNzYwMDE2NzA4LCJqdGkiOiJlM2ZhODg5NC03ZjYxLTQ3NzItYWYwZC04MjZjNzkzYTA5N2IiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.G7V6fYL8utYZ9hUeU9tAKWKKUC8nBIPvp7PV8YZBMPrBNr8yh9KH2vqyvcPc4z4RVRTc4JbgZ2Au4Xw20XlIsk9dN0r1ZO3KiZvE3RBCsHz41x1FQPVyGMV9aWlQBuT7rVuxER3mjs2rtp4zen0xvsdptPFgTbIpsnsKIteOS3huEhjpbCfsY3VipLsGsjnv1KsRw0Gd5ARold1XS-Z8j2pFqosKbL-ihZEc65q5ijMIvvl1-zoKZ6Fkr_2gzKlThgIBouWBqEHg-QgBLs57It1OWxt8xIkcte6NzgApcwvOqlxk2wl0KW1L_1UOH0zqBaOwjkZymwgMOCV1Xd16Ng' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T13:31:52.375Z] [SEVERE] http://localhost:81/ui/static/js/main.e175331f.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTcwMDksImlhdCI6MTc2MDAxNjcwOSwiYXV0aF90aW1lIjoxNzYwMDE2NzA4LCJqdGkiOiJlM2ZhODg5NC03ZjYxLTQ3NzItYWYwZC04MjZjNzkzYTA5N2IiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.G7V6fYL8utYZ9hUeU9tAKWKKUC8nBIPvp7PV8YZBMPrBNr8yh9KH2vqyvcPc4z4RVRTc4JbgZ2Au4Xw20XlIsk9dN0r1ZO3KiZvE3RBCsHz41x1FQPVyGMV9aWlQBuT7rVuxER3mjs2rtp4zen0xvsdptPFgTbIpsnsKIteOS3huEhjpbCfsY3VipLsGsjnv1KsRw0Gd5ARold1XS-Z8j2pFqosKbL-ihZEc65q5ijMIvvl1-zoKZ6Fkr_2gzKlThgIBouWBqEHg-QgBLs57It1OWxt8xIkcte6NzgApcwvOqlxk2wl0KW1L_1UOH0zqBaOwjkZymwgMOCV1Xd16Ng' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T13:31:54.680Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=b54efd88-5cfc-494d-8a84-5df62ef65fba&response_mode=fragment&response_type=code&scope=openid&nonce=2ac432e4-b44c-45dc-8af2-c6d24d5f0290 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/g3pwm/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-10-09T13:31:57.378Z] [SEVERE] http://localhost:81/ui/static/js/main.e175331f.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTcwMTYsImlhdCI6MTc2MDAxNjcxNiwiYXV0aF90aW1lIjoxNzYwMDE2NzE1LCJqdGkiOiJiMmYzMGQ0NC00MDQ5LTQ1YjMtYmVhZC1hZDVmYjQwY2M2YzUiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Y7FcUF_n4o54mJfL8ySkpVOhsqMa88KhT6oNRc9AXbEW7jIq28AZja1hC66F1ZJVqkTpx1wVqZCGTvVxT-eEE1V_13THcHToQ-y5Bez3waPNW4bnPxT8yqxim86M0hTtHwO3og_fkdVhTGsD4Tz0ZKW-T5rZKyje-97QneD1bK6ASZa_mcLS6zUiiIL5YE_Q-qBZC_ACgB3T-6Xvl-i2OuussnviUGipp6rUEADQ14drCaR7vdYvhVf1i3H2AmZVyM1o3JK-wJbfK_BDWSA5dEYq69a-dq2LNkBR7Y1zjD8YcE2jthqqWyLwVdDxohae9lMrM1b5m_9DWDTJKlKLLg' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T13:31:59.384Z] [SEVERE] http://localhost:81/ui/static/js/main.e175331f.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTcwMTYsImlhdCI6MTc2MDAxNjcxNiwiYXV0aF90aW1lIjoxNzYwMDE2NzE1LCJqdGkiOiJiMmYzMGQ0NC00MDQ5LTQ1YjMtYmVhZC1hZDVmYjQwY2M2YzUiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Y7FcUF_n4o54mJfL8ySkpVOhsqMa88KhT6oNRc9AXbEW7jIq28AZja1hC66F1ZJVqkTpx1wVqZCGTvVxT-eEE1V_13THcHToQ-y5Bez3waPNW4bnPxT8yqxim86M0hTtHwO3og_fkdVhTGsD4Tz0ZKW-T5rZKyje-97QneD1bK6ASZa_mcLS6zUiiIL5YE_Q-qBZC_ACgB3T-6Xvl-i2OuussnviUGipp6rUEADQ14drCaR7vdYvhVf1i3H2AmZVyM1o3JK-wJbfK_BDWSA5dEYq69a-dq2LNkBR7Y1zjD8YcE2jthqqWyLwVdDxohae9lMrM1b5m_9DWDTJKlKLLg' failed: Establishing a tunnel via proxy server failed.
