[2025-10-09T13:24:24.409Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=38178810-8ecc-4820-b62c-9cec8a37dbf8&response_mode=fragment&response_type=code&scope=openid&nonce=3c9d38d5-0a71-41a1-b22e-77f83efc96e9 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/g3pwm/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-10-09T13:24:24.411Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=38178810-8ecc-4820-b62c-9cec8a37dbf8&response_mode=fragment&response_type=code&scope=openid&nonce=3c9d38d5-0a71-41a1-b22e-77f83efc96e9 - Autofocus processing was blocked because a document already has a focused element.

[2025-10-09T13:24:26.485Z] [SEVERE] http://localhost:81/ui/static/js/main.e175331f.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTY1NjUsImlhdCI6MTc2MDAxNjI2NSwiYXV0aF90aW1lIjoxNzYwMDE2MjY0LCJqdGkiOiJlNzg2MWYwNi0xOGMzLTQ5MjctYTM3Mi0yMTNhZTE2ZTNhNTciLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.dlSxqjPD0mq8ryZUbqheG_bPYHjwap6luvVVOwDlKO23b4Gs-pe2SY_kuDr-M34NLuH2296Yhmf4cn4VzuNEh6nqmyzF9TiXzpRuiCeonTpEYoaipcPzB35SqibQx9iXoazjwgHWBVNznC683WKqAJxxEtG1DIoRWnanKGAr4zQBKR9cFNesI1ADB1dLr_Knm2ZmzrG-Bq12SNou0jQezj9Tpe0StZR_DEJRA47TUZBrPJwhVgVPoygdKLcQGb-rLadQ282Iaeb4b9rgBySFqzOOuPO5-9m4oN2_uFm3E5aSM2aKd-f7SiygZ8pndG3oncwC2s-ESRWCMFKDH_epZg' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T13:24:28.491Z] [SEVERE] http://localhost:81/ui/static/js/main.e175331f.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTY1NjUsImlhdCI6MTc2MDAxNjI2NSwiYXV0aF90aW1lIjoxNzYwMDE2MjY0LCJqdGkiOiJlNzg2MWYwNi0xOGMzLTQ5MjctYTM3Mi0yMTNhZTE2ZTNhNTciLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.dlSxqjPD0mq8ryZUbqheG_bPYHjwap6luvVVOwDlKO23b4Gs-pe2SY_kuDr-M34NLuH2296Yhmf4cn4VzuNEh6nqmyzF9TiXzpRuiCeonTpEYoaipcPzB35SqibQx9iXoazjwgHWBVNznC683WKqAJxxEtG1DIoRWnanKGAr4zQBKR9cFNesI1ADB1dLr_Knm2ZmzrG-Bq12SNou0jQezj9Tpe0StZR_DEJRA47TUZBrPJwhVgVPoygdKLcQGb-rLadQ282Iaeb4b9rgBySFqzOOuPO5-9m4oN2_uFm3E5aSM2aKd-f7SiygZ8pndG3oncwC2s-ESRWCMFKDH_epZg' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T13:24:30.502Z] [SEVERE] http://localhost:81/ui/static/js/main.e175331f.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTY1NjUsImlhdCI6MTc2MDAxNjI2NSwiYXV0aF90aW1lIjoxNzYwMDE2MjY0LCJqdGkiOiJlNzg2MWYwNi0xOGMzLTQ5MjctYTM3Mi0yMTNhZTE2ZTNhNTciLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.dlSxqjPD0mq8ryZUbqheG_bPYHjwap6luvVVOwDlKO23b4Gs-pe2SY_kuDr-M34NLuH2296Yhmf4cn4VzuNEh6nqmyzF9TiXzpRuiCeonTpEYoaipcPzB35SqibQx9iXoazjwgHWBVNznC683WKqAJxxEtG1DIoRWnanKGAr4zQBKR9cFNesI1ADB1dLr_Knm2ZmzrG-Bq12SNou0jQezj9Tpe0StZR_DEJRA47TUZBrPJwhVgVPoygdKLcQGb-rLadQ282Iaeb4b9rgBySFqzOOuPO5-9m4oN2_uFm3E5aSM2aKd-f7SiygZ8pndG3oncwC2s-ESRWCMFKDH_epZg' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T13:24:32.557Z] [SEVERE] http://localhost:81/ui/static/js/main.e175331f.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTY1NjUsImlhdCI6MTc2MDAxNjI2NSwiYXV0aF90aW1lIjoxNzYwMDE2MjY0LCJqdGkiOiJlNzg2MWYwNi0xOGMzLTQ5MjctYTM3Mi0yMTNhZTE2ZTNhNTciLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.dlSxqjPD0mq8ryZUbqheG_bPYHjwap6luvVVOwDlKO23b4Gs-pe2SY_kuDr-M34NLuH2296Yhmf4cn4VzuNEh6nqmyzF9TiXzpRuiCeonTpEYoaipcPzB35SqibQx9iXoazjwgHWBVNznC683WKqAJxxEtG1DIoRWnanKGAr4zQBKR9cFNesI1ADB1dLr_Knm2ZmzrG-Bq12SNou0jQezj9Tpe0StZR_DEJRA47TUZBrPJwhVgVPoygdKLcQGb-rLadQ282Iaeb4b9rgBySFqzOOuPO5-9m4oN2_uFm3E5aSM2aKd-f7SiygZ8pndG3oncwC2s-ESRWCMFKDH_epZg' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T13:24:34.671Z] [SEVERE] http://localhost:81/ui/static/js/main.e175331f.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMTY1NjUsImlhdCI6MTc2MDAxNjI2NSwiYXV0aF90aW1lIjoxNzYwMDE2MjY0LCJqdGkiOiJlNzg2MWYwNi0xOGMzLTQ5MjctYTM3Mi0yMTNhZTE2ZTNhNTciLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.dlSxqjPD0mq8ryZUbqheG_bPYHjwap6luvVVOwDlKO23b4Gs-pe2SY_kuDr-M34NLuH2296Yhmf4cn4VzuNEh6nqmyzF9TiXzpRuiCeonTpEYoaipcPzB35SqibQx9iXoazjwgHWBVNznC683WKqAJxxEtG1DIoRWnanKGAr4zQBKR9cFNesI1ADB1dLr_Knm2ZmzrG-Bq12SNou0jQezj9Tpe0StZR_DEJRA47TUZBrPJwhVgVPoygdKLcQGb-rLadQ282Iaeb4b9rgBySFqzOOuPO5-9m4oN2_uFm3E5aSM2aKd-f7SiygZ8pndG3oncwC2s-ESRWCMFKDH_epZg' failed: Establishing a tunnel via proxy server failed.
