[2025-10-09T14:39:21.837Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=503ae836-7e10-4272-9c82-7c9c6dd29385&response_mode=fragment&response_type=code&scope=openid&nonce=7d8ca83c-b228-4c85-8759-5564a0e92948 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/g3pwm/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-10-09T14:39:21.838Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=503ae836-7e10-4272-9c82-7c9c6dd29385&response_mode=fragment&response_type=code&scope=openid&nonce=7d8ca83c-b228-4c85-8759-5564a0e92948 - Autofocus processing was blocked because a document already has a focused element.

[2025-10-09T14:39:24.431Z] [SEVERE] http://localhost:81/ui/static/js/main.ae42c2fb.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMjEwNjMsImlhdCI6MTc2MDAyMDc2MywiYXV0aF90aW1lIjoxNzYwMDIwNzYyLCJqdGkiOiJkZTczYTkyMy0wMWY4LTQxNzUtYTM1MC1mMmI0OTliODAxZDEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.fHQyESamHw5klGgAyLBphCiLLnZh28cKnY7BELoUFGOgCnX5pjaXcpFwktFmsvq9KUel8X_Wop-kFoZI-aY_xKCLbw3rNobRJ4fAA6-4iSjz0tZDb71PhcDLgSK7NwolihJR-RZyNVbW8KwQ2kBZkxapvx8ADdB7uwQqfYtR6Q8BTbv6az5fNNBr-pCk0tot6Uoc9JhEBtHBQjr24VAQ-GGQx6K4xFr4zrhGmiRkqpe5uWGEYBennj-sWuyuI6eot5UJJli3GfPknmxUSHLqQjSbUQa2KqgKE1JRozDcSEDVhOLFbVUVM5D6Wu6Q0BGSeWs86YZZMhrHtdFNe0lapA' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T14:39:26.438Z] [SEVERE] http://localhost:81/ui/static/js/main.ae42c2fb.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMjEwNjMsImlhdCI6MTc2MDAyMDc2MywiYXV0aF90aW1lIjoxNzYwMDIwNzYyLCJqdGkiOiJkZTczYTkyMy0wMWY4LTQxNzUtYTM1MC1mMmI0OTliODAxZDEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.fHQyESamHw5klGgAyLBphCiLLnZh28cKnY7BELoUFGOgCnX5pjaXcpFwktFmsvq9KUel8X_Wop-kFoZI-aY_xKCLbw3rNobRJ4fAA6-4iSjz0tZDb71PhcDLgSK7NwolihJR-RZyNVbW8KwQ2kBZkxapvx8ADdB7uwQqfYtR6Q8BTbv6az5fNNBr-pCk0tot6Uoc9JhEBtHBQjr24VAQ-GGQx6K4xFr4zrhGmiRkqpe5uWGEYBennj-sWuyuI6eot5UJJli3GfPknmxUSHLqQjSbUQa2KqgKE1JRozDcSEDVhOLFbVUVM5D6Wu6Q0BGSeWs86YZZMhrHtdFNe0lapA' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T14:39:28.620Z] [SEVERE] http://localhost:81/ui/static/js/main.ae42c2fb.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMjEwNjMsImlhdCI6MTc2MDAyMDc2MywiYXV0aF90aW1lIjoxNzYwMDIwNzYyLCJqdGkiOiJkZTczYTkyMy0wMWY4LTQxNzUtYTM1MC1mMmI0OTliODAxZDEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.fHQyESamHw5klGgAyLBphCiLLnZh28cKnY7BELoUFGOgCnX5pjaXcpFwktFmsvq9KUel8X_Wop-kFoZI-aY_xKCLbw3rNobRJ4fAA6-4iSjz0tZDb71PhcDLgSK7NwolihJR-RZyNVbW8KwQ2kBZkxapvx8ADdB7uwQqfYtR6Q8BTbv6az5fNNBr-pCk0tot6Uoc9JhEBtHBQjr24VAQ-GGQx6K4xFr4zrhGmiRkqpe5uWGEYBennj-sWuyuI6eot5UJJli3GfPknmxUSHLqQjSbUQa2KqgKE1JRozDcSEDVhOLFbVUVM5D6Wu6Q0BGSeWs86YZZMhrHtdFNe0lapA' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T14:39:30.575Z] [SEVERE] http://localhost:81/ui/static/js/main.ae42c2fb.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMjEwNjMsImlhdCI6MTc2MDAyMDc2MywiYXV0aF90aW1lIjoxNzYwMDIwNzYyLCJqdGkiOiJkZTczYTkyMy0wMWY4LTQxNzUtYTM1MC1mMmI0OTliODAxZDEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.fHQyESamHw5klGgAyLBphCiLLnZh28cKnY7BELoUFGOgCnX5pjaXcpFwktFmsvq9KUel8X_Wop-kFoZI-aY_xKCLbw3rNobRJ4fAA6-4iSjz0tZDb71PhcDLgSK7NwolihJR-RZyNVbW8KwQ2kBZkxapvx8ADdB7uwQqfYtR6Q8BTbv6az5fNNBr-pCk0tot6Uoc9JhEBtHBQjr24VAQ-GGQx6K4xFr4zrhGmiRkqpe5uWGEYBennj-sWuyuI6eot5UJJli3GfPknmxUSHLqQjSbUQa2KqgKE1JRozDcSEDVhOLFbVUVM5D6Wu6Q0BGSeWs86YZZMhrHtdFNe0lapA' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T14:39:32.474Z] [SEVERE] http://localhost:81/ui/static/js/main.ae42c2fb.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMjEwNjMsImlhdCI6MTc2MDAyMDc2MywiYXV0aF90aW1lIjoxNzYwMDIwNzYyLCJqdGkiOiJkZTczYTkyMy0wMWY4LTQxNzUtYTM1MC1mMmI0OTliODAxZDEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.fHQyESamHw5klGgAyLBphCiLLnZh28cKnY7BELoUFGOgCnX5pjaXcpFwktFmsvq9KUel8X_Wop-kFoZI-aY_xKCLbw3rNobRJ4fAA6-4iSjz0tZDb71PhcDLgSK7NwolihJR-RZyNVbW8KwQ2kBZkxapvx8ADdB7uwQqfYtR6Q8BTbv6az5fNNBr-pCk0tot6Uoc9JhEBtHBQjr24VAQ-GGQx6K4xFr4zrhGmiRkqpe5uWGEYBennj-sWuyuI6eot5UJJli3GfPknmxUSHLqQjSbUQa2KqgKE1JRozDcSEDVhOLFbVUVM5D6Wu6Q0BGSeWs86YZZMhrHtdFNe0lapA' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T14:39:34.578Z] [SEVERE] http://localhost:81/ui/static/js/main.ae42c2fb.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMjEwNjMsImlhdCI6MTc2MDAyMDc2MywiYXV0aF90aW1lIjoxNzYwMDIwNzYyLCJqdGkiOiJkZTczYTkyMy0wMWY4LTQxNzUtYTM1MC1mMmI0OTliODAxZDEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.fHQyESamHw5klGgAyLBphCiLLnZh28cKnY7BELoUFGOgCnX5pjaXcpFwktFmsvq9KUel8X_Wop-kFoZI-aY_xKCLbw3rNobRJ4fAA6-4iSjz0tZDb71PhcDLgSK7NwolihJR-RZyNVbW8KwQ2kBZkxapvx8ADdB7uwQqfYtR6Q8BTbv6az5fNNBr-pCk0tot6Uoc9JhEBtHBQjr24VAQ-GGQx6K4xFr4zrhGmiRkqpe5uWGEYBennj-sWuyuI6eot5UJJli3GfPknmxUSHLqQjSbUQa2KqgKE1JRozDcSEDVhOLFbVUVM5D6Wu6Q0BGSeWs86YZZMhrHtdFNe0lapA' failed: Establishing a tunnel via proxy server failed.

