[2025-10-09T14:38:19.246Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=d9070773-6894-4ff9-8a16-2312aef4efe1&response_mode=fragment&response_type=code&scope=openid&nonce=ceb05aa9-4b05-4232-8086-37ae782bdd09 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/g3pwm/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-10-09T14:38:19.247Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=d9070773-6894-4ff9-8a16-2312aef4efe1&response_mode=fragment&response_type=code&scope=openid&nonce=ceb05aa9-4b05-4232-8086-37ae782bdd09 - Autofocus processing was blocked because a document already has a focused element.

[2025-10-09T14:38:21.725Z] [SEVERE] http://localhost:81/ui/static/js/main.ae42c2fb.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMjEwMDAsImlhdCI6MTc2MDAyMDcwMCwiYXV0aF90aW1lIjoxNzYwMDIwNjk5LCJqdGkiOiJjNTUwNzEzOC1mNGVmLTQyMjItYWQ4NS0wMDJkMGNjM2U0YzIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.b3pEesB5gPCXSyUokJf-O_LWQ212VvH58rXe4icKU5f2x3agSLrYcd4j-JyHENr1ijf9D7oo9O6RObDGyeRZfFQZodKpheRi2Ge_gDr17GLtwdZ7J92NBSzJPthbcZubq6m1jpQEY1Ub4oD2Ji_Z2D_OQbva3glLujlZ2_3yRryxs57zSjUWInLjyAWcgC1eTIz9woUust1nYqBl-dk7zLNzvSZLWxHuf09bg0A-FdASF77m_PwQZSSvC8DFuzzs26gu0Qo3heTT7E4xsxeQODghFjLLj6bG36Kk6SHJ1Bm402HBec0warenOKoOOZCBjrXvcBHOIO7KK-8Tg4gWxw' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T14:38:23.728Z] [SEVERE] http://localhost:81/ui/static/js/main.ae42c2fb.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMjEwMDAsImlhdCI6MTc2MDAyMDcwMCwiYXV0aF90aW1lIjoxNzYwMDIwNjk5LCJqdGkiOiJjNTUwNzEzOC1mNGVmLTQyMjItYWQ4NS0wMDJkMGNjM2U0YzIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.b3pEesB5gPCXSyUokJf-O_LWQ212VvH58rXe4icKU5f2x3agSLrYcd4j-JyHENr1ijf9D7oo9O6RObDGyeRZfFQZodKpheRi2Ge_gDr17GLtwdZ7J92NBSzJPthbcZubq6m1jpQEY1Ub4oD2Ji_Z2D_OQbva3glLujlZ2_3yRryxs57zSjUWInLjyAWcgC1eTIz9woUust1nYqBl-dk7zLNzvSZLWxHuf09bg0A-FdASF77m_PwQZSSvC8DFuzzs26gu0Qo3heTT7E4xsxeQODghFjLLj6bG36Kk6SHJ1Bm402HBec0warenOKoOOZCBjrXvcBHOIO7KK-8Tg4gWxw' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T14:38:25.923Z] [SEVERE] http://localhost:81/ui/static/js/main.ae42c2fb.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMjEwMDAsImlhdCI6MTc2MDAyMDcwMCwiYXV0aF90aW1lIjoxNzYwMDIwNjk5LCJqdGkiOiJjNTUwNzEzOC1mNGVmLTQyMjItYWQ4NS0wMDJkMGNjM2U0YzIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.b3pEesB5gPCXSyUokJf-O_LWQ212VvH58rXe4icKU5f2x3agSLrYcd4j-JyHENr1ijf9D7oo9O6RObDGyeRZfFQZodKpheRi2Ge_gDr17GLtwdZ7J92NBSzJPthbcZubq6m1jpQEY1Ub4oD2Ji_Z2D_OQbva3glLujlZ2_3yRryxs57zSjUWInLjyAWcgC1eTIz9woUust1nYqBl-dk7zLNzvSZLWxHuf09bg0A-FdASF77m_PwQZSSvC8DFuzzs26gu0Qo3heTT7E4xsxeQODghFjLLj6bG36Kk6SHJ1Bm402HBec0warenOKoOOZCBjrXvcBHOIO7KK-8Tg4gWxw' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T14:38:27.766Z] [SEVERE] http://localhost:81/ui/static/js/main.ae42c2fb.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMjEwMDAsImlhdCI6MTc2MDAyMDcwMCwiYXV0aF90aW1lIjoxNzYwMDIwNjk5LCJqdGkiOiJjNTUwNzEzOC1mNGVmLTQyMjItYWQ4NS0wMDJkMGNjM2U0YzIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.b3pEesB5gPCXSyUokJf-O_LWQ212VvH58rXe4icKU5f2x3agSLrYcd4j-JyHENr1ijf9D7oo9O6RObDGyeRZfFQZodKpheRi2Ge_gDr17GLtwdZ7J92NBSzJPthbcZubq6m1jpQEY1Ub4oD2Ji_Z2D_OQbva3glLujlZ2_3yRryxs57zSjUWInLjyAWcgC1eTIz9woUust1nYqBl-dk7zLNzvSZLWxHuf09bg0A-FdASF77m_PwQZSSvC8DFuzzs26gu0Qo3heTT7E4xsxeQODghFjLLj6bG36Kk6SHJ1Bm402HBec0warenOKoOOZCBjrXvcBHOIO7KK-8Tg4gWxw' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T14:38:29.808Z] [SEVERE] http://localhost:81/ui/static/js/main.ae42c2fb.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMjEwMDAsImlhdCI6MTc2MDAyMDcwMCwiYXV0aF90aW1lIjoxNzYwMDIwNjk5LCJqdGkiOiJjNTUwNzEzOC1mNGVmLTQyMjItYWQ4NS0wMDJkMGNjM2U0YzIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.b3pEesB5gPCXSyUokJf-O_LWQ212VvH58rXe4icKU5f2x3agSLrYcd4j-JyHENr1ijf9D7oo9O6RObDGyeRZfFQZodKpheRi2Ge_gDr17GLtwdZ7J92NBSzJPthbcZubq6m1jpQEY1Ub4oD2Ji_Z2D_OQbva3glLujlZ2_3yRryxs57zSjUWInLjyAWcgC1eTIz9woUust1nYqBl-dk7zLNzvSZLWxHuf09bg0A-FdASF77m_PwQZSSvC8DFuzzs26gu0Qo3heTT7E4xsxeQODghFjLLj6bG36Kk6SHJ1Bm402HBec0warenOKoOOZCBjrXvcBHOIO7KK-8Tg4gWxw' failed: Establishing a tunnel via proxy server failed.
