[2025-10-09T14:37:33.716Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=7bfae4ad-88d6-41f3-b296-a18063fdab24&response_mode=fragment&response_type=code&scope=openid&nonce=46ab05bb-5083-4184-9762-c88b73a55508 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/g3pwm/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-10-09T14:37:33.717Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=7bfae4ad-88d6-41f3-b296-a18063fdab24&response_mode=fragment&response_type=code&scope=openid&nonce=46ab05bb-5083-4184-9762-c88b73a55508 - Autofocus processing was blocked because a document already has a focused element.

[2025-10-09T14:37:36.297Z] [SEVERE] http://localhost:81/ui/static/js/main.ae42c2fb.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMjA5NTUsImlhdCI6MTc2MDAyMDY1NSwiYXV0aF90aW1lIjoxNzYwMDIwNjU0LCJqdGkiOiIyNTY1YTE5ZS04MDA0LTQ4ZTEtODhhOC0zMWY4NGY5YTI0ZTIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.mTlFNcwztnqFJ-ZXDUPiT_sY5oIgoKqgxkiyeCIeM-Ts-MTnRIoZOFursIakHyQG0Z7W8mrnilZYIQe8BrVYLO_4BrWFoG4OfgrHCLu_dzxSwbzUEnVW8EFS4zTTOJoLFreHklCyJEj6zN2f8YtGhLn5VotzTtm-qxyjkn2wcDpx3JGKe8OcsA7sggZjFB5e0vttK8ACyk3Pc8p7HtMUlhsx8vboznT8oARWNgNveYBkXdYT7OXAxY_3PAMVv9trL6PCVJkOpdiY_QF1B831T0wIm_TJyRa6bHDDkDcvWU6U3UPz21grBp0X7Y4NNCzLGiy-AhAds_d2ZEzhuyiCaA' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T14:37:38.306Z] [SEVERE] http://localhost:81/ui/static/js/main.ae42c2fb.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMjA5NTUsImlhdCI6MTc2MDAyMDY1NSwiYXV0aF90aW1lIjoxNzYwMDIwNjU0LCJqdGkiOiIyNTY1YTE5ZS04MDA0LTQ4ZTEtODhhOC0zMWY4NGY5YTI0ZTIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.mTlFNcwztnqFJ-ZXDUPiT_sY5oIgoKqgxkiyeCIeM-Ts-MTnRIoZOFursIakHyQG0Z7W8mrnilZYIQe8BrVYLO_4BrWFoG4OfgrHCLu_dzxSwbzUEnVW8EFS4zTTOJoLFreHklCyJEj6zN2f8YtGhLn5VotzTtm-qxyjkn2wcDpx3JGKe8OcsA7sggZjFB5e0vttK8ACyk3Pc8p7HtMUlhsx8vboznT8oARWNgNveYBkXdYT7OXAxY_3PAMVv9trL6PCVJkOpdiY_QF1B831T0wIm_TJyRa6bHDDkDcvWU6U3UPz21grBp0X7Y4NNCzLGiy-AhAds_d2ZEzhuyiCaA' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T14:37:40.353Z] [SEVERE] http://localhost:81/ui/static/js/main.ae42c2fb.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMjA5NTUsImlhdCI6MTc2MDAyMDY1NSwiYXV0aF90aW1lIjoxNzYwMDIwNjU0LCJqdGkiOiIyNTY1YTE5ZS04MDA0LTQ4ZTEtODhhOC0zMWY4NGY5YTI0ZTIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.mTlFNcwztnqFJ-ZXDUPiT_sY5oIgoKqgxkiyeCIeM-Ts-MTnRIoZOFursIakHyQG0Z7W8mrnilZYIQe8BrVYLO_4BrWFoG4OfgrHCLu_dzxSwbzUEnVW8EFS4zTTOJoLFreHklCyJEj6zN2f8YtGhLn5VotzTtm-qxyjkn2wcDpx3JGKe8OcsA7sggZjFB5e0vttK8ACyk3Pc8p7HtMUlhsx8vboznT8oARWNgNveYBkXdYT7OXAxY_3PAMVv9trL6PCVJkOpdiY_QF1B831T0wIm_TJyRa6bHDDkDcvWU6U3UPz21grBp0X7Y4NNCzLGiy-AhAds_d2ZEzhuyiCaA' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T14:37:42.335Z] [SEVERE] http://localhost:81/ui/static/js/main.ae42c2fb.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMjA5NTUsImlhdCI6MTc2MDAyMDY1NSwiYXV0aF90aW1lIjoxNzYwMDIwNjU0LCJqdGkiOiIyNTY1YTE5ZS04MDA0LTQ4ZTEtODhhOC0zMWY4NGY5YTI0ZTIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.mTlFNcwztnqFJ-ZXDUPiT_sY5oIgoKqgxkiyeCIeM-Ts-MTnRIoZOFursIakHyQG0Z7W8mrnilZYIQe8BrVYLO_4BrWFoG4OfgrHCLu_dzxSwbzUEnVW8EFS4zTTOJoLFreHklCyJEj6zN2f8YtGhLn5VotzTtm-qxyjkn2wcDpx3JGKe8OcsA7sggZjFB5e0vttK8ACyk3Pc8p7HtMUlhsx8vboznT8oARWNgNveYBkXdYT7OXAxY_3PAMVv9trL6PCVJkOpdiY_QF1B831T0wIm_TJyRa6bHDDkDcvWU6U3UPz21grBp0X7Y4NNCzLGiy-AhAds_d2ZEzhuyiCaA' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T14:37:44.334Z] [SEVERE] http://localhost:81/ui/static/js/main.ae42c2fb.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMjA5NTUsImlhdCI6MTc2MDAyMDY1NSwiYXV0aF90aW1lIjoxNzYwMDIwNjU0LCJqdGkiOiIyNTY1YTE5ZS04MDA0LTQ4ZTEtODhhOC0zMWY4NGY5YTI0ZTIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.mTlFNcwztnqFJ-ZXDUPiT_sY5oIgoKqgxkiyeCIeM-Ts-MTnRIoZOFursIakHyQG0Z7W8mrnilZYIQe8BrVYLO_4BrWFoG4OfgrHCLu_dzxSwbzUEnVW8EFS4zTTOJoLFreHklCyJEj6zN2f8YtGhLn5VotzTtm-qxyjkn2wcDpx3JGKe8OcsA7sggZjFB5e0vttK8ACyk3Pc8p7HtMUlhsx8vboznT8oARWNgNveYBkXdYT7OXAxY_3PAMVv9trL6PCVJkOpdiY_QF1B831T0wIm_TJyRa6bHDDkDcvWU6U3UPz21grBp0X7Y4NNCzLGiy-AhAds_d2ZEzhuyiCaA' failed: Establishing a tunnel via proxy server failed.
