[2025-10-09T14:29:37.715Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=2ea009a8-4f82-43fe-9339-ccd91a8d4101&response_mode=fragment&response_type=code&scope=openid&nonce=d0cd3da6-742a-45a0-9ac3-ed09cc71e8b1 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/g3pwm/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-10-09T14:29:37.717Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=2ea009a8-4f82-43fe-9339-ccd91a8d4101&response_mode=fragment&response_type=code&scope=openid&nonce=d0cd3da6-742a-45a0-9ac3-ed09cc71e8b1 - Autofocus processing was blocked because a document already has a focused element.

[2025-10-09T14:29:40.463Z] [SEVERE] http://localhost:81/ui/static/js/main.ae42c2fb.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMjA0NzksImlhdCI6MTc2MDAyMDE3OSwiYXV0aF90aW1lIjoxNzYwMDIwMTc4LCJqdGkiOiIwNzMxNDY1Mi0wMDE1LTQzOTItODE1MS04ZjdjYzFiY2JlMzEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Gda1wLtWfRI4PHzCBLhSj5bMe-NPCnbz-Rx9ECmaciy7nkoPZ40Rm_Aj0FvlvXdXzBrmLcp2avZ29wyT9T5YF7bZi1GOzy-O7P046-_mtcdg-B0eoB08hlzv6sfcXBaI44nxI1eY184_OmC2YeXIjo8CgE8z01AP03kKF-TnnIJu69XzdPD23Tfd4ndXsH3oaD58cQoS4mBOMFCZuPFnEXmErqbU7mdn9kKRSGR7Kojt-VUwWe5BBxK4Ien2EC0Fh1bcfJc8m2d6bnLUZUdIKCqYNcSKOHMv5VZI7j6VsbJ5AAe4m6a6LQMtBYwrx84RswD5JJ09t-FtxiD0FcfbXg' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T14:29:42.483Z] [SEVERE] http://localhost:81/ui/static/js/main.ae42c2fb.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMjA0NzksImlhdCI6MTc2MDAyMDE3OSwiYXV0aF90aW1lIjoxNzYwMDIwMTc4LCJqdGkiOiIwNzMxNDY1Mi0wMDE1LTQzOTItODE1MS04ZjdjYzFiY2JlMzEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Gda1wLtWfRI4PHzCBLhSj5bMe-NPCnbz-Rx9ECmaciy7nkoPZ40Rm_Aj0FvlvXdXzBrmLcp2avZ29wyT9T5YF7bZi1GOzy-O7P046-_mtcdg-B0eoB08hlzv6sfcXBaI44nxI1eY184_OmC2YeXIjo8CgE8z01AP03kKF-TnnIJu69XzdPD23Tfd4ndXsH3oaD58cQoS4mBOMFCZuPFnEXmErqbU7mdn9kKRSGR7Kojt-VUwWe5BBxK4Ien2EC0Fh1bcfJc8m2d6bnLUZUdIKCqYNcSKOHMv5VZI7j6VsbJ5AAe4m6a6LQMtBYwrx84RswD5JJ09t-FtxiD0FcfbXg' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T14:29:44.488Z] [SEVERE] http://localhost:81/ui/static/js/main.ae42c2fb.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMjA0NzksImlhdCI6MTc2MDAyMDE3OSwiYXV0aF90aW1lIjoxNzYwMDIwMTc4LCJqdGkiOiIwNzMxNDY1Mi0wMDE1LTQzOTItODE1MS04ZjdjYzFiY2JlMzEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Gda1wLtWfRI4PHzCBLhSj5bMe-NPCnbz-Rx9ECmaciy7nkoPZ40Rm_Aj0FvlvXdXzBrmLcp2avZ29wyT9T5YF7bZi1GOzy-O7P046-_mtcdg-B0eoB08hlzv6sfcXBaI44nxI1eY184_OmC2YeXIjo8CgE8z01AP03kKF-TnnIJu69XzdPD23Tfd4ndXsH3oaD58cQoS4mBOMFCZuPFnEXmErqbU7mdn9kKRSGR7Kojt-VUwWe5BBxK4Ien2EC0Fh1bcfJc8m2d6bnLUZUdIKCqYNcSKOHMv5VZI7j6VsbJ5AAe4m6a6LQMtBYwrx84RswD5JJ09t-FtxiD0FcfbXg' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T14:29:46.655Z] [SEVERE] http://localhost:81/ui/static/js/main.ae42c2fb.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMjA0NzksImlhdCI6MTc2MDAyMDE3OSwiYXV0aF90aW1lIjoxNzYwMDIwMTc4LCJqdGkiOiIwNzMxNDY1Mi0wMDE1LTQzOTItODE1MS04ZjdjYzFiY2JlMzEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Gda1wLtWfRI4PHzCBLhSj5bMe-NPCnbz-Rx9ECmaciy7nkoPZ40Rm_Aj0FvlvXdXzBrmLcp2avZ29wyT9T5YF7bZi1GOzy-O7P046-_mtcdg-B0eoB08hlzv6sfcXBaI44nxI1eY184_OmC2YeXIjo8CgE8z01AP03kKF-TnnIJu69XzdPD23Tfd4ndXsH3oaD58cQoS4mBOMFCZuPFnEXmErqbU7mdn9kKRSGR7Kojt-VUwWe5BBxK4Ien2EC0Fh1bcfJc8m2d6bnLUZUdIKCqYNcSKOHMv5VZI7j6VsbJ5AAe4m6a6LQMtBYwrx84RswD5JJ09t-FtxiD0FcfbXg' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T14:29:48.556Z] [SEVERE] http://localhost:81/ui/static/js/main.ae42c2fb.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMjA0NzksImlhdCI6MTc2MDAyMDE3OSwiYXV0aF90aW1lIjoxNzYwMDIwMTc4LCJqdGkiOiIwNzMxNDY1Mi0wMDE1LTQzOTItODE1MS04ZjdjYzFiY2JlMzEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Gda1wLtWfRI4PHzCBLhSj5bMe-NPCnbz-Rx9ECmaciy7nkoPZ40Rm_Aj0FvlvXdXzBrmLcp2avZ29wyT9T5YF7bZi1GOzy-O7P046-_mtcdg-B0eoB08hlzv6sfcXBaI44nxI1eY184_OmC2YeXIjo8CgE8z01AP03kKF-TnnIJu69XzdPD23Tfd4ndXsH3oaD58cQoS4mBOMFCZuPFnEXmErqbU7mdn9kKRSGR7Kojt-VUwWe5BBxK4Ien2EC0Fh1bcfJc8m2d6bnLUZUdIKCqYNcSKOHMv5VZI7j6VsbJ5AAe4m6a6LQMtBYwrx84RswD5JJ09t-FtxiD0FcfbXg' failed: Establishing a tunnel via proxy server failed.
