[2025-10-09T14:29:57.345Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=071ac787-2b58-4a8d-9635-eff00809203c&response_mode=fragment&response_type=code&scope=openid&nonce=70ca188d-d405-4222-9fd8-f603c6a0cbf1 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/g3pwm/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-10-09T14:29:57.346Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=071ac787-2b58-4a8d-9635-eff00809203c&response_mode=fragment&response_type=code&scope=openid&nonce=70ca188d-d405-4222-9fd8-f603c6a0cbf1 - Autofocus processing was blocked because a document already has a focused element.

[2025-10-09T14:30:00.059Z] [SEVERE] http://localhost:81/ui/static/js/main.ae42c2fb.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMjA0OTgsImlhdCI6MTc2MDAyMDE5OCwiYXV0aF90aW1lIjoxNzYwMDIwMTk3LCJqdGkiOiI0ZThlNmY4Mi03OGQxLTQxYTMtODNiZi03MjczNWQxMTJiNDYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.JY5o5tkWnxKZUVAIn3fKlmipC45g1-wwPMkwZr907Z31i08FbKaUMsbxxbTC5geCODjn3c1Faq3fDGkFgzFJEReNNa7gTLIJR7lrGafBL3rzIHPZJdSxNp-QpjI9VtU6YNpjUMh9oOA9lPiOpoUADCC39Q5kui6xbfOPqpZsIq87DIDsB7yryRHKPo7hU6s1ie_KJ7tzc-vHZ-_UiJ_vMljAy6N9mLBNpt6pQ4ZE5SNAAXjofGfxbSdDKjJSQa1eroDUxGPw4yR5ENdDTdiXbN3y_4ILsmhfg8L-dncDB3AD04_2GP-LHyXIV6Wu0OE-dIheC_NrjtMXJJA1RbicUQ' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T14:30:02.057Z] [SEVERE] http://localhost:81/ui/static/js/main.ae42c2fb.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMjA0OTgsImlhdCI6MTc2MDAyMDE5OCwiYXV0aF90aW1lIjoxNzYwMDIwMTk3LCJqdGkiOiI0ZThlNmY4Mi03OGQxLTQxYTMtODNiZi03MjczNWQxMTJiNDYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.JY5o5tkWnxKZUVAIn3fKlmipC45g1-wwPMkwZr907Z31i08FbKaUMsbxxbTC5geCODjn3c1Faq3fDGkFgzFJEReNNa7gTLIJR7lrGafBL3rzIHPZJdSxNp-QpjI9VtU6YNpjUMh9oOA9lPiOpoUADCC39Q5kui6xbfOPqpZsIq87DIDsB7yryRHKPo7hU6s1ie_KJ7tzc-vHZ-_UiJ_vMljAy6N9mLBNpt6pQ4ZE5SNAAXjofGfxbSdDKjJSQa1eroDUxGPw4yR5ENdDTdiXbN3y_4ILsmhfg8L-dncDB3AD04_2GP-LHyXIV6Wu0OE-dIheC_NrjtMXJJA1RbicUQ' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T14:30:04.140Z] [SEVERE] http://localhost:81/ui/static/js/main.ae42c2fb.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMjA0OTgsImlhdCI6MTc2MDAyMDE5OCwiYXV0aF90aW1lIjoxNzYwMDIwMTk3LCJqdGkiOiI0ZThlNmY4Mi03OGQxLTQxYTMtODNiZi03MjczNWQxMTJiNDYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.JY5o5tkWnxKZUVAIn3fKlmipC45g1-wwPMkwZr907Z31i08FbKaUMsbxxbTC5geCODjn3c1Faq3fDGkFgzFJEReNNa7gTLIJR7lrGafBL3rzIHPZJdSxNp-QpjI9VtU6YNpjUMh9oOA9lPiOpoUADCC39Q5kui6xbfOPqpZsIq87DIDsB7yryRHKPo7hU6s1ie_KJ7tzc-vHZ-_UiJ_vMljAy6N9mLBNpt6pQ4ZE5SNAAXjofGfxbSdDKjJSQa1eroDUxGPw4yR5ENdDTdiXbN3y_4ILsmhfg8L-dncDB3AD04_2GP-LHyXIV6Wu0OE-dIheC_NrjtMXJJA1RbicUQ' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T14:30:06.164Z] [SEVERE] http://localhost:81/ui/static/js/main.ae42c2fb.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMjA0OTgsImlhdCI6MTc2MDAyMDE5OCwiYXV0aF90aW1lIjoxNzYwMDIwMTk3LCJqdGkiOiI0ZThlNmY4Mi03OGQxLTQxYTMtODNiZi03MjczNWQxMTJiNDYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.JY5o5tkWnxKZUVAIn3fKlmipC45g1-wwPMkwZr907Z31i08FbKaUMsbxxbTC5geCODjn3c1Faq3fDGkFgzFJEReNNa7gTLIJR7lrGafBL3rzIHPZJdSxNp-QpjI9VtU6YNpjUMh9oOA9lPiOpoUADCC39Q5kui6xbfOPqpZsIq87DIDsB7yryRHKPo7hU6s1ie_KJ7tzc-vHZ-_UiJ_vMljAy6N9mLBNpt6pQ4ZE5SNAAXjofGfxbSdDKjJSQa1eroDUxGPw4yR5ENdDTdiXbN3y_4ILsmhfg8L-dncDB3AD04_2GP-LHyXIV6Wu0OE-dIheC_NrjtMXJJA1RbicUQ' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T14:30:08.276Z] [SEVERE] http://localhost:81/ui/static/js/main.ae42c2fb.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMjA0OTgsImlhdCI6MTc2MDAyMDE5OCwiYXV0aF90aW1lIjoxNzYwMDIwMTk3LCJqdGkiOiI0ZThlNmY4Mi03OGQxLTQxYTMtODNiZi03MjczNWQxMTJiNDYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.JY5o5tkWnxKZUVAIn3fKlmipC45g1-wwPMkwZr907Z31i08FbKaUMsbxxbTC5geCODjn3c1Faq3fDGkFgzFJEReNNa7gTLIJR7lrGafBL3rzIHPZJdSxNp-QpjI9VtU6YNpjUMh9oOA9lPiOpoUADCC39Q5kui6xbfOPqpZsIq87DIDsB7yryRHKPo7hU6s1ie_KJ7tzc-vHZ-_UiJ_vMljAy6N9mLBNpt6pQ4ZE5SNAAXjofGfxbSdDKjJSQa1eroDUxGPw4yR5ENdDTdiXbN3y_4ILsmhfg8L-dncDB3AD04_2GP-LHyXIV6Wu0OE-dIheC_NrjtMXJJA1RbicUQ' failed: Establishing a tunnel via proxy server failed.
