[2025-10-09T14:35:23.681Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=e4cacc0c-803a-437d-9584-96e6c4f36432&response_mode=fragment&response_type=code&scope=openid&nonce=5945707e-1f00-43f4-8b6d-5dacfcbbc5de - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/g3pwm/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-10-09T14:35:23.682Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=e4cacc0c-803a-437d-9584-96e6c4f36432&response_mode=fragment&response_type=code&scope=openid&nonce=5945707e-1f00-43f4-8b6d-5dacfcbbc5de - Autofocus processing was blocked because a document already has a focused element.

[2025-10-09T14:35:26.187Z] [SEVERE] http://localhost:81/ui/static/js/main.ae42c2fb.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMjA4MjUsImlhdCI6MTc2MDAyMDUyNSwiYXV0aF90aW1lIjoxNzYwMDIwNTIzLCJqdGkiOiJmNzhhNjAxMy1mODM5LTRkZDYtODY4Yy0yMTZhYmQ5MzE0OWQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.VCrFdPgksVn9LrujWcYpQLw1LQz535w2IPzwwk7iPTxUfOxl1EzW6uaHn8qyzXBjvPFCEmIQXHM_T5QCeM150yY3e9be-qmzKJ06Bc3T-EBwahyChv7SQBFlmL8aKo5N6YYGgHxVoTwaKZg6TxKHEPoFvS_OfrUA5y2W3lpV-WhCgWw6Z458ktLFVMLmxNY1BUudQNYp79S_NeK6nZ1qjI6AlcgLU1HfkqUPS0c8jMDFRoBLcsRG46zd0iRVEMJTw91ThI7tgw_UjQEBoHLb407kwkYqGLd-6a-90PI_fKHvTfwIOlmQr5801ognj0znDMmI-9abklJZVNdtCkryyg' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T14:35:28.191Z] [SEVERE] http://localhost:81/ui/static/js/main.ae42c2fb.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMjA4MjUsImlhdCI6MTc2MDAyMDUyNSwiYXV0aF90aW1lIjoxNzYwMDIwNTIzLCJqdGkiOiJmNzhhNjAxMy1mODM5LTRkZDYtODY4Yy0yMTZhYmQ5MzE0OWQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.VCrFdPgksVn9LrujWcYpQLw1LQz535w2IPzwwk7iPTxUfOxl1EzW6uaHn8qyzXBjvPFCEmIQXHM_T5QCeM150yY3e9be-qmzKJ06Bc3T-EBwahyChv7SQBFlmL8aKo5N6YYGgHxVoTwaKZg6TxKHEPoFvS_OfrUA5y2W3lpV-WhCgWw6Z458ktLFVMLmxNY1BUudQNYp79S_NeK6nZ1qjI6AlcgLU1HfkqUPS0c8jMDFRoBLcsRG46zd0iRVEMJTw91ThI7tgw_UjQEBoHLb407kwkYqGLd-6a-90PI_fKHvTfwIOlmQr5801ognj0znDMmI-9abklJZVNdtCkryyg' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T14:35:30.340Z] [SEVERE] http://localhost:81/ui/static/js/main.ae42c2fb.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMjA4MjUsImlhdCI6MTc2MDAyMDUyNSwiYXV0aF90aW1lIjoxNzYwMDIwNTIzLCJqdGkiOiJmNzhhNjAxMy1mODM5LTRkZDYtODY4Yy0yMTZhYmQ5MzE0OWQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.VCrFdPgksVn9LrujWcYpQLw1LQz535w2IPzwwk7iPTxUfOxl1EzW6uaHn8qyzXBjvPFCEmIQXHM_T5QCeM150yY3e9be-qmzKJ06Bc3T-EBwahyChv7SQBFlmL8aKo5N6YYGgHxVoTwaKZg6TxKHEPoFvS_OfrUA5y2W3lpV-WhCgWw6Z458ktLFVMLmxNY1BUudQNYp79S_NeK6nZ1qjI6AlcgLU1HfkqUPS0c8jMDFRoBLcsRG46zd0iRVEMJTw91ThI7tgw_UjQEBoHLb407kwkYqGLd-6a-90PI_fKHvTfwIOlmQr5801ognj0znDMmI-9abklJZVNdtCkryyg' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T14:35:32.336Z] [SEVERE] http://localhost:81/ui/static/js/main.ae42c2fb.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMjA4MjUsImlhdCI6MTc2MDAyMDUyNSwiYXV0aF90aW1lIjoxNzYwMDIwNTIzLCJqdGkiOiJmNzhhNjAxMy1mODM5LTRkZDYtODY4Yy0yMTZhYmQ5MzE0OWQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.VCrFdPgksVn9LrujWcYpQLw1LQz535w2IPzwwk7iPTxUfOxl1EzW6uaHn8qyzXBjvPFCEmIQXHM_T5QCeM150yY3e9be-qmzKJ06Bc3T-EBwahyChv7SQBFlmL8aKo5N6YYGgHxVoTwaKZg6TxKHEPoFvS_OfrUA5y2W3lpV-WhCgWw6Z458ktLFVMLmxNY1BUudQNYp79S_NeK6nZ1qjI6AlcgLU1HfkqUPS0c8jMDFRoBLcsRG46zd0iRVEMJTw91ThI7tgw_UjQEBoHLb407kwkYqGLd-6a-90PI_fKHvTfwIOlmQr5801ognj0znDMmI-9abklJZVNdtCkryyg' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T14:35:34.364Z] [SEVERE] http://localhost:81/ui/static/js/main.ae42c2fb.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMjA4MjUsImlhdCI6MTc2MDAyMDUyNSwiYXV0aF90aW1lIjoxNzYwMDIwNTIzLCJqdGkiOiJmNzhhNjAxMy1mODM5LTRkZDYtODY4Yy0yMTZhYmQ5MzE0OWQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.VCrFdPgksVn9LrujWcYpQLw1LQz535w2IPzwwk7iPTxUfOxl1EzW6uaHn8qyzXBjvPFCEmIQXHM_T5QCeM150yY3e9be-qmzKJ06Bc3T-EBwahyChv7SQBFlmL8aKo5N6YYGgHxVoTwaKZg6TxKHEPoFvS_OfrUA5y2W3lpV-WhCgWw6Z458ktLFVMLmxNY1BUudQNYp79S_NeK6nZ1qjI6AlcgLU1HfkqUPS0c8jMDFRoBLcsRG46zd0iRVEMJTw91ThI7tgw_UjQEBoHLb407kwkYqGLd-6a-90PI_fKHvTfwIOlmQr5801ognj0znDMmI-9abklJZVNdtCkryyg' failed: Establishing a tunnel via proxy server failed.
