[2025-10-09T14:34:34.981Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=780a46e0-3ad5-4c44-8f69-09c4b7ad9d2e&response_mode=fragment&response_type=code&scope=openid&nonce=9aa533f8-1e59-4f32-9996-7d28fb402e74 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/g3pwm/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-10-09T14:34:34.983Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=780a46e0-3ad5-4c44-8f69-09c4b7ad9d2e&response_mode=fragment&response_type=code&scope=openid&nonce=9aa533f8-1e59-4f32-9996-7d28fb402e74 - Autofocus processing was blocked because a document already has a focused element.

[2025-10-09T14:34:37.749Z] [SEVERE] http://localhost:81/ui/static/js/main.ae42c2fb.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMjA3NzYsImlhdCI6MTc2MDAyMDQ3NiwiYXV0aF90aW1lIjoxNzYwMDIwNDc1LCJqdGkiOiI0YTI3ODFkNS1jZTEyLTQ1YjUtOTY1OC1kNjRiZDI1NWM2OGQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.lLcUwgFBT1s2VkupG2g5DQ2DsdX99q98tv4UznYsZA_WFDyGfmp5EZBnus1F9CIbn8ed9mY0XlcFo-TOOi8OAioorfEOPWMdPxGBkyrvK8ri3OwY3p6PRY5IhLaUHSclueiiAJySNbcMet13cX_9Nd8quhDrBWL2DdyQQIh77hhvxV5gGw3ttm13vOTRtiKG4botHky2-8285rQaJyed01w_d-TgZFOSlnEkzdv338k7NSeJN2wj9zj5T7AZHvlaq7h_H-x8MZJNFZzZPQDA9Py57O6UBY8A8xJM8zci0n_TVTuDqyoay3VPijJnwQSOJQ24nS2GcwzfshKNorWVLQ' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T14:34:39.759Z] [SEVERE] http://localhost:81/ui/static/js/main.ae42c2fb.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMjA3NzYsImlhdCI6MTc2MDAyMDQ3NiwiYXV0aF90aW1lIjoxNzYwMDIwNDc1LCJqdGkiOiI0YTI3ODFkNS1jZTEyLTQ1YjUtOTY1OC1kNjRiZDI1NWM2OGQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.lLcUwgFBT1s2VkupG2g5DQ2DsdX99q98tv4UznYsZA_WFDyGfmp5EZBnus1F9CIbn8ed9mY0XlcFo-TOOi8OAioorfEOPWMdPxGBkyrvK8ri3OwY3p6PRY5IhLaUHSclueiiAJySNbcMet13cX_9Nd8quhDrBWL2DdyQQIh77hhvxV5gGw3ttm13vOTRtiKG4botHky2-8285rQaJyed01w_d-TgZFOSlnEkzdv338k7NSeJN2wj9zj5T7AZHvlaq7h_H-x8MZJNFZzZPQDA9Py57O6UBY8A8xJM8zci0n_TVTuDqyoay3VPijJnwQSOJQ24nS2GcwzfshKNorWVLQ' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T14:34:41.769Z] [SEVERE] http://localhost:81/ui/static/js/main.ae42c2fb.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMjA3NzYsImlhdCI6MTc2MDAyMDQ3NiwiYXV0aF90aW1lIjoxNzYwMDIwNDc1LCJqdGkiOiI0YTI3ODFkNS1jZTEyLTQ1YjUtOTY1OC1kNjRiZDI1NWM2OGQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.lLcUwgFBT1s2VkupG2g5DQ2DsdX99q98tv4UznYsZA_WFDyGfmp5EZBnus1F9CIbn8ed9mY0XlcFo-TOOi8OAioorfEOPWMdPxGBkyrvK8ri3OwY3p6PRY5IhLaUHSclueiiAJySNbcMet13cX_9Nd8quhDrBWL2DdyQQIh77hhvxV5gGw3ttm13vOTRtiKG4botHky2-8285rQaJyed01w_d-TgZFOSlnEkzdv338k7NSeJN2wj9zj5T7AZHvlaq7h_H-x8MZJNFZzZPQDA9Py57O6UBY8A8xJM8zci0n_TVTuDqyoay3VPijJnwQSOJQ24nS2GcwzfshKNorWVLQ' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T14:34:43.817Z] [SEVERE] http://localhost:81/ui/static/js/main.ae42c2fb.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMjA3NzYsImlhdCI6MTc2MDAyMDQ3NiwiYXV0aF90aW1lIjoxNzYwMDIwNDc1LCJqdGkiOiI0YTI3ODFkNS1jZTEyLTQ1YjUtOTY1OC1kNjRiZDI1NWM2OGQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.lLcUwgFBT1s2VkupG2g5DQ2DsdX99q98tv4UznYsZA_WFDyGfmp5EZBnus1F9CIbn8ed9mY0XlcFo-TOOi8OAioorfEOPWMdPxGBkyrvK8ri3OwY3p6PRY5IhLaUHSclueiiAJySNbcMet13cX_9Nd8quhDrBWL2DdyQQIh77hhvxV5gGw3ttm13vOTRtiKG4botHky2-8285rQaJyed01w_d-TgZFOSlnEkzdv338k7NSeJN2wj9zj5T7AZHvlaq7h_H-x8MZJNFZzZPQDA9Py57O6UBY8A8xJM8zci0n_TVTuDqyoay3VPijJnwQSOJQ24nS2GcwzfshKNorWVLQ' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T14:34:45.924Z] [SEVERE] http://localhost:81/ui/static/js/main.ae42c2fb.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMjA3NzYsImlhdCI6MTc2MDAyMDQ3NiwiYXV0aF90aW1lIjoxNzYwMDIwNDc1LCJqdGkiOiI0YTI3ODFkNS1jZTEyLTQ1YjUtOTY1OC1kNjRiZDI1NWM2OGQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.lLcUwgFBT1s2VkupG2g5DQ2DsdX99q98tv4UznYsZA_WFDyGfmp5EZBnus1F9CIbn8ed9mY0XlcFo-TOOi8OAioorfEOPWMdPxGBkyrvK8ri3OwY3p6PRY5IhLaUHSclueiiAJySNbcMet13cX_9Nd8quhDrBWL2DdyQQIh77hhvxV5gGw3ttm13vOTRtiKG4botHky2-8285rQaJyed01w_d-TgZFOSlnEkzdv338k7NSeJN2wj9zj5T7AZHvlaq7h_H-x8MZJNFZzZPQDA9Py57O6UBY8A8xJM8zci0n_TVTuDqyoay3VPijJnwQSOJQ24nS2GcwzfshKNorWVLQ' failed: Establishing a tunnel via proxy server failed.
