[2025-10-09T14:41:12.949Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=87a58456-7aa4-4fa9-8fb5-133ab4bef0b2&response_mode=fragment&response_type=code&scope=openid&nonce=8779a9d3-05b7-4395-878b-8d4644490e77 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/g3pwm/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-10-09T14:41:12.949Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=87a58456-7aa4-4fa9-8fb5-133ab4bef0b2&response_mode=fragment&response_type=code&scope=openid&nonce=8779a9d3-05b7-4395-878b-8d4644490e77 - Autofocus processing was blocked because a document already has a focused element.

[2025-10-09T14:41:15.675Z] [SEVERE] http://localhost:81/ui/static/js/main.ae42c2fb.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMjExNzQsImlhdCI6MTc2MDAyMDg3NCwiYXV0aF90aW1lIjoxNzYwMDIwODczLCJqdGkiOiI3YjdmM2ViZS1lMmZkLTQxZDctOTUxNi1jNjk4Yzg5NmI3MzciLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.nGt4gahiBLKcnvgznas54pGdjbrjSjsZccTUwjag3aaiMalILAzNwUolX6MuKM4PNACTACkbAk9ACV3gtBobM0b6JSmTSCgDFyhNNv70NEUFJqFp3tGdnTx4H3oF_EHK0XFQBqwXjG-8YYTF0IxOD2nm-oNKgdGclZjk8PAbAI2Vsivy8WmoJrGVEQYLX0wfc0gMbIDZdPH9nxq52vTAw_IRXfHa7jLX9vFeStNGVE_JSLcSIV0Qy_9sxxX_01xEiKcUUcR2G-DRYT4H2oguDMxvDvdETSujFVYp6VzjBhB95K7qlm-OWLRNG83I2_CA1GsD4Plvw93hhk8XJG-KuQ' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T14:41:17.522Z] [SEVERE] http://localhost:81/ui/static/js/main.ae42c2fb.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMjExNzQsImlhdCI6MTc2MDAyMDg3NCwiYXV0aF90aW1lIjoxNzYwMDIwODczLCJqdGkiOiI3YjdmM2ViZS1lMmZkLTQxZDctOTUxNi1jNjk4Yzg5NmI3MzciLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.nGt4gahiBLKcnvgznas54pGdjbrjSjsZccTUwjag3aaiMalILAzNwUolX6MuKM4PNACTACkbAk9ACV3gtBobM0b6JSmTSCgDFyhNNv70NEUFJqFp3tGdnTx4H3oF_EHK0XFQBqwXjG-8YYTF0IxOD2nm-oNKgdGclZjk8PAbAI2Vsivy8WmoJrGVEQYLX0wfc0gMbIDZdPH9nxq52vTAw_IRXfHa7jLX9vFeStNGVE_JSLcSIV0Qy_9sxxX_01xEiKcUUcR2G-DRYT4H2oguDMxvDvdETSujFVYp6VzjBhB95K7qlm-OWLRNG83I2_CA1GsD4Plvw93hhk8XJG-KuQ' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T14:41:19.529Z] [SEVERE] http://localhost:81/ui/static/js/main.ae42c2fb.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMjExNzQsImlhdCI6MTc2MDAyMDg3NCwiYXV0aF90aW1lIjoxNzYwMDIwODczLCJqdGkiOiI3YjdmM2ViZS1lMmZkLTQxZDctOTUxNi1jNjk4Yzg5NmI3MzciLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.nGt4gahiBLKcnvgznas54pGdjbrjSjsZccTUwjag3aaiMalILAzNwUolX6MuKM4PNACTACkbAk9ACV3gtBobM0b6JSmTSCgDFyhNNv70NEUFJqFp3tGdnTx4H3oF_EHK0XFQBqwXjG-8YYTF0IxOD2nm-oNKgdGclZjk8PAbAI2Vsivy8WmoJrGVEQYLX0wfc0gMbIDZdPH9nxq52vTAw_IRXfHa7jLX9vFeStNGVE_JSLcSIV0Qy_9sxxX_01xEiKcUUcR2G-DRYT4H2oguDMxvDvdETSujFVYp6VzjBhB95K7qlm-OWLRNG83I2_CA1GsD4Plvw93hhk8XJG-KuQ' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T14:41:21.537Z] [SEVERE] http://localhost:81/ui/static/js/main.ae42c2fb.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMjExNzQsImlhdCI6MTc2MDAyMDg3NCwiYXV0aF90aW1lIjoxNzYwMDIwODczLCJqdGkiOiI3YjdmM2ViZS1lMmZkLTQxZDctOTUxNi1jNjk4Yzg5NmI3MzciLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.nGt4gahiBLKcnvgznas54pGdjbrjSjsZccTUwjag3aaiMalILAzNwUolX6MuKM4PNACTACkbAk9ACV3gtBobM0b6JSmTSCgDFyhNNv70NEUFJqFp3tGdnTx4H3oF_EHK0XFQBqwXjG-8YYTF0IxOD2nm-oNKgdGclZjk8PAbAI2Vsivy8WmoJrGVEQYLX0wfc0gMbIDZdPH9nxq52vTAw_IRXfHa7jLX9vFeStNGVE_JSLcSIV0Qy_9sxxX_01xEiKcUUcR2G-DRYT4H2oguDMxvDvdETSujFVYp6VzjBhB95K7qlm-OWLRNG83I2_CA1GsD4Plvw93hhk8XJG-KuQ' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T14:41:23.664Z] [SEVERE] http://localhost:81/ui/static/js/main.ae42c2fb.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMjExNzQsImlhdCI6MTc2MDAyMDg3NCwiYXV0aF90aW1lIjoxNzYwMDIwODczLCJqdGkiOiI3YjdmM2ViZS1lMmZkLTQxZDctOTUxNi1jNjk4Yzg5NmI3MzciLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.nGt4gahiBLKcnvgznas54pGdjbrjSjsZccTUwjag3aaiMalILAzNwUolX6MuKM4PNACTACkbAk9ACV3gtBobM0b6JSmTSCgDFyhNNv70NEUFJqFp3tGdnTx4H3oF_EHK0XFQBqwXjG-8YYTF0IxOD2nm-oNKgdGclZjk8PAbAI2Vsivy8WmoJrGVEQYLX0wfc0gMbIDZdPH9nxq52vTAw_IRXfHa7jLX9vFeStNGVE_JSLcSIV0Qy_9sxxX_01xEiKcUUcR2G-DRYT4H2oguDMxvDvdETSujFVYp6VzjBhB95K7qlm-OWLRNG83I2_CA1GsD4Plvw93hhk8XJG-KuQ' failed: Establishing a tunnel via proxy server failed.
