[2025-10-09T14:40:34.197Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=60b9c15a-8c6c-4cb8-b91b-2edeb2b08e37&response_mode=fragment&response_type=code&scope=openid&nonce=1bcc25e7-f8ab-4325-85c7-5b1fd71fc064 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/g3pwm/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-10-09T14:40:34.198Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=60b9c15a-8c6c-4cb8-b91b-2edeb2b08e37&response_mode=fragment&response_type=code&scope=openid&nonce=1bcc25e7-f8ab-4325-85c7-5b1fd71fc064 - Autofocus processing was blocked because a document already has a focused element.

[2025-10-09T14:40:36.488Z] [SEVERE] http://localhost:81/ui/static/js/main.ae42c2fb.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMjExMzUsImlhdCI6MTc2MDAyMDgzNSwiYXV0aF90aW1lIjoxNzYwMDIwODM0LCJqdGkiOiIzYjc4ZmQ1MC1mNGI0LTQ3MmEtYjk3ZS0zMzQyYTQ2YTg1MGYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.XnxBNuWRHT-dN5dsiosoSeeLM8W_hxYXCxf9doRuXy3lDUZvcqCVu9oGTCu56NzCqz_JQNt27IqHX-8fpMRAQLtBnvTjMntCCoCxprvKbfVsbwv4NJYWSfSdXvcwoW0HDvnJfFkHUR4n34-hGQHT4fq9FDfeCxLfeqNR_JEN3sh9sB2iQqVyWibOJWzZADo52XVJlGwaExDGmbXs8N1gjP1nDnuUBhpbLkq07_YAvTsbfqwIOfAC0fLUDoCkz4SnAyOBSu7qPf4Ny4hAEAM-xxy5puMCcvOGXHwhdVoULUdnRbV4BbcCqUlAkd2R6ywwWr06rfIT6dSdpYfrAfP7lg' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T14:40:38.496Z] [SEVERE] http://localhost:81/ui/static/js/main.ae42c2fb.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMjExMzUsImlhdCI6MTc2MDAyMDgzNSwiYXV0aF90aW1lIjoxNzYwMDIwODM0LCJqdGkiOiIzYjc4ZmQ1MC1mNGI0LTQ3MmEtYjk3ZS0zMzQyYTQ2YTg1MGYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.XnxBNuWRHT-dN5dsiosoSeeLM8W_hxYXCxf9doRuXy3lDUZvcqCVu9oGTCu56NzCqz_JQNt27IqHX-8fpMRAQLtBnvTjMntCCoCxprvKbfVsbwv4NJYWSfSdXvcwoW0HDvnJfFkHUR4n34-hGQHT4fq9FDfeCxLfeqNR_JEN3sh9sB2iQqVyWibOJWzZADo52XVJlGwaExDGmbXs8N1gjP1nDnuUBhpbLkq07_YAvTsbfqwIOfAC0fLUDoCkz4SnAyOBSu7qPf4Ny4hAEAM-xxy5puMCcvOGXHwhdVoULUdnRbV4BbcCqUlAkd2R6ywwWr06rfIT6dSdpYfrAfP7lg' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T14:40:40.518Z] [SEVERE] http://localhost:81/ui/static/js/main.ae42c2fb.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMjExMzUsImlhdCI6MTc2MDAyMDgzNSwiYXV0aF90aW1lIjoxNzYwMDIwODM0LCJqdGkiOiIzYjc4ZmQ1MC1mNGI0LTQ3MmEtYjk3ZS0zMzQyYTQ2YTg1MGYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.XnxBNuWRHT-dN5dsiosoSeeLM8W_hxYXCxf9doRuXy3lDUZvcqCVu9oGTCu56NzCqz_JQNt27IqHX-8fpMRAQLtBnvTjMntCCoCxprvKbfVsbwv4NJYWSfSdXvcwoW0HDvnJfFkHUR4n34-hGQHT4fq9FDfeCxLfeqNR_JEN3sh9sB2iQqVyWibOJWzZADo52XVJlGwaExDGmbXs8N1gjP1nDnuUBhpbLkq07_YAvTsbfqwIOfAC0fLUDoCkz4SnAyOBSu7qPf4Ny4hAEAM-xxy5puMCcvOGXHwhdVoULUdnRbV4BbcCqUlAkd2R6ywwWr06rfIT6dSdpYfrAfP7lg' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T14:40:42.684Z] [SEVERE] http://localhost:81/ui/static/js/main.ae42c2fb.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMjExMzUsImlhdCI6MTc2MDAyMDgzNSwiYXV0aF90aW1lIjoxNzYwMDIwODM0LCJqdGkiOiIzYjc4ZmQ1MC1mNGI0LTQ3MmEtYjk3ZS0zMzQyYTQ2YTg1MGYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.XnxBNuWRHT-dN5dsiosoSeeLM8W_hxYXCxf9doRuXy3lDUZvcqCVu9oGTCu56NzCqz_JQNt27IqHX-8fpMRAQLtBnvTjMntCCoCxprvKbfVsbwv4NJYWSfSdXvcwoW0HDvnJfFkHUR4n34-hGQHT4fq9FDfeCxLfeqNR_JEN3sh9sB2iQqVyWibOJWzZADo52XVJlGwaExDGmbXs8N1gjP1nDnuUBhpbLkq07_YAvTsbfqwIOfAC0fLUDoCkz4SnAyOBSu7qPf4Ny4hAEAM-xxy5puMCcvOGXHwhdVoULUdnRbV4BbcCqUlAkd2R6ywwWr06rfIT6dSdpYfrAfP7lg' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T14:40:44.608Z] [SEVERE] http://localhost:81/ui/static/js/main.ae42c2fb.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMjExMzUsImlhdCI6MTc2MDAyMDgzNSwiYXV0aF90aW1lIjoxNzYwMDIwODM0LCJqdGkiOiIzYjc4ZmQ1MC1mNGI0LTQ3MmEtYjk3ZS0zMzQyYTQ2YTg1MGYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.XnxBNuWRHT-dN5dsiosoSeeLM8W_hxYXCxf9doRuXy3lDUZvcqCVu9oGTCu56NzCqz_JQNt27IqHX-8fpMRAQLtBnvTjMntCCoCxprvKbfVsbwv4NJYWSfSdXvcwoW0HDvnJfFkHUR4n34-hGQHT4fq9FDfeCxLfeqNR_JEN3sh9sB2iQqVyWibOJWzZADo52XVJlGwaExDGmbXs8N1gjP1nDnuUBhpbLkq07_YAvTsbfqwIOfAC0fLUDoCkz4SnAyOBSu7qPf4Ny4hAEAM-xxy5puMCcvOGXHwhdVoULUdnRbV4BbcCqUlAkd2R6ywwWr06rfIT6dSdpYfrAfP7lg' failed: Establishing a tunnel via proxy server failed.
