[2025-10-09T14:37:51.972Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=266f968e-78c4-43b5-8ecd-c7c50d3e6888&response_mode=fragment&response_type=code&scope=openid&nonce=51c48d0b-fdf6-4a37-85cb-9746efe44e68 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/g3pwm/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-10-09T14:37:51.973Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=266f968e-78c4-43b5-8ecd-c7c50d3e6888&response_mode=fragment&response_type=code&scope=openid&nonce=51c48d0b-fdf6-4a37-85cb-9746efe44e68 - Autofocus processing was blocked because a document already has a focused element.

[2025-10-09T14:37:54.550Z] [SEVERE] http://localhost:81/ui/static/js/main.ae42c2fb.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMjA5NzMsImlhdCI6MTc2MDAyMDY3MywiYXV0aF90aW1lIjoxNzYwMDIwNjcyLCJqdGkiOiIwOTYwZjJmMC01ZWQ0LTQyMTItOWY2Yy1iNzhlOWVmOGE1OTUiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.NYGepoaW0rcpxkiluOyOJaOx14r3EGyHYX_1MjnIbKhMoKmevLKi9NItQ-5KtesPcN9AOVOAgHnP09tdUS2bNebX3IGJAUVEK1ctuSvMFHpsM3J0ZNSjF5W7Y-DgGODzEg1_R4Q-sCHCCOhBdZ9XnVRruDNNH-MHLxs5lib6Nx9P_tEfd20Swaom6cybwysUa1MR1snkqzryZN6BYfGbdWCx3TzswSi0xRugFXj7x5ki1IL8l_tjwTlVP9qYm0Ei90h_6-Pt2ta4Vf0zziSCksLabjH7tWI7k6xu0tWUYJHFyYHiXsXNCMpNw_thFPgC8g-0m_IreayoS-t77APtmg' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T14:37:56.560Z] [SEVERE] http://localhost:81/ui/static/js/main.ae42c2fb.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMjA5NzMsImlhdCI6MTc2MDAyMDY3MywiYXV0aF90aW1lIjoxNzYwMDIwNjcyLCJqdGkiOiIwOTYwZjJmMC01ZWQ0LTQyMTItOWY2Yy1iNzhlOWVmOGE1OTUiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.NYGepoaW0rcpxkiluOyOJaOx14r3EGyHYX_1MjnIbKhMoKmevLKi9NItQ-5KtesPcN9AOVOAgHnP09tdUS2bNebX3IGJAUVEK1ctuSvMFHpsM3J0ZNSjF5W7Y-DgGODzEg1_R4Q-sCHCCOhBdZ9XnVRruDNNH-MHLxs5lib6Nx9P_tEfd20Swaom6cybwysUa1MR1snkqzryZN6BYfGbdWCx3TzswSi0xRugFXj7x5ki1IL8l_tjwTlVP9qYm0Ei90h_6-Pt2ta4Vf0zziSCksLabjH7tWI7k6xu0tWUYJHFyYHiXsXNCMpNw_thFPgC8g-0m_IreayoS-t77APtmg' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T14:37:58.571Z] [SEVERE] http://localhost:81/ui/static/js/main.ae42c2fb.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMjA5NzMsImlhdCI6MTc2MDAyMDY3MywiYXV0aF90aW1lIjoxNzYwMDIwNjcyLCJqdGkiOiIwOTYwZjJmMC01ZWQ0LTQyMTItOWY2Yy1iNzhlOWVmOGE1OTUiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.NYGepoaW0rcpxkiluOyOJaOx14r3EGyHYX_1MjnIbKhMoKmevLKi9NItQ-5KtesPcN9AOVOAgHnP09tdUS2bNebX3IGJAUVEK1ctuSvMFHpsM3J0ZNSjF5W7Y-DgGODzEg1_R4Q-sCHCCOhBdZ9XnVRruDNNH-MHLxs5lib6Nx9P_tEfd20Swaom6cybwysUa1MR1snkqzryZN6BYfGbdWCx3TzswSi0xRugFXj7x5ki1IL8l_tjwTlVP9qYm0Ei90h_6-Pt2ta4Vf0zziSCksLabjH7tWI7k6xu0tWUYJHFyYHiXsXNCMpNw_thFPgC8g-0m_IreayoS-t77APtmg' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T14:38:00.594Z] [SEVERE] http://localhost:81/ui/static/js/main.ae42c2fb.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMjA5NzMsImlhdCI6MTc2MDAyMDY3MywiYXV0aF90aW1lIjoxNzYwMDIwNjcyLCJqdGkiOiIwOTYwZjJmMC01ZWQ0LTQyMTItOWY2Yy1iNzhlOWVmOGE1OTUiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.NYGepoaW0rcpxkiluOyOJaOx14r3EGyHYX_1MjnIbKhMoKmevLKi9NItQ-5KtesPcN9AOVOAgHnP09tdUS2bNebX3IGJAUVEK1ctuSvMFHpsM3J0ZNSjF5W7Y-DgGODzEg1_R4Q-sCHCCOhBdZ9XnVRruDNNH-MHLxs5lib6Nx9P_tEfd20Swaom6cybwysUa1MR1snkqzryZN6BYfGbdWCx3TzswSi0xRugFXj7x5ki1IL8l_tjwTlVP9qYm0Ei90h_6-Pt2ta4Vf0zziSCksLabjH7tWI7k6xu0tWUYJHFyYHiXsXNCMpNw_thFPgC8g-0m_IreayoS-t77APtmg' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T14:38:02.651Z] [SEVERE] http://localhost:81/ui/static/js/main.ae42c2fb.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMjA5NzMsImlhdCI6MTc2MDAyMDY3MywiYXV0aF90aW1lIjoxNzYwMDIwNjcyLCJqdGkiOiIwOTYwZjJmMC01ZWQ0LTQyMTItOWY2Yy1iNzhlOWVmOGE1OTUiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.NYGepoaW0rcpxkiluOyOJaOx14r3EGyHYX_1MjnIbKhMoKmevLKi9NItQ-5KtesPcN9AOVOAgHnP09tdUS2bNebX3IGJAUVEK1ctuSvMFHpsM3J0ZNSjF5W7Y-DgGODzEg1_R4Q-sCHCCOhBdZ9XnVRruDNNH-MHLxs5lib6Nx9P_tEfd20Swaom6cybwysUa1MR1snkqzryZN6BYfGbdWCx3TzswSi0xRugFXj7x5ki1IL8l_tjwTlVP9qYm0Ei90h_6-Pt2ta4Vf0zziSCksLabjH7tWI7k6xu0tWUYJHFyYHiXsXNCMpNw_thFPgC8g-0m_IreayoS-t77APtmg' failed: Establishing a tunnel via proxy server failed.
