[2025-10-09T14:31:31.771Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=b39e1d28-b955-4b65-9a47-ed844ea9e7ad&response_mode=fragment&response_type=code&scope=openid&nonce=fd9f9461-01f4-4653-9789-2ca0d3690e09 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/g3pwm/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-10-09T14:31:31.772Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=b39e1d28-b955-4b65-9a47-ed844ea9e7ad&response_mode=fragment&response_type=code&scope=openid&nonce=fd9f9461-01f4-4653-9789-2ca0d3690e09 - Autofocus processing was blocked because a document already has a focused element.

[2025-10-09T14:31:34.479Z] [SEVERE] http://localhost:81/ui/static/js/main.ae42c2fb.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMjA1OTMsImlhdCI6MTc2MDAyMDI5MywiYXV0aF90aW1lIjoxNzYwMDIwMjkyLCJqdGkiOiJlMWU3YzVjNS01ZWUyLTRiNjktODFhYi0yYzQ1OTZlYWYzZjUiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.kmlyGbCxYSA4Vw63cZE1vQ9MIFoCfrKrmC-bIe0Go5FXZSR33BU6E45s_9v5J7BAUikcf4s26DfXYgjdrrwaVVGLSmTnY2nUUPAK_GqRM6VC70yq5SrnQkP0xt2211eElQWGFkd73I902jYCEIsYao8to42PffumlyXyy2O1QB6wg6yBdbYsvoYtFhtbmOxnQ78DuWYeB9kh3PXpLEO12SWAkQJS0QgtgSKBLAa14jb6xfxCBVBiR6hwEHoEbt-0dA1OkQQKjrWAFt5wd2P3vMoHAcdS2yY4BWyvRoMZ-9xUVjdWAVQhHQ4R3AYiAg_S4lM_9sXOr8lUO0bdaFpQQw' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T14:31:36.487Z] [SEVERE] http://localhost:81/ui/static/js/main.ae42c2fb.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMjA1OTMsImlhdCI6MTc2MDAyMDI5MywiYXV0aF90aW1lIjoxNzYwMDIwMjkyLCJqdGkiOiJlMWU3YzVjNS01ZWUyLTRiNjktODFhYi0yYzQ1OTZlYWYzZjUiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.kmlyGbCxYSA4Vw63cZE1vQ9MIFoCfrKrmC-bIe0Go5FXZSR33BU6E45s_9v5J7BAUikcf4s26DfXYgjdrrwaVVGLSmTnY2nUUPAK_GqRM6VC70yq5SrnQkP0xt2211eElQWGFkd73I902jYCEIsYao8to42PffumlyXyy2O1QB6wg6yBdbYsvoYtFhtbmOxnQ78DuWYeB9kh3PXpLEO12SWAkQJS0QgtgSKBLAa14jb6xfxCBVBiR6hwEHoEbt-0dA1OkQQKjrWAFt5wd2P3vMoHAcdS2yY4BWyvRoMZ-9xUVjdWAVQhHQ4R3AYiAg_S4lM_9sXOr8lUO0bdaFpQQw' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T14:31:38.501Z] [SEVERE] http://localhost:81/ui/static/js/main.ae42c2fb.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMjA1OTMsImlhdCI6MTc2MDAyMDI5MywiYXV0aF90aW1lIjoxNzYwMDIwMjkyLCJqdGkiOiJlMWU3YzVjNS01ZWUyLTRiNjktODFhYi0yYzQ1OTZlYWYzZjUiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.kmlyGbCxYSA4Vw63cZE1vQ9MIFoCfrKrmC-bIe0Go5FXZSR33BU6E45s_9v5J7BAUikcf4s26DfXYgjdrrwaVVGLSmTnY2nUUPAK_GqRM6VC70yq5SrnQkP0xt2211eElQWGFkd73I902jYCEIsYao8to42PffumlyXyy2O1QB6wg6yBdbYsvoYtFhtbmOxnQ78DuWYeB9kh3PXpLEO12SWAkQJS0QgtgSKBLAa14jb6xfxCBVBiR6hwEHoEbt-0dA1OkQQKjrWAFt5wd2P3vMoHAcdS2yY4BWyvRoMZ-9xUVjdWAVQhHQ4R3AYiAg_S4lM_9sXOr8lUO0bdaFpQQw' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T14:31:40.515Z] [SEVERE] http://localhost:81/ui/static/js/main.ae42c2fb.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMjA1OTMsImlhdCI6MTc2MDAyMDI5MywiYXV0aF90aW1lIjoxNzYwMDIwMjkyLCJqdGkiOiJlMWU3YzVjNS01ZWUyLTRiNjktODFhYi0yYzQ1OTZlYWYzZjUiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.kmlyGbCxYSA4Vw63cZE1vQ9MIFoCfrKrmC-bIe0Go5FXZSR33BU6E45s_9v5J7BAUikcf4s26DfXYgjdrrwaVVGLSmTnY2nUUPAK_GqRM6VC70yq5SrnQkP0xt2211eElQWGFkd73I902jYCEIsYao8to42PffumlyXyy2O1QB6wg6yBdbYsvoYtFhtbmOxnQ78DuWYeB9kh3PXpLEO12SWAkQJS0QgtgSKBLAa14jb6xfxCBVBiR6hwEHoEbt-0dA1OkQQKjrWAFt5wd2P3vMoHAcdS2yY4BWyvRoMZ-9xUVjdWAVQhHQ4R3AYiAg_S4lM_9sXOr8lUO0bdaFpQQw' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T14:31:42.554Z] [SEVERE] http://localhost:81/ui/static/js/main.ae42c2fb.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMjA1OTMsImlhdCI6MTc2MDAyMDI5MywiYXV0aF90aW1lIjoxNzYwMDIwMjkyLCJqdGkiOiJlMWU3YzVjNS01ZWUyLTRiNjktODFhYi0yYzQ1OTZlYWYzZjUiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.kmlyGbCxYSA4Vw63cZE1vQ9MIFoCfrKrmC-bIe0Go5FXZSR33BU6E45s_9v5J7BAUikcf4s26DfXYgjdrrwaVVGLSmTnY2nUUPAK_GqRM6VC70yq5SrnQkP0xt2211eElQWGFkd73I902jYCEIsYao8to42PffumlyXyy2O1QB6wg6yBdbYsvoYtFhtbmOxnQ78DuWYeB9kh3PXpLEO12SWAkQJS0QgtgSKBLAa14jb6xfxCBVBiR6hwEHoEbt-0dA1OkQQKjrWAFt5wd2P3vMoHAcdS2yY4BWyvRoMZ-9xUVjdWAVQhHQ4R3AYiAg_S4lM_9sXOr8lUO0bdaFpQQw' failed: Establishing a tunnel via proxy server failed.
