[2025-10-09T14:39:40.685Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=decef27e-82f0-4ca0-a59b-9897bd2d1be7&response_mode=fragment&response_type=code&scope=openid&nonce=6fe47035-e0b5-43bc-afa7-faed8b868708 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/g3pwm/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-10-09T14:39:40.686Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=decef27e-82f0-4ca0-a59b-9897bd2d1be7&response_mode=fragment&response_type=code&scope=openid&nonce=6fe47035-e0b5-43bc-afa7-faed8b868708 - Autofocus processing was blocked because a document already has a focused element.

[2025-10-09T14:39:43.152Z] [SEVERE] http://localhost:81/ui/static/js/main.ae42c2fb.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMjEwODIsImlhdCI6MTc2MDAyMDc4MiwiYXV0aF90aW1lIjoxNzYwMDIwNzgwLCJqdGkiOiJmY2EwMjg3NS0zOTNhLTQwNGItYThkNy1lM2VjOTVhZWRjZmMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Ut9rLU7_LdDOJmjaijAlJFxgsRk2XEB76QEd6YOPPbiKN-ce7lOhtZIah8Xgx-2c48CetyfevgtKuHQNXVr3W537mF1ffr_oLOdXFHXoNH2PuwyCV0GbQDDoVNHmVaTSTTLdFOVyHTrhy506aBQr0ZEyDFq8AcnpJMxSprnfUNbODHbiRO_5DmKmfstzexi7-t-V9b9AmUx99b-Z07mkH_HmHqVn6XtvY6MFTrkmJmbZUrGu-NbY-kwRQ2f-CAV62OPEEebTcENysrdlYmL6UjRxkrm1E1-8PZTMqwEd7BctViRAS2Bensf9j_gLSov0Y201NhqtaDt0Uu2MVi4MMQ' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T14:39:45.159Z] [SEVERE] http://localhost:81/ui/static/js/main.ae42c2fb.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMjEwODIsImlhdCI6MTc2MDAyMDc4MiwiYXV0aF90aW1lIjoxNzYwMDIwNzgwLCJqdGkiOiJmY2EwMjg3NS0zOTNhLTQwNGItYThkNy1lM2VjOTVhZWRjZmMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Ut9rLU7_LdDOJmjaijAlJFxgsRk2XEB76QEd6YOPPbiKN-ce7lOhtZIah8Xgx-2c48CetyfevgtKuHQNXVr3W537mF1ffr_oLOdXFHXoNH2PuwyCV0GbQDDoVNHmVaTSTTLdFOVyHTrhy506aBQr0ZEyDFq8AcnpJMxSprnfUNbODHbiRO_5DmKmfstzexi7-t-V9b9AmUx99b-Z07mkH_HmHqVn6XtvY6MFTrkmJmbZUrGu-NbY-kwRQ2f-CAV62OPEEebTcENysrdlYmL6UjRxkrm1E1-8PZTMqwEd7BctViRAS2Bensf9j_gLSov0Y201NhqtaDt0Uu2MVi4MMQ' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T14:39:47.165Z] [SEVERE] http://localhost:81/ui/static/js/main.ae42c2fb.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMjEwODIsImlhdCI6MTc2MDAyMDc4MiwiYXV0aF90aW1lIjoxNzYwMDIwNzgwLCJqdGkiOiJmY2EwMjg3NS0zOTNhLTQwNGItYThkNy1lM2VjOTVhZWRjZmMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Ut9rLU7_LdDOJmjaijAlJFxgsRk2XEB76QEd6YOPPbiKN-ce7lOhtZIah8Xgx-2c48CetyfevgtKuHQNXVr3W537mF1ffr_oLOdXFHXoNH2PuwyCV0GbQDDoVNHmVaTSTTLdFOVyHTrhy506aBQr0ZEyDFq8AcnpJMxSprnfUNbODHbiRO_5DmKmfstzexi7-t-V9b9AmUx99b-Z07mkH_HmHqVn6XtvY6MFTrkmJmbZUrGu-NbY-kwRQ2f-CAV62OPEEebTcENysrdlYmL6UjRxkrm1E1-8PZTMqwEd7BctViRAS2Bensf9j_gLSov0Y201NhqtaDt0Uu2MVi4MMQ' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T14:39:49.324Z] [SEVERE] http://localhost:81/ui/static/js/main.ae42c2fb.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMjEwODIsImlhdCI6MTc2MDAyMDc4MiwiYXV0aF90aW1lIjoxNzYwMDIwNzgwLCJqdGkiOiJmY2EwMjg3NS0zOTNhLTQwNGItYThkNy1lM2VjOTVhZWRjZmMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Ut9rLU7_LdDOJmjaijAlJFxgsRk2XEB76QEd6YOPPbiKN-ce7lOhtZIah8Xgx-2c48CetyfevgtKuHQNXVr3W537mF1ffr_oLOdXFHXoNH2PuwyCV0GbQDDoVNHmVaTSTTLdFOVyHTrhy506aBQr0ZEyDFq8AcnpJMxSprnfUNbODHbiRO_5DmKmfstzexi7-t-V9b9AmUx99b-Z07mkH_HmHqVn6XtvY6MFTrkmJmbZUrGu-NbY-kwRQ2f-CAV62OPEEebTcENysrdlYmL6UjRxkrm1E1-8PZTMqwEd7BctViRAS2Bensf9j_gLSov0Y201NhqtaDt0Uu2MVi4MMQ' failed: Establishing a tunnel via proxy server failed.

[2025-10-09T14:39:51.253Z] [SEVERE] http://localhost:81/ui/static/js/main.ae42c2fb.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAwMjEwODIsImlhdCI6MTc2MDAyMDc4MiwiYXV0aF90aW1lIjoxNzYwMDIwNzgwLCJqdGkiOiJmY2EwMjg3NS0zOTNhLTQwNGItYThkNy1lM2VjOTVhZWRjZmMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Ut9rLU7_LdDOJmjaijAlJFxgsRk2XEB76QEd6YOPPbiKN-ce7lOhtZIah8Xgx-2c48CetyfevgtKuHQNXVr3W537mF1ffr_oLOdXFHXoNH2PuwyCV0GbQDDoVNHmVaTSTTLdFOVyHTrhy506aBQr0ZEyDFq8AcnpJMxSprnfUNbODHbiRO_5DmKmfstzexi7-t-V9b9AmUx99b-Z07mkH_HmHqVn6XtvY6MFTrkmJmbZUrGu-NbY-kwRQ2f-CAV62OPEEebTcENysrdlYmL6UjRxkrm1E1-8PZTMqwEd7BctViRAS2Bensf9j_gLSov0Y201NhqtaDt0Uu2MVi4MMQ' failed: Establishing a tunnel via proxy server failed.
