[2025-10-10T14:36:35.759Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=dd0c56f6-bc9f-4e2d-87ba-ad7ce29b54b1&response_mode=fragment&response_type=code&scope=openid&nonce=72e20f80-f304-4ffd-89fd-1a8559f61928 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/g3pwm/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-10-10T14:36:35.760Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=dd0c56f6-bc9f-4e2d-87ba-ad7ce29b54b1&response_mode=fragment&response_type=code&scope=openid&nonce=72e20f80-f304-4ffd-89fd-1a8559f61928 - Autofocus processing was blocked because a document already has a focused element.

[2025-10-10T14:36:37.828Z] [SEVERE] http://localhost:81/ui/static/js/main.08e301d6.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAxMDcyOTYsImlhdCI6MTc2MDEwNjk5NiwiYXV0aF90aW1lIjoxNzYwMTA2OTk2LCJqdGkiOiI4ZGYwMDI5ZC1jOTQyLTRmZjQtOTFhYS1iOTcxNjNjMzQ2YTQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.KqPCCBIQszxccIZNAY6KoA2WwXLi8uBxTgxqiwfBipHiX-QKLQr5SEZT3bjzRR2mjKFUn8EBfQPoHYYjAKmGB2KDREWppwfFdvXZHI5jMjHE_N97XQ-3pVe_eRdT9U4ZrRz1f7a6GF46aFBhnnH9Y0uxelSrz-JAJ_EIQn83v73hpjzauYhhF2XBDpCq6vSWjb_6RX7WYAVBLaVFdaanD9VRTxZWsXNJLHpP3nZH98N8eANsvh5-BcAQ72yUzT5Nthoy2qmkHly-SkQ00Et7W-novUWEtERHkqctK-XcZZIhGkXKg1MAEIJDRMwuX-5saBvYOLKc5tQIH8sbyv94mA' failed: Establishing a tunnel via proxy server failed.

[2025-10-10T14:36:39.835Z] [SEVERE] http://localhost:81/ui/static/js/main.08e301d6.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAxMDcyOTYsImlhdCI6MTc2MDEwNjk5NiwiYXV0aF90aW1lIjoxNzYwMTA2OTk2LCJqdGkiOiI4ZGYwMDI5ZC1jOTQyLTRmZjQtOTFhYS1iOTcxNjNjMzQ2YTQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.KqPCCBIQszxccIZNAY6KoA2WwXLi8uBxTgxqiwfBipHiX-QKLQr5SEZT3bjzRR2mjKFUn8EBfQPoHYYjAKmGB2KDREWppwfFdvXZHI5jMjHE_N97XQ-3pVe_eRdT9U4ZrRz1f7a6GF46aFBhnnH9Y0uxelSrz-JAJ_EIQn83v73hpjzauYhhF2XBDpCq6vSWjb_6RX7WYAVBLaVFdaanD9VRTxZWsXNJLHpP3nZH98N8eANsvh5-BcAQ72yUzT5Nthoy2qmkHly-SkQ00Et7W-novUWEtERHkqctK-XcZZIhGkXKg1MAEIJDRMwuX-5saBvYOLKc5tQIH8sbyv94mA' failed: Establishing a tunnel via proxy server failed.

[2025-10-10T14:36:41.840Z] [SEVERE] http://localhost:81/ui/static/js/main.08e301d6.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAxMDcyOTYsImlhdCI6MTc2MDEwNjk5NiwiYXV0aF90aW1lIjoxNzYwMTA2OTk2LCJqdGkiOiI4ZGYwMDI5ZC1jOTQyLTRmZjQtOTFhYS1iOTcxNjNjMzQ2YTQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.KqPCCBIQszxccIZNAY6KoA2WwXLi8uBxTgxqiwfBipHiX-QKLQr5SEZT3bjzRR2mjKFUn8EBfQPoHYYjAKmGB2KDREWppwfFdvXZHI5jMjHE_N97XQ-3pVe_eRdT9U4ZrRz1f7a6GF46aFBhnnH9Y0uxelSrz-JAJ_EIQn83v73hpjzauYhhF2XBDpCq6vSWjb_6RX7WYAVBLaVFdaanD9VRTxZWsXNJLHpP3nZH98N8eANsvh5-BcAQ72yUzT5Nthoy2qmkHly-SkQ00Et7W-novUWEtERHkqctK-XcZZIhGkXKg1MAEIJDRMwuX-5saBvYOLKc5tQIH8sbyv94mA' failed: Establishing a tunnel via proxy server failed.

[2025-10-10T14:36:43.844Z] [SEVERE] http://localhost:81/ui/static/js/main.08e301d6.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAxMDcyOTYsImlhdCI6MTc2MDEwNjk5NiwiYXV0aF90aW1lIjoxNzYwMTA2OTk2LCJqdGkiOiI4ZGYwMDI5ZC1jOTQyLTRmZjQtOTFhYS1iOTcxNjNjMzQ2YTQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.KqPCCBIQszxccIZNAY6KoA2WwXLi8uBxTgxqiwfBipHiX-QKLQr5SEZT3bjzRR2mjKFUn8EBfQPoHYYjAKmGB2KDREWppwfFdvXZHI5jMjHE_N97XQ-3pVe_eRdT9U4ZrRz1f7a6GF46aFBhnnH9Y0uxelSrz-JAJ_EIQn83v73hpjzauYhhF2XBDpCq6vSWjb_6RX7WYAVBLaVFdaanD9VRTxZWsXNJLHpP3nZH98N8eANsvh5-BcAQ72yUzT5Nthoy2qmkHly-SkQ00Et7W-novUWEtERHkqctK-XcZZIhGkXKg1MAEIJDRMwuX-5saBvYOLKc5tQIH8sbyv94mA' failed: Establishing a tunnel via proxy server failed.

[2025-10-10T14:36:45.850Z] [SEVERE] http://localhost:81/ui/static/js/main.08e301d6.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAxMDcyOTYsImlhdCI6MTc2MDEwNjk5NiwiYXV0aF90aW1lIjoxNzYwMTA2OTk2LCJqdGkiOiI4ZGYwMDI5ZC1jOTQyLTRmZjQtOTFhYS1iOTcxNjNjMzQ2YTQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.KqPCCBIQszxccIZNAY6KoA2WwXLi8uBxTgxqiwfBipHiX-QKLQr5SEZT3bjzRR2mjKFUn8EBfQPoHYYjAKmGB2KDREWppwfFdvXZHI5jMjHE_N97XQ-3pVe_eRdT9U4ZrRz1f7a6GF46aFBhnnH9Y0uxelSrz-JAJ_EIQn83v73hpjzauYhhF2XBDpCq6vSWjb_6RX7WYAVBLaVFdaanD9VRTxZWsXNJLHpP3nZH98N8eANsvh5-BcAQ72yUzT5Nthoy2qmkHly-SkQ00Et7W-novUWEtERHkqctK-XcZZIhGkXKg1MAEIJDRMwuX-5saBvYOLKc5tQIH8sbyv94mA' failed: Establishing a tunnel via proxy server failed.

[2025-10-10T14:36:47.859Z] [SEVERE] http://localhost:81/ui/static/js/main.08e301d6.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAxMDcyOTYsImlhdCI6MTc2MDEwNjk5NiwiYXV0aF90aW1lIjoxNzYwMTA2OTk2LCJqdGkiOiI4ZGYwMDI5ZC1jOTQyLTRmZjQtOTFhYS1iOTcxNjNjMzQ2YTQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.KqPCCBIQszxccIZNAY6KoA2WwXLi8uBxTgxqiwfBipHiX-QKLQr5SEZT3bjzRR2mjKFUn8EBfQPoHYYjAKmGB2KDREWppwfFdvXZHI5jMjHE_N97XQ-3pVe_eRdT9U4ZrRz1f7a6GF46aFBhnnH9Y0uxelSrz-JAJ_EIQn83v73hpjzauYhhF2XBDpCq6vSWjb_6RX7WYAVBLaVFdaanD9VRTxZWsXNJLHpP3nZH98N8eANsvh5-BcAQ72yUzT5Nthoy2qmkHly-SkQ00Et7W-novUWEtERHkqctK-XcZZIhGkXKg1MAEIJDRMwuX-5saBvYOLKc5tQIH8sbyv94mA' failed: Establishing a tunnel via proxy server failed.

[2025-10-10T14:36:49.867Z] [SEVERE] http://localhost:81/ui/static/js/main.08e301d6.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAxMDcyOTYsImlhdCI6MTc2MDEwNjk5NiwiYXV0aF90aW1lIjoxNzYwMTA2OTk2LCJqdGkiOiI4ZGYwMDI5ZC1jOTQyLTRmZjQtOTFhYS1iOTcxNjNjMzQ2YTQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.KqPCCBIQszxccIZNAY6KoA2WwXLi8uBxTgxqiwfBipHiX-QKLQr5SEZT3bjzRR2mjKFUn8EBfQPoHYYjAKmGB2KDREWppwfFdvXZHI5jMjHE_N97XQ-3pVe_eRdT9U4ZrRz1f7a6GF46aFBhnnH9Y0uxelSrz-JAJ_EIQn83v73hpjzauYhhF2XBDpCq6vSWjb_6RX7WYAVBLaVFdaanD9VRTxZWsXNJLHpP3nZH98N8eANsvh5-BcAQ72yUzT5Nthoy2qmkHly-SkQ00Et7W-novUWEtERHkqctK-XcZZIhGkXKg1MAEIJDRMwuX-5saBvYOLKc5tQIH8sbyv94mA' failed: Establishing a tunnel via proxy server failed.

