[2025-10-10T14:36:53.068Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=f98a6e4e-cfcc-43a3-8fb4-b7d90e68bf3d&response_mode=fragment&response_type=code&scope=openid&nonce=8d75a294-f5b9-4cb2-9cc3-20bb10dcd6ff - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/g3pwm/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-10-10T14:36:53.068Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=f98a6e4e-cfcc-43a3-8fb4-b7d90e68bf3d&response_mode=fragment&response_type=code&scope=openid&nonce=8d75a294-f5b9-4cb2-9cc3-20bb10dcd6ff - Autofocus processing was blocked because a document already has a focused element.

[2025-10-10T14:36:55.168Z] [SEVERE] http://localhost:81/ui/static/js/main.08e301d6.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAxMDczMTQsImlhdCI6MTc2MDEwNzAxNCwiYXV0aF90aW1lIjoxNzYwMTA3MDEzLCJqdGkiOiIzYWM2NjQ3ZS01NDgzLTRlMzMtYjAwZS04YTNiYWUyMzg5MDAiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.ezXMhWN5Nq9FKmdS8wFySP1Rz08YHqZEhD444LVG4GIcKh7qm9s-FkXBJ9jIQnuqgosCFO9juRCF_cfluLZVHQhDoVWz1psw0nDNNwlSDx13AO8wOb7XNW58MVc5LJ1MWS7TXotpHR1abvkJqg0A2AcQyyzOESmClZWgmoyDxWuTTTOfnoCyFqSXqwrebAJw0ZW6ne7b3M_YX6rTfaLoGtRn8EpzjeWZYxAsXfOEQOCE_982T3fNQYF-kxMjoNFOPunb2Hd-7eeb9usqUuBWDy8jXfkEj9uCZBxICvayhlqLW3d0z5HBfsRNZne3gb9Ltc-u9Fe4FS_saCJMZHq0Rg' failed: Establishing a tunnel via proxy server failed.

[2025-10-10T14:36:57.174Z] [SEVERE] http://localhost:81/ui/static/js/main.08e301d6.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAxMDczMTQsImlhdCI6MTc2MDEwNzAxNCwiYXV0aF90aW1lIjoxNzYwMTA3MDEzLCJqdGkiOiIzYWM2NjQ3ZS01NDgzLTRlMzMtYjAwZS04YTNiYWUyMzg5MDAiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.ezXMhWN5Nq9FKmdS8wFySP1Rz08YHqZEhD444LVG4GIcKh7qm9s-FkXBJ9jIQnuqgosCFO9juRCF_cfluLZVHQhDoVWz1psw0nDNNwlSDx13AO8wOb7XNW58MVc5LJ1MWS7TXotpHR1abvkJqg0A2AcQyyzOESmClZWgmoyDxWuTTTOfnoCyFqSXqwrebAJw0ZW6ne7b3M_YX6rTfaLoGtRn8EpzjeWZYxAsXfOEQOCE_982T3fNQYF-kxMjoNFOPunb2Hd-7eeb9usqUuBWDy8jXfkEj9uCZBxICvayhlqLW3d0z5HBfsRNZne3gb9Ltc-u9Fe4FS_saCJMZHq0Rg' failed: Establishing a tunnel via proxy server failed.

[2025-10-10T14:36:59.220Z] [SEVERE] http://localhost:81/ui/static/js/main.08e301d6.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAxMDczMTQsImlhdCI6MTc2MDEwNzAxNCwiYXV0aF90aW1lIjoxNzYwMTA3MDEzLCJqdGkiOiIzYWM2NjQ3ZS01NDgzLTRlMzMtYjAwZS04YTNiYWUyMzg5MDAiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.ezXMhWN5Nq9FKmdS8wFySP1Rz08YHqZEhD444LVG4GIcKh7qm9s-FkXBJ9jIQnuqgosCFO9juRCF_cfluLZVHQhDoVWz1psw0nDNNwlSDx13AO8wOb7XNW58MVc5LJ1MWS7TXotpHR1abvkJqg0A2AcQyyzOESmClZWgmoyDxWuTTTOfnoCyFqSXqwrebAJw0ZW6ne7b3M_YX6rTfaLoGtRn8EpzjeWZYxAsXfOEQOCE_982T3fNQYF-kxMjoNFOPunb2Hd-7eeb9usqUuBWDy8jXfkEj9uCZBxICvayhlqLW3d0z5HBfsRNZne3gb9Ltc-u9Fe4FS_saCJMZHq0Rg' failed: Establishing a tunnel via proxy server failed.

[2025-10-10T14:37:01.283Z] [SEVERE] http://localhost:81/ui/static/js/main.08e301d6.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAxMDczMTQsImlhdCI6MTc2MDEwNzAxNCwiYXV0aF90aW1lIjoxNzYwMTA3MDEzLCJqdGkiOiIzYWM2NjQ3ZS01NDgzLTRlMzMtYjAwZS04YTNiYWUyMzg5MDAiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.ezXMhWN5Nq9FKmdS8wFySP1Rz08YHqZEhD444LVG4GIcKh7qm9s-FkXBJ9jIQnuqgosCFO9juRCF_cfluLZVHQhDoVWz1psw0nDNNwlSDx13AO8wOb7XNW58MVc5LJ1MWS7TXotpHR1abvkJqg0A2AcQyyzOESmClZWgmoyDxWuTTTOfnoCyFqSXqwrebAJw0ZW6ne7b3M_YX6rTfaLoGtRn8EpzjeWZYxAsXfOEQOCE_982T3fNQYF-kxMjoNFOPunb2Hd-7eeb9usqUuBWDy8jXfkEj9uCZBxICvayhlqLW3d0z5HBfsRNZne3gb9Ltc-u9Fe4FS_saCJMZHq0Rg' failed: Establishing a tunnel via proxy server failed.

[2025-10-10T14:37:03.309Z] [SEVERE] http://localhost:81/ui/static/js/main.08e301d6.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAxMDczMTQsImlhdCI6MTc2MDEwNzAxNCwiYXV0aF90aW1lIjoxNzYwMTA3MDEzLCJqdGkiOiIzYWM2NjQ3ZS01NDgzLTRlMzMtYjAwZS04YTNiYWUyMzg5MDAiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.ezXMhWN5Nq9FKmdS8wFySP1Rz08YHqZEhD444LVG4GIcKh7qm9s-FkXBJ9jIQnuqgosCFO9juRCF_cfluLZVHQhDoVWz1psw0nDNNwlSDx13AO8wOb7XNW58MVc5LJ1MWS7TXotpHR1abvkJqg0A2AcQyyzOESmClZWgmoyDxWuTTTOfnoCyFqSXqwrebAJw0ZW6ne7b3M_YX6rTfaLoGtRn8EpzjeWZYxAsXfOEQOCE_982T3fNQYF-kxMjoNFOPunb2Hd-7eeb9usqUuBWDy8jXfkEj9uCZBxICvayhlqLW3d0z5HBfsRNZne3gb9Ltc-u9Fe4FS_saCJMZHq0Rg' failed: Establishing a tunnel via proxy server failed.
