[2025-10-10T14:37:10.368Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=ea7ea528-0fa7-4081-99cf-f83c9eba69e0&response_mode=fragment&response_type=code&scope=openid&nonce=f8cbeaa3-d5e4-4439-87cb-d7031447584d - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/g3pwm/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-10-10T14:37:10.369Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=ea7ea528-0fa7-4081-99cf-f83c9eba69e0&response_mode=fragment&response_type=code&scope=openid&nonce=f8cbeaa3-d5e4-4439-87cb-d7031447584d - Autofocus processing was blocked because a document already has a focused element.

[2025-10-10T14:37:12.662Z] [SEVERE] http://localhost:81/ui/static/js/main.08e301d6.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAxMDczMzEsImlhdCI6MTc2MDEwNzAzMSwiYXV0aF90aW1lIjoxNzYwMTA3MDMwLCJqdGkiOiJjODYzNzI4MS05MzVjLTQxZGQtYjY2Yi0yN2YxNjBhOWQxZDYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.bsoEVMXGk1Wog1Krg1fEeKoUZNwjbw5vyBtW9QRuocRD5uEyjGT54k41Ce12MgL6TInrZoxva5FjBZV4DDA4sBGxiHWeksKQWzlsDegjPH4k534btsZiNJOe4CXrAqi0xQnGVpQwRM4JVOqODqRkagLlpFOoYjkwB6TDw6fY6mn2oP9fMjug3O3hZpzwg_v_7X8eI3A0gM_r6y2MH3EaXTo_SP_r5Y_iV9o4L53sAEO558oeWAQ--o8pMNDakU6wE1TgXUDczWPpejc4K7GtVvKLDPjNr1evhwVXCVicIvf2-SnKyUjYnskipghrWqH6e3B09ISFgdcdvi83aKcRQg' failed: Establishing a tunnel via proxy server failed.

[2025-10-10T14:37:14.472Z] [SEVERE] http://localhost:81/ui/static/js/main.08e301d6.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAxMDczMzEsImlhdCI6MTc2MDEwNzAzMSwiYXV0aF90aW1lIjoxNzYwMTA3MDMwLCJqdGkiOiJjODYzNzI4MS05MzVjLTQxZGQtYjY2Yi0yN2YxNjBhOWQxZDYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.bsoEVMXGk1Wog1Krg1fEeKoUZNwjbw5vyBtW9QRuocRD5uEyjGT54k41Ce12MgL6TInrZoxva5FjBZV4DDA4sBGxiHWeksKQWzlsDegjPH4k534btsZiNJOe4CXrAqi0xQnGVpQwRM4JVOqODqRkagLlpFOoYjkwB6TDw6fY6mn2oP9fMjug3O3hZpzwg_v_7X8eI3A0gM_r6y2MH3EaXTo_SP_r5Y_iV9o4L53sAEO558oeWAQ--o8pMNDakU6wE1TgXUDczWPpejc4K7GtVvKLDPjNr1evhwVXCVicIvf2-SnKyUjYnskipghrWqH6e3B09ISFgdcdvi83aKcRQg' failed: Establishing a tunnel via proxy server failed.

[2025-10-10T14:37:16.524Z] [SEVERE] http://localhost:81/ui/static/js/main.08e301d6.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAxMDczMzEsImlhdCI6MTc2MDEwNzAzMSwiYXV0aF90aW1lIjoxNzYwMTA3MDMwLCJqdGkiOiJjODYzNzI4MS05MzVjLTQxZGQtYjY2Yi0yN2YxNjBhOWQxZDYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.bsoEVMXGk1Wog1Krg1fEeKoUZNwjbw5vyBtW9QRuocRD5uEyjGT54k41Ce12MgL6TInrZoxva5FjBZV4DDA4sBGxiHWeksKQWzlsDegjPH4k534btsZiNJOe4CXrAqi0xQnGVpQwRM4JVOqODqRkagLlpFOoYjkwB6TDw6fY6mn2oP9fMjug3O3hZpzwg_v_7X8eI3A0gM_r6y2MH3EaXTo_SP_r5Y_iV9o4L53sAEO558oeWAQ--o8pMNDakU6wE1TgXUDczWPpejc4K7GtVvKLDPjNr1evhwVXCVicIvf2-SnKyUjYnskipghrWqH6e3B09ISFgdcdvi83aKcRQg' failed: Establishing a tunnel via proxy server failed.

[2025-10-10T14:37:18.566Z] [SEVERE] http://localhost:81/ui/static/js/main.08e301d6.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAxMDczMzEsImlhdCI6MTc2MDEwNzAzMSwiYXV0aF90aW1lIjoxNzYwMTA3MDMwLCJqdGkiOiJjODYzNzI4MS05MzVjLTQxZGQtYjY2Yi0yN2YxNjBhOWQxZDYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.bsoEVMXGk1Wog1Krg1fEeKoUZNwjbw5vyBtW9QRuocRD5uEyjGT54k41Ce12MgL6TInrZoxva5FjBZV4DDA4sBGxiHWeksKQWzlsDegjPH4k534btsZiNJOe4CXrAqi0xQnGVpQwRM4JVOqODqRkagLlpFOoYjkwB6TDw6fY6mn2oP9fMjug3O3hZpzwg_v_7X8eI3A0gM_r6y2MH3EaXTo_SP_r5Y_iV9o4L53sAEO558oeWAQ--o8pMNDakU6wE1TgXUDczWPpejc4K7GtVvKLDPjNr1evhwVXCVicIvf2-SnKyUjYnskipghrWqH6e3B09ISFgdcdvi83aKcRQg' failed: Establishing a tunnel via proxy server failed.

[2025-10-10T14:37:20.592Z] [SEVERE] http://localhost:81/ui/static/js/main.08e301d6.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAxMDczMzEsImlhdCI6MTc2MDEwNzAzMSwiYXV0aF90aW1lIjoxNzYwMTA3MDMwLCJqdGkiOiJjODYzNzI4MS05MzVjLTQxZGQtYjY2Yi0yN2YxNjBhOWQxZDYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.bsoEVMXGk1Wog1Krg1fEeKoUZNwjbw5vyBtW9QRuocRD5uEyjGT54k41Ce12MgL6TInrZoxva5FjBZV4DDA4sBGxiHWeksKQWzlsDegjPH4k534btsZiNJOe4CXrAqi0xQnGVpQwRM4JVOqODqRkagLlpFOoYjkwB6TDw6fY6mn2oP9fMjug3O3hZpzwg_v_7X8eI3A0gM_r6y2MH3EaXTo_SP_r5Y_iV9o4L53sAEO558oeWAQ--o8pMNDakU6wE1TgXUDczWPpejc4K7GtVvKLDPjNr1evhwVXCVicIvf2-SnKyUjYnskipghrWqH6e3B09ISFgdcdvi83aKcRQg' failed: Establishing a tunnel via proxy server failed.

