[2025-10-13T12:21:00.367Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=7e092e66-c61f-40ec-909b-f9fe12e58ca5&response_mode=fragment&response_type=code&scope=openid&nonce=b56f9e15-787b-4ed6-841a-c69d40c12958 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/g3pwm/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-10-13T12:21:00.367Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=7e092e66-c61f-40ec-909b-f9fe12e58ca5&response_mode=fragment&response_type=code&scope=openid&nonce=b56f9e15-787b-4ed6-841a-c69d40c12958 - Autofocus processing was blocked because a document already has a focused element.

[2025-10-13T12:21:03.124Z] [SEVERE] http://localhost:81/ui/static/js/main.08e301d6.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAzNTgzNjEsImlhdCI6MTc2MDM1ODA2MSwiYXV0aF90aW1lIjoxNzYwMzU4MDYwLCJqdGkiOiJiZThlZjQzMS1jNmY4LTQ5N2YtYThhZC05ZGY4YTMzOGQ4NTciLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.n8CxZ5L9CTOv3m8DGq1Pg5ar5rQL2HhrQlC4iXUf8wdxj8U8TmZo1WZpNipzAnWUorDuHmM10yDVyzwL24Sd9Xv2pSSI0lyugUsweBx7CPFseM6nm2UKgbrvlUWQssWvRkRmtEHxSxaEzO3DfW_ORJkUbLi_hFSU5ZfzXuZFpgPNPer-mqx68RP8jLg7C_Y9mvCHEL4P248yi2FaqUgyWdspuyk5X37zxQi-czw3LWFSgEcFcCIMgUrnVIFG1krBiR2PcpRI2PrMI13ZScqXpmuP7S8s17WFZNkmyMlrBBA7UwndG8PWenP5OBiKUz70M0TgBGX4ZhPD8S6MhQAPVw' failed: Establishing a tunnel via proxy server failed.

[2025-10-13T12:21:05.151Z] [SEVERE] http://localhost:81/ui/static/js/main.08e301d6.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAzNTgzNjEsImlhdCI6MTc2MDM1ODA2MSwiYXV0aF90aW1lIjoxNzYwMzU4MDYwLCJqdGkiOiJiZThlZjQzMS1jNmY4LTQ5N2YtYThhZC05ZGY4YTMzOGQ4NTciLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.n8CxZ5L9CTOv3m8DGq1Pg5ar5rQL2HhrQlC4iXUf8wdxj8U8TmZo1WZpNipzAnWUorDuHmM10yDVyzwL24Sd9Xv2pSSI0lyugUsweBx7CPFseM6nm2UKgbrvlUWQssWvRkRmtEHxSxaEzO3DfW_ORJkUbLi_hFSU5ZfzXuZFpgPNPer-mqx68RP8jLg7C_Y9mvCHEL4P248yi2FaqUgyWdspuyk5X37zxQi-czw3LWFSgEcFcCIMgUrnVIFG1krBiR2PcpRI2PrMI13ZScqXpmuP7S8s17WFZNkmyMlrBBA7UwndG8PWenP5OBiKUz70M0TgBGX4ZhPD8S6MhQAPVw' failed: Establishing a tunnel via proxy server failed.

[2025-10-13T12:21:07.163Z] [SEVERE] http://localhost:81/ui/static/js/main.08e301d6.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAzNTgzNjEsImlhdCI6MTc2MDM1ODA2MSwiYXV0aF90aW1lIjoxNzYwMzU4MDYwLCJqdGkiOiJiZThlZjQzMS1jNmY4LTQ5N2YtYThhZC05ZGY4YTMzOGQ4NTciLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.n8CxZ5L9CTOv3m8DGq1Pg5ar5rQL2HhrQlC4iXUf8wdxj8U8TmZo1WZpNipzAnWUorDuHmM10yDVyzwL24Sd9Xv2pSSI0lyugUsweBx7CPFseM6nm2UKgbrvlUWQssWvRkRmtEHxSxaEzO3DfW_ORJkUbLi_hFSU5ZfzXuZFpgPNPer-mqx68RP8jLg7C_Y9mvCHEL4P248yi2FaqUgyWdspuyk5X37zxQi-czw3LWFSgEcFcCIMgUrnVIFG1krBiR2PcpRI2PrMI13ZScqXpmuP7S8s17WFZNkmyMlrBBA7UwndG8PWenP5OBiKUz70M0TgBGX4ZhPD8S6MhQAPVw' failed: Establishing a tunnel via proxy server failed.

[2025-10-13T12:21:09.182Z] [SEVERE] http://localhost:81/ui/static/js/main.08e301d6.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAzNTgzNjEsImlhdCI6MTc2MDM1ODA2MSwiYXV0aF90aW1lIjoxNzYwMzU4MDYwLCJqdGkiOiJiZThlZjQzMS1jNmY4LTQ5N2YtYThhZC05ZGY4YTMzOGQ4NTciLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.n8CxZ5L9CTOv3m8DGq1Pg5ar5rQL2HhrQlC4iXUf8wdxj8U8TmZo1WZpNipzAnWUorDuHmM10yDVyzwL24Sd9Xv2pSSI0lyugUsweBx7CPFseM6nm2UKgbrvlUWQssWvRkRmtEHxSxaEzO3DfW_ORJkUbLi_hFSU5ZfzXuZFpgPNPer-mqx68RP8jLg7C_Y9mvCHEL4P248yi2FaqUgyWdspuyk5X37zxQi-czw3LWFSgEcFcCIMgUrnVIFG1krBiR2PcpRI2PrMI13ZScqXpmuP7S8s17WFZNkmyMlrBBA7UwndG8PWenP5OBiKUz70M0TgBGX4ZhPD8S6MhQAPVw' failed: Establishing a tunnel via proxy server failed.

[2025-10-13T12:21:11.201Z] [SEVERE] http://localhost:81/ui/static/js/main.08e301d6.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjAzNTgzNjEsImlhdCI6MTc2MDM1ODA2MSwiYXV0aF90aW1lIjoxNzYwMzU4MDYwLCJqdGkiOiJiZThlZjQzMS1jNmY4LTQ5N2YtYThhZC05ZGY4YTMzOGQ4NTciLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.n8CxZ5L9CTOv3m8DGq1Pg5ar5rQL2HhrQlC4iXUf8wdxj8U8TmZo1WZpNipzAnWUorDuHmM10yDVyzwL24Sd9Xv2pSSI0lyugUsweBx7CPFseM6nm2UKgbrvlUWQssWvRkRmtEHxSxaEzO3DfW_ORJkUbLi_hFSU5ZfzXuZFpgPNPer-mqx68RP8jLg7C_Y9mvCHEL4P248yi2FaqUgyWdspuyk5X37zxQi-czw3LWFSgEcFcCIMgUrnVIFG1krBiR2PcpRI2PrMI13ZScqXpmuP7S8s17WFZNkmyMlrBBA7UwndG8PWenP5OBiKUz70M0TgBGX4ZhPD8S6MhQAPVw' failed: Establishing a tunnel via proxy server failed.
