[2025-10-14T08:58:34.631Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=05f356fb-312a-4018-89b5-e6fdfa3160bc&response_mode=fragment&response_type=code&scope=openid&nonce=65539f48-8fca-4e82-a903-6a3aa6f9afc5 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/g3pwm/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-10-14T08:58:34.631Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=05f356fb-312a-4018-89b5-e6fdfa3160bc&response_mode=fragment&response_type=code&scope=openid&nonce=65539f48-8fca-4e82-a903-6a3aa6f9afc5 - Autofocus processing was blocked because a document already has a focused element.

[2025-10-14T08:58:36.610Z] [SEVERE] http://localhost:81/ui/static/js/main.68d57865.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjA0MzI2MTUsImlhdCI6MTc2MDQzMjMxNSwiYXV0aF90aW1lIjoxNzYwNDMyMzE0LCJqdGkiOiJhNTJmNmQzYi01ZGQxLTQyNzYtYjg2My03YzNkNzc1MTcyMjIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.ZU-1h34oUkcDGrhrV41dRob9WzOLmgBl-GTg0T_mGN1jHQyLlNccpHG_4SeySOyMdqTn69vGAgZ4d3hWjsRPPNhZLTFhLNMHVvsg_18aE73HbCoObzS1RKySineIdcVTvODCNyuahZjswXn_vIKy0u61hHjEfhYZyqoC_8Ok8-91MVju2QTYwtJLu_1W-vjs_SFVzGOQNdKYGSIt67mMQO4L9af61uAiMcfsPSA5j--oKChyZpY1aC0QXdihiXe99bH17Z4BokpDYFkahI53QlpMWX2LSHuJDN2JdVt03iHpIyv2ubzl14E1QsuR2rgGUvhAaTbbHu_0o542F6QUnw' failed: Establishing a tunnel via proxy server failed.

[2025-10-14T08:58:38.617Z] [SEVERE] http://localhost:81/ui/static/js/main.68d57865.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjA0MzI2MTUsImlhdCI6MTc2MDQzMjMxNSwiYXV0aF90aW1lIjoxNzYwNDMyMzE0LCJqdGkiOiJhNTJmNmQzYi01ZGQxLTQyNzYtYjg2My03YzNkNzc1MTcyMjIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.ZU-1h34oUkcDGrhrV41dRob9WzOLmgBl-GTg0T_mGN1jHQyLlNccpHG_4SeySOyMdqTn69vGAgZ4d3hWjsRPPNhZLTFhLNMHVvsg_18aE73HbCoObzS1RKySineIdcVTvODCNyuahZjswXn_vIKy0u61hHjEfhYZyqoC_8Ok8-91MVju2QTYwtJLu_1W-vjs_SFVzGOQNdKYGSIt67mMQO4L9af61uAiMcfsPSA5j--oKChyZpY1aC0QXdihiXe99bH17Z4BokpDYFkahI53QlpMWX2LSHuJDN2JdVt03iHpIyv2ubzl14E1QsuR2rgGUvhAaTbbHu_0o542F6QUnw' failed: Establishing a tunnel via proxy server failed.

[2025-10-14T08:58:40.646Z] [SEVERE] http://localhost:81/ui/static/js/main.68d57865.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjA0MzI2MTUsImlhdCI6MTc2MDQzMjMxNSwiYXV0aF90aW1lIjoxNzYwNDMyMzE0LCJqdGkiOiJhNTJmNmQzYi01ZGQxLTQyNzYtYjg2My03YzNkNzc1MTcyMjIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.ZU-1h34oUkcDGrhrV41dRob9WzOLmgBl-GTg0T_mGN1jHQyLlNccpHG_4SeySOyMdqTn69vGAgZ4d3hWjsRPPNhZLTFhLNMHVvsg_18aE73HbCoObzS1RKySineIdcVTvODCNyuahZjswXn_vIKy0u61hHjEfhYZyqoC_8Ok8-91MVju2QTYwtJLu_1W-vjs_SFVzGOQNdKYGSIt67mMQO4L9af61uAiMcfsPSA5j--oKChyZpY1aC0QXdihiXe99bH17Z4BokpDYFkahI53QlpMWX2LSHuJDN2JdVt03iHpIyv2ubzl14E1QsuR2rgGUvhAaTbbHu_0o542F6QUnw' failed: Establishing a tunnel via proxy server failed.

[2025-10-14T08:58:42.652Z] [SEVERE] http://localhost:81/ui/static/js/main.68d57865.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjA0MzI2MTUsImlhdCI6MTc2MDQzMjMxNSwiYXV0aF90aW1lIjoxNzYwNDMyMzE0LCJqdGkiOiJhNTJmNmQzYi01ZGQxLTQyNzYtYjg2My03YzNkNzc1MTcyMjIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.ZU-1h34oUkcDGrhrV41dRob9WzOLmgBl-GTg0T_mGN1jHQyLlNccpHG_4SeySOyMdqTn69vGAgZ4d3hWjsRPPNhZLTFhLNMHVvsg_18aE73HbCoObzS1RKySineIdcVTvODCNyuahZjswXn_vIKy0u61hHjEfhYZyqoC_8Ok8-91MVju2QTYwtJLu_1W-vjs_SFVzGOQNdKYGSIt67mMQO4L9af61uAiMcfsPSA5j--oKChyZpY1aC0QXdihiXe99bH17Z4BokpDYFkahI53QlpMWX2LSHuJDN2JdVt03iHpIyv2ubzl14E1QsuR2rgGUvhAaTbbHu_0o542F6QUnw' failed: Establishing a tunnel via proxy server failed.

[2025-10-14T08:58:44.686Z] [SEVERE] http://localhost:81/ui/static/js/main.68d57865.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjA0MzI2MTUsImlhdCI6MTc2MDQzMjMxNSwiYXV0aF90aW1lIjoxNzYwNDMyMzE0LCJqdGkiOiJhNTJmNmQzYi01ZGQxLTQyNzYtYjg2My03YzNkNzc1MTcyMjIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.ZU-1h34oUkcDGrhrV41dRob9WzOLmgBl-GTg0T_mGN1jHQyLlNccpHG_4SeySOyMdqTn69vGAgZ4d3hWjsRPPNhZLTFhLNMHVvsg_18aE73HbCoObzS1RKySineIdcVTvODCNyuahZjswXn_vIKy0u61hHjEfhYZyqoC_8Ok8-91MVju2QTYwtJLu_1W-vjs_SFVzGOQNdKYGSIt67mMQO4L9af61uAiMcfsPSA5j--oKChyZpY1aC0QXdihiXe99bH17Z4BokpDYFkahI53QlpMWX2LSHuJDN2JdVt03iHpIyv2ubzl14E1QsuR2rgGUvhAaTbbHu_0o542F6QUnw' failed: Establishing a tunnel via proxy server failed.
