[2025-10-14T08:59:58.437Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=1e7178d7-655d-4992-8c89-5e76f685b06a&response_mode=fragment&response_type=code&scope=openid&nonce=d3e71cdf-c776-4d96-9e46-826b43693ca9 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/g3pwm/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-10-14T08:59:58.438Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=1e7178d7-655d-4992-8c89-5e76f685b06a&response_mode=fragment&response_type=code&scope=openid&nonce=d3e71cdf-c776-4d96-9e46-826b43693ca9 - Autofocus processing was blocked because a document already has a focused element.

[2025-10-14T09:00:00.325Z] [SEVERE] http://localhost:81/ui/static/js/main.68d57865.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjA0MzI2OTksImlhdCI6MTc2MDQzMjM5OSwiYXV0aF90aW1lIjoxNzYwNDMyMzk4LCJqdGkiOiJlZWRjZWNiNy1kZGZmLTQ1MGYtOWU3My04NzM3ZmQ5YzMyNDYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.j2nD7DolcmnfGmY_MrQuxYhHNb6yzsAHA8Tjw1g3X-OiKYO7-_Ijvu5F65cOgh0mC5tqiJEmIokeTbDq4iGd-hBJ5IdZMUGKeT71eweXkQfWqsXr8w1PyOaPB46SOkUyAVp5_dlIYfBHxpwYIIDq-skAlZ-yIIEtH3XNh94AQQwHwM-lgFh_OuyyMNvQsw9DaAD0hJwzJB462yBJXMjEl_OgWn4SrI1_vxyYrUKUVzIPSXYcHEOPCaNO1whSM_oCGbBoLuMGC9FqCKtZnORKyUyrxqQWxmUggmo4k_atpZWOfA-xoLscdVJkKvq1BFa6vk2UPjq-WF38p8R_7b9dng' failed: Establishing a tunnel via proxy server failed.

[2025-10-14T09:00:02.329Z] [SEVERE] http://localhost:81/ui/static/js/main.68d57865.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjA0MzI2OTksImlhdCI6MTc2MDQzMjM5OSwiYXV0aF90aW1lIjoxNzYwNDMyMzk4LCJqdGkiOiJlZWRjZWNiNy1kZGZmLTQ1MGYtOWU3My04NzM3ZmQ5YzMyNDYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.j2nD7DolcmnfGmY_MrQuxYhHNb6yzsAHA8Tjw1g3X-OiKYO7-_Ijvu5F65cOgh0mC5tqiJEmIokeTbDq4iGd-hBJ5IdZMUGKeT71eweXkQfWqsXr8w1PyOaPB46SOkUyAVp5_dlIYfBHxpwYIIDq-skAlZ-yIIEtH3XNh94AQQwHwM-lgFh_OuyyMNvQsw9DaAD0hJwzJB462yBJXMjEl_OgWn4SrI1_vxyYrUKUVzIPSXYcHEOPCaNO1whSM_oCGbBoLuMGC9FqCKtZnORKyUyrxqQWxmUggmo4k_atpZWOfA-xoLscdVJkKvq1BFa6vk2UPjq-WF38p8R_7b9dng' failed: Establishing a tunnel via proxy server failed.

[2025-10-14T09:00:04.361Z] [SEVERE] http://localhost:81/ui/static/js/main.68d57865.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjA0MzI2OTksImlhdCI6MTc2MDQzMjM5OSwiYXV0aF90aW1lIjoxNzYwNDMyMzk4LCJqdGkiOiJlZWRjZWNiNy1kZGZmLTQ1MGYtOWU3My04NzM3ZmQ5YzMyNDYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.j2nD7DolcmnfGmY_MrQuxYhHNb6yzsAHA8Tjw1g3X-OiKYO7-_Ijvu5F65cOgh0mC5tqiJEmIokeTbDq4iGd-hBJ5IdZMUGKeT71eweXkQfWqsXr8w1PyOaPB46SOkUyAVp5_dlIYfBHxpwYIIDq-skAlZ-yIIEtH3XNh94AQQwHwM-lgFh_OuyyMNvQsw9DaAD0hJwzJB462yBJXMjEl_OgWn4SrI1_vxyYrUKUVzIPSXYcHEOPCaNO1whSM_oCGbBoLuMGC9FqCKtZnORKyUyrxqQWxmUggmo4k_atpZWOfA-xoLscdVJkKvq1BFa6vk2UPjq-WF38p8R_7b9dng' failed: Establishing a tunnel via proxy server failed.

[2025-10-14T09:00:06.387Z] [SEVERE] http://localhost:81/ui/static/js/main.68d57865.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjA0MzI2OTksImlhdCI6MTc2MDQzMjM5OSwiYXV0aF90aW1lIjoxNzYwNDMyMzk4LCJqdGkiOiJlZWRjZWNiNy1kZGZmLTQ1MGYtOWU3My04NzM3ZmQ5YzMyNDYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.j2nD7DolcmnfGmY_MrQuxYhHNb6yzsAHA8Tjw1g3X-OiKYO7-_Ijvu5F65cOgh0mC5tqiJEmIokeTbDq4iGd-hBJ5IdZMUGKeT71eweXkQfWqsXr8w1PyOaPB46SOkUyAVp5_dlIYfBHxpwYIIDq-skAlZ-yIIEtH3XNh94AQQwHwM-lgFh_OuyyMNvQsw9DaAD0hJwzJB462yBJXMjEl_OgWn4SrI1_vxyYrUKUVzIPSXYcHEOPCaNO1whSM_oCGbBoLuMGC9FqCKtZnORKyUyrxqQWxmUggmo4k_atpZWOfA-xoLscdVJkKvq1BFa6vk2UPjq-WF38p8R_7b9dng' failed: Establishing a tunnel via proxy server failed.

[2025-10-14T09:00:08.419Z] [SEVERE] http://localhost:81/ui/static/js/main.68d57865.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjA0MzI2OTksImlhdCI6MTc2MDQzMjM5OSwiYXV0aF90aW1lIjoxNzYwNDMyMzk4LCJqdGkiOiJlZWRjZWNiNy1kZGZmLTQ1MGYtOWU3My04NzM3ZmQ5YzMyNDYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.j2nD7DolcmnfGmY_MrQuxYhHNb6yzsAHA8Tjw1g3X-OiKYO7-_Ijvu5F65cOgh0mC5tqiJEmIokeTbDq4iGd-hBJ5IdZMUGKeT71eweXkQfWqsXr8w1PyOaPB46SOkUyAVp5_dlIYfBHxpwYIIDq-skAlZ-yIIEtH3XNh94AQQwHwM-lgFh_OuyyMNvQsw9DaAD0hJwzJB462yBJXMjEl_OgWn4SrI1_vxyYrUKUVzIPSXYcHEOPCaNO1whSM_oCGbBoLuMGC9FqCKtZnORKyUyrxqQWxmUggmo4k_atpZWOfA-xoLscdVJkKvq1BFa6vk2UPjq-WF38p8R_7b9dng' failed: Establishing a tunnel via proxy server failed.
