[2025-10-14T09:01:24.572Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=a7391366-3cf0-4afe-a5e1-d28fdcc2f86d&response_mode=fragment&response_type=code&scope=openid&nonce=c12289bb-2cbe-4727-8573-d52fc84f5251 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/g3pwm/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-10-14T09:01:24.573Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=a7391366-3cf0-4afe-a5e1-d28fdcc2f86d&response_mode=fragment&response_type=code&scope=openid&nonce=c12289bb-2cbe-4727-8573-d52fc84f5251 - Autofocus processing was blocked because a document already has a focused element.

[2025-10-14T09:01:26.575Z] [SEVERE] http://localhost:81/ui/static/js/main.68d57865.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjA0MzI3ODUsImlhdCI6MTc2MDQzMjQ4NSwiYXV0aF90aW1lIjoxNzYwNDMyNDg0LCJqdGkiOiIwODAyZmJiMi1hZDkzLTQ5MDItODM4Mi0wYmZiYWExZTc0NTAiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Sff7f9VJ-h0uqze9NIXnG0ODwbgnGKUjyjTOEo_LXXQKeVN-O28PyFpxtmK-CxxEF5WTNKdtRNXlBnPp81j8KVyOXkbPU1LSkXzCtJNqluNrLxKQT2M9UAsxDZZw50MxitCB4zq_hjk8LEJbsKmv5h0PAJ8df015RHTx7OucseqSnWgaMq5P1pui7LVF36EKCtgpmewWLRyA4ZL5c7bLNRq8gJBNxV4nB_ZMJr7jKtBi2ZKUbZCBcjx1eyTM5-kIGVrsc1JmEH8jdvyvrxmISTpYWBrQGk6Qvtm1LlrnxpAMecRg8ct2vExrNmmCtYW7tBo332QrmtnkFankX-vfkA' failed: Establishing a tunnel via proxy server failed.

[2025-10-14T09:01:28.583Z] [SEVERE] http://localhost:81/ui/static/js/main.68d57865.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjA0MzI3ODUsImlhdCI6MTc2MDQzMjQ4NSwiYXV0aF90aW1lIjoxNzYwNDMyNDg0LCJqdGkiOiIwODAyZmJiMi1hZDkzLTQ5MDItODM4Mi0wYmZiYWExZTc0NTAiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Sff7f9VJ-h0uqze9NIXnG0ODwbgnGKUjyjTOEo_LXXQKeVN-O28PyFpxtmK-CxxEF5WTNKdtRNXlBnPp81j8KVyOXkbPU1LSkXzCtJNqluNrLxKQT2M9UAsxDZZw50MxitCB4zq_hjk8LEJbsKmv5h0PAJ8df015RHTx7OucseqSnWgaMq5P1pui7LVF36EKCtgpmewWLRyA4ZL5c7bLNRq8gJBNxV4nB_ZMJr7jKtBi2ZKUbZCBcjx1eyTM5-kIGVrsc1JmEH8jdvyvrxmISTpYWBrQGk6Qvtm1LlrnxpAMecRg8ct2vExrNmmCtYW7tBo332QrmtnkFankX-vfkA' failed: Establishing a tunnel via proxy server failed.

[2025-10-14T09:01:30.697Z] [SEVERE] http://localhost:81/ui/static/js/main.68d57865.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjA0MzI3ODUsImlhdCI6MTc2MDQzMjQ4NSwiYXV0aF90aW1lIjoxNzYwNDMyNDg0LCJqdGkiOiIwODAyZmJiMi1hZDkzLTQ5MDItODM4Mi0wYmZiYWExZTc0NTAiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Sff7f9VJ-h0uqze9NIXnG0ODwbgnGKUjyjTOEo_LXXQKeVN-O28PyFpxtmK-CxxEF5WTNKdtRNXlBnPp81j8KVyOXkbPU1LSkXzCtJNqluNrLxKQT2M9UAsxDZZw50MxitCB4zq_hjk8LEJbsKmv5h0PAJ8df015RHTx7OucseqSnWgaMq5P1pui7LVF36EKCtgpmewWLRyA4ZL5c7bLNRq8gJBNxV4nB_ZMJr7jKtBi2ZKUbZCBcjx1eyTM5-kIGVrsc1JmEH8jdvyvrxmISTpYWBrQGk6Qvtm1LlrnxpAMecRg8ct2vExrNmmCtYW7tBo332QrmtnkFankX-vfkA' failed: Establishing a tunnel via proxy server failed.

[2025-10-14T09:01:32.781Z] [SEVERE] http://localhost:81/ui/static/js/main.68d57865.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjA0MzI3ODUsImlhdCI6MTc2MDQzMjQ4NSwiYXV0aF90aW1lIjoxNzYwNDMyNDg0LCJqdGkiOiIwODAyZmJiMi1hZDkzLTQ5MDItODM4Mi0wYmZiYWExZTc0NTAiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Sff7f9VJ-h0uqze9NIXnG0ODwbgnGKUjyjTOEo_LXXQKeVN-O28PyFpxtmK-CxxEF5WTNKdtRNXlBnPp81j8KVyOXkbPU1LSkXzCtJNqluNrLxKQT2M9UAsxDZZw50MxitCB4zq_hjk8LEJbsKmv5h0PAJ8df015RHTx7OucseqSnWgaMq5P1pui7LVF36EKCtgpmewWLRyA4ZL5c7bLNRq8gJBNxV4nB_ZMJr7jKtBi2ZKUbZCBcjx1eyTM5-kIGVrsc1JmEH8jdvyvrxmISTpYWBrQGk6Qvtm1LlrnxpAMecRg8ct2vExrNmmCtYW7tBo332QrmtnkFankX-vfkA' failed: Establishing a tunnel via proxy server failed.

[2025-10-14T09:01:34.813Z] [SEVERE] http://localhost:81/ui/static/js/main.68d57865.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NjA0MzI3ODUsImlhdCI6MTc2MDQzMjQ4NSwiYXV0aF90aW1lIjoxNzYwNDMyNDg0LCJqdGkiOiIwODAyZmJiMi1hZDkzLTQ5MDItODM4Mi0wYmZiYWExZTc0NTAiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Sff7f9VJ-h0uqze9NIXnG0ODwbgnGKUjyjTOEo_LXXQKeVN-O28PyFpxtmK-CxxEF5WTNKdtRNXlBnPp81j8KVyOXkbPU1LSkXzCtJNqluNrLxKQT2M9UAsxDZZw50MxitCB4zq_hjk8LEJbsKmv5h0PAJ8df015RHTx7OucseqSnWgaMq5P1pui7LVF36EKCtgpmewWLRyA4ZL5c7bLNRq8gJBNxV4nB_ZMJr7jKtBi2ZKUbZCBcjx1eyTM5-kIGVrsc1JmEH8jdvyvrxmISTpYWBrQGk6Qvtm1LlrnxpAMecRg8ct2vExrNmmCtYW7tBo332QrmtnkFankX-vfkA' failed: Establishing a tunnel via proxy server failed.
